,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1813.8341420000002,2000,15.450551,0.0636317,0.056254923,-0.19238526,0.08783541,0.14980207,-0.16911781,-0.12785038,-0.19052148,-0.06388826,0.20206909
1,-1712.095038,4000,32.686463,0.037810776000000004,0.05729965,-0.20993589999999998,0.055264152999999996,0.14382121,-0.17102054,-0.12402309,-0.19778036,-0.064063966,0.20601498
2,-1413.3027,6000,48.547755,0.017533846000000002,0.041103844,-0.19904707,0.02848186,0.13335039999999998,-0.1710692,-0.10593172,-0.20711945,-0.07491527,0.20243156
3,-1495.76243,8000,64.367634,0.014380543999999999,0.03942078,-0.19043608,-0.0039413436,0.13233918,-0.18062642,-0.08585282400000001,-0.21192986,-0.102179274,0.20459084
4,-1476.5674589999999,10000,78.550253,0.012322498500000001,0.026436161,-0.17820854,-0.053554744,0.13921225,-0.18099074,-0.085590735,-0.22350048,-0.111606024,0.20232338
5,-1362.511879,12000,93.38311800000001,0.058777913,0.020664724,-0.1690317,-0.03336074,0.13448974,-0.18321073,-0.08055768,-0.22193044,-0.10041779,0.19919997
6,-1119.4097980000001,14000,109.660179,0.09533719,0.029326666,-0.1657535,-0.044161387,0.11518396,-0.18926887,-0.07744435,-0.21184058,-0.10588621,0.19935274
7,-1084.583529,16000,126.482092,0.13070123,0.041038565,-0.14503455,-0.04960043,0.15390547,-0.20548934,-0.072345614,-0.21875985,-0.07764358,0.1795628
8,-1600.833592,18000,143.59821100000002,0.15686992,0.039328884,-0.14621899,-0.054166085999999995,0.15772164,-0.21126892,-0.08209255,-0.23682702,-0.077101275,0.16258973
9,-1676.324184,20000,158.179098,0.16811855,0.040675603,-0.12699680000000002,-0.058356057999999995,0.17162147,-0.2278489,-0.09720266,-0.24695022,-0.07403755,0.17869431
10,-1599.287888,22000,172.77613300000002,0.17539401,0.03369999,-0.12444813,-0.048334077,0.18541873,-0.23185883,-0.11640806,-0.2540985,-0.055227857000000005,0.20320456
11,-1140.981097,24000,187.36416200000002,0.18364520000000004,0.011510723,-0.112489104,-0.04961468,0.19178891,-0.23152402,-0.115672916,-0.2620676,-0.053657044,0.20692952
12,-933.3354720000001,26000,201.916843,0.1849491,0.029502623,-0.11294334,-0.046658713,0.19751546,-0.23865749,-0.13089609,-0.27068383,-0.05805716,0.22796664
13,-1043.311083,28000,218.759599,0.19360362,0.014824608000000001,-0.10911743,-0.049545445,0.20846707,-0.2542493,-0.11936335,-0.2642532,-0.06416913,0.23820879
14,-1009.1193800000001,30000,233.7804,0.18402922,-0.015597652,-0.11382871,-0.06098271,0.19164260000000002,-0.25151968,-0.11226707,-0.25244793,-0.06684502,0.23591627
15,-840.763834,32000,248.53115499999998,0.16893558,-0.024801884,-0.118184805,-0.08923903,0.18330078,-0.22479627,-0.1142884,-0.26167566,-0.068928145,0.23993409
