,r,l,t
0,-1460.577048,2000,12.361017
1,-1627.182072,4000,26.946015999999997
2,-1366.667092,6000,38.4762
3,-1541.1110529999999,8000,51.390503
4,-1497.966862,10000,63.268122999999996
5,-1280.7690380000001,12000,75.452724
6,-1259.47403,14000,87.36676999999999
7,-1558.335473,16000,98.706638
8,-1514.874437,18000,109.55291000000001
9,-1243.908275,20000,119.736999
10,-1531.054774,22000,131.313021
11,-1055.069102,24000,141.923404
12,-1143.099003,26000,153.72491000000002
13,-1654.861759,28000,164.467059
14,-1271.573243,30000,175.37076100000002
15,-982.6136560000001,32000,186.72404
16,-1235.070649,34000,198.126629
17,-1747.808124,36000,209.071898
18,-1588.95877,38000,218.99847400000002
19,-1577.447647,40000,229.365119
20,-1574.13752,42000,240.49197900000001
21,-1449.205007,44000,254.851059
22,-1006.782291,46000,265.570487
23,-1072.113326,48000,275.73503
24,-1188.76152,50000,285.614443
25,-967.3885619999999,52000,295.546945
26,-961.8373939999999,54000,308.495388
27,-687.047905,56000,324.285933
28,-871.655282,58000,340.012663
29,-800.149348,60000,351.212892
30,-806.124186,62000,361.043675
31,-1035.383258,64000,371.76795699999997
32,-1270.340913,66000,382.777873
33,-829.896773,68000,395.328413
34,-903.621517,70000,407.36539300000004
35,-880.977166,72000,419.22443799999996
36,-1550.249264,74000,430.086219
37,-1039.123152,76000,440.93474199999997
38,-934.202102,78000,450.71402
39,-1041.545337,80000,460.624408
40,-869.3383960000001,82000,471.86823899999996
41,-788.869736,84000,482.674475
42,-796.82596,86000,493.84527199999997
43,-892.776365,88000,504.618017
44,-777.366259,90000,515.1055759999999
45,-837.265842,92000,524.993565
46,-875.759011,94000,534.7610490000001
47,-844.7235199999999,96000,544.6607
48,-870.423432,98000,556.285577
49,-865.862817,100000,567.197987
50,-919.932377,102000,577.29485
51,-1004.199639,104000,587.1562759999999
52,-1280.219026,106000,597.0455059999999
53,-1533.556607,108000,607.146926
54,-1020.952276,110000,617.011839
55,-1246.4217609999998,112000,628.125971
56,-769.957193,114000,638.617837
57,-1469.117858,116000,649.802932
58,-851.606758,118000,661.1112099999999
59,-871.857278,120000,672.313496
60,-803.4768389999999,122000,682.8305320000001
61,-786.8823309999999,124000,693.117912
62,-871.789352,126000,702.91224
63,-862.9924470000001,128000,712.682956
64,-757.008977,130000,722.684694
65,-958.6675140000001,132000,732.460057
66,-742.699201,134000,742.268709
67,-844.849184,136000,752.106455
68,-939.5215609999999,138000,762.0478360000001
69,-828.133178,140000,772.226934
70,-814.041058,142000,782.18404
71,-815.073396,144000,792.3735360000001
72,-793.46698,146000,802.597631
73,-796.4966599999999,148000,812.524163
74,-786.0746730000001,150000,822.574131
75,-1109.147617,152000,832.5560690000001
76,-1095.58991,154000,843.7104429999999
77,-772.6288959999999,156000,854.3598109999999
78,-902.4564210000001,158000,865.6372880000001
79,-702.545485,160000,876.627298
80,-762.0693679999999,162000,887.4948109999999
81,-750.255215,164000,898.4112140000001
82,-793.723216,166000,909.1744199999999
83,-818.213533,168000,919.9321679999999
84,-812.582227,170000,931.0278310000001
85,-905.493935,172000,941.715845
86,-831.254251,174000,952.709628
87,-805.526762,176000,962.6203539999999
88,-908.1749560000001,178000,974.132042
89,-1327.0201470000002,180000,984.622457
90,-946.645808,182000,995.201052
91,-1007.2355650000001,184000,1006.2333619999999
92,-878.7102050000001,186000,1017.4031050000001
93,-976.1505189999999,188000,1027.9423359999998
94,-881.8851880000001,190000,1038.438214
95,-1197.4397490000001,192000,1048.888065
96,-928.64211,194000,1059.344031
97,-859.709243,196000,1069.854996
98,-900.560043,198000,1080.2352560000002
99,-754.151218,200000,1091.176322
100,-709.589118,202000,1102.545922
101,-641.392595,204000,1114.207398
102,-770.3040440000001,206000,1126.238062
103,-736.168628,208000,1136.4748140000002
104,-756.9447,210000,1147.108787
105,-845.672879,212000,1161.0747800000001
106,-866.926207,214000,1174.338926
107,-965.14357,216000,1189.074425
108,-817.579664,218000,1202.893066
109,-690.122961,220000,1217.384944
110,-720.095653,222000,1228.879186
111,-654.5100769999999,224000,1239.305786
112,-632.3131089999999,226000,1250.663411
113,-1161.664518,228000,1262.605872
114,-871.7818289999999,230000,1273.6520449999998
115,-678.273341,232000,1284.958884
116,-748.2820820000001,234000,1296.533512
117,-670.232249,236000,1307.341701
118,-613.583892,238000,1318.801741
119,-772.922641,240000,1331.346752
120,-564.8324660000001,242000,1342.315093
121,-723.1420519999999,244000,1355.8369
122,-1380.654633,246000,1369.0017480000001
123,-834.2963990000001,248000,1381.358551
124,-867.2099939999999,250000,1393.3245220000001
125,-1304.005073,252000,1404.408868
126,-879.281559,254000,1415.767088
127,-609.751489,256000,1427.0131689999998
128,-1050.617476,258000,1438.7646869999999
129,-743.216159,260000,1450.58354
130,-1304.655976,262000,1463.2275029999998
131,-828.9039799999999,264000,1474.164274
132,-764.708542,266000,1486.753113
133,-958.927998,268000,1497.195441
134,-687.579641,270000,1510.457621
135,-944.458634,272000,1521.939947
136,-838.877624,274000,1533.653624
137,-696.387453,276000,1544.3617390000002
138,-654.815893,278000,1554.719024
139,-599.185553,280000,1566.063382
140,-563.7779019999999,282000,1577.5455060000002
141,-790.512369,284000,1590.562668
142,-1176.862188,286000,1601.613656
143,-621.583521,288000,1613.148434
144,-870.7207289999999,290000,1623.921785
145,-851.122977,292000,1635.966734
146,-847.298358,294000,1647.467202
147,-916.8325060000001,296000,1659.872502
148,-1068.172383,298000,1671.6194150000001
149,-1114.963539,300000,1682.834938
150,-1341.977453,302000,1693.888821
151,-692.430947,304000,1705.419704
152,-850.6876070000001,306000,1717.389441
153,-780.545569,308000,1729.068289
154,-753.3350740000001,310000,1740.308825
155,-868.1396279999999,312000,1752.2501399999999
156,-1200.221569,314000,1763.788207
157,-1107.644702,316000,1774.820432
158,-748.369712,318000,1785.6534609999999
159,-1103.926934,320000,1797.5616559999999
160,-797.333305,322000,1809.7096940000001
161,-1232.168393,324000,1821.17883
162,-947.665126,326000,1833.508493
163,-955.695722,328000,1845.938686
164,-580.6535769999999,330000,1856.7088379999998
165,-1039.916431,332000,1869.3606899999997
166,-1018.1174710000001,334000,1881.107795
167,-917.3820019999999,336000,1892.1592219999998
168,-957.9221539999999,338000,1903.0057539999998
169,-958.561794,340000,1914.478759
170,-800.052804,342000,1925.662572
171,-849.6968609999999,344000,1936.9305570000001
172,-646.272024,346000,1947.78108
173,-1050.5065710000001,348000,1959.063888
174,-1255.253217,350000,1971.673921
175,-1154.449143,352000,1982.7604030000002
176,-1297.953915,354000,1993.584898
177,-1016.468057,356000,2004.357537
178,-1164.681168,358000,2015.555918
179,-827.441382,360000,2026.9805620000002
180,-626.205746,362000,2041.3894050000001
181,-1144.495095,364000,2054.3576559999997
182,-673.309517,366000,2064.29212
183,-747.16585,368000,2074.241477
184,-689.371476,370000,2084.0973559999998
185,-847.7886279999999,372000,2093.91676
186,-862.4055400000001,374000,2103.720988
187,-885.4800529999999,376000,2113.548075
188,-519.590178,378000,2123.303817
189,-1241.50977,380000,2134.428189
190,-577.778897,382000,2144.2024850000003
191,-1006.226583,384000,2153.9824670000003
192,-1006.653543,386000,2163.736732
193,-542.610013,388000,2173.492538
194,-535.0741889999999,390000,2183.2703699999997
195,-561.449468,392000,2193.044185
196,-543.3450690000001,394000,2202.820789
197,-429.713233,396000,2212.595429
198,-1221.524485,398000,2223.5828079999997
199,-1193.942078,400000,2233.334152
200,-421.26997400000005,402000,2243.099182
201,-849.477791,404000,2254.074253
202,-1045.206762,406000,2263.838506
203,-810.707588,408000,2273.606691
204,-1607.393359,410000,2283.380916
205,-1006.4824,412000,2293.164548
206,-809.021394,414000,2302.912716
207,-1307.207952,416000,2312.6822460000003
208,-845.7080589999999,418000,2322.5078559999997
209,-1038.742651,420000,2332.279427
210,-615.933994,422000,2342.082844
211,-1458.350501,424000,2351.863923
212,-411.906775,426000,2361.629168
213,-688.758042,428000,2372.7942940000003
214,-518.601528,430000,2385.199431
215,-818.0255179999999,432000,2399.9264129999997
216,-946.193553,434000,2412.5055620000003
217,-455.849169,436000,2424.209437
218,-807.6403740000001,438000,2434.6629359999997
219,-1020.092791,440000,2445.7869600000004
220,-977.297877,442000,2458.038709
221,-601.829701,444000,2468.724788
222,-666.715712,446000,2479.5757719999997
223,-630.63517,448000,2490.575125
224,-612.179386,450000,2502.367506
225,-1441.3255390000002,452000,2514.467777
226,-1473.286448,454000,2524.623395
227,-1215.929368,456000,2536.605923
228,-1022.420167,458000,2548.038101
229,-582.014064,460000,2560.134359
230,-508.617759,462000,2570.179773
231,-627.102626,464000,2580.790371
232,-876.1047779999999,466000,2592.210176
233,-559.929016,468000,2603.4036899999996
234,-888.3624130000001,470000,2613.738571
235,-911.575408,472000,2624.451411
236,-586.920548,474000,2636.7659280000003
237,-966.0570339999999,476000,2648.8653289999997
238,-886.4460970000001,478000,2661.037114
239,-1125.0825009999999,480000,2672.8700329999997
240,-552.394643,482000,2683.269185
241,-833.132854,484000,2693.248448
242,-903.616765,486000,2703.1984899999998
243,-567.149155,488000,2713.2205870000003
244,-1247.444018,490000,2723.119678
245,-1054.718774,492000,2733.001545
246,-765.481588,494000,2742.901894
247,-766.857981,496000,2752.795299
248,-827.88595,498000,2762.699961
249,-873.809275,500000,2772.633741
250,-933.6696380000001,502000,2782.760098
251,-522.637384,504000,2793.509278
252,-929.464625,506000,2804.719966
253,-590.337349,508000,2815.466531
254,-485.60757800000005,510000,2826.7721260000003
255,-684.9837719999999,512000,2838.888966
256,-1169.470283,514000,2851.371533
257,-976.1133699999999,516000,2862.9004600000003
258,-934.080249,518000,2874.408289
259,-1420.159291,520000,2885.685423
260,-943.649306,522000,2898.0751379999997
261,-1243.425042,524000,2909.777253
262,-716.40248,526000,2920.121425
263,-1251.295849,528000,2931.274372
264,-486.360609,530000,2942.7873210000002
265,-1076.489055,532000,2954.3744829999996
266,-841.459249,534000,2966.031173
267,-693.980128,536000,2977.591041
268,-1132.152678,538000,2988.997914
269,-867.4627720000001,540000,3000.323191
270,-1031.8916470000001,542000,3011.676407
271,-383.356442,544000,3022.625052
272,-1001.8501890000001,546000,3035.069768
273,-1469.762596,548000,3046.201799
274,-888.419741,550000,3056.891745
275,-830.467889,552000,3067.770167
276,-641.42705,554000,3078.5862629999997
277,-669.766813,556000,3089.475208
278,-678.001941,558000,3100.6348399999997
279,-617.8768110000001,560000,3111.476374
280,-1149.739564,562000,3123.315505
281,-1109.681468,564000,3134.380242
282,-1000.276401,566000,3146.072527
283,-1277.5252070000001,568000,3157.188588
