,r,l,t
0,-1798.955921,2000,15.402169
1,-1643.067821,4000,29.225927000000002
2,-1399.270335,6000,41.540040999999995
3,-1710.8997539999998,8000,53.150103
4,-1431.198321,10000,66.248211
5,-922.669524,12000,78.136183
6,-1538.764823,14000,90.512259
7,-1699.0194179999999,16000,100.569325
8,-1333.303474,18000,111.584042
9,-1624.2521550000001,20000,121.968332
10,-1381.545892,22000,132.921937
11,-1321.892948,24000,143.557213
12,-1658.398421,26000,154.36695500000002
13,-1317.75646,28000,165.139654
14,-1622.0530119999999,30000,175.64423
15,-1660.3555310000002,32000,186.262121
16,-988.481534,34000,197.311554
17,-963.588882,36000,207.844933
18,-1487.296291,38000,218.677106
19,-1299.133618,40000,229.36638100000002
20,-971.843188,42000,241.07906
21,-1411.5265279999999,44000,252.5806
22,-1233.227015,46000,263.425475
23,-1549.120688,48000,274.465704
24,-911.2796310000001,50000,284.819142
25,-1652.982626,52000,296.912848
26,-992.6041460000001,54000,307.09477400000003
27,-905.977964,56000,318.358274
28,-975.846336,58000,330.69308
29,-1385.194489,60000,341.71270699999997
30,-932.4776,62000,353.79765
31,-1370.2029890000001,64000,364.916452
32,-859.797756,66000,376.81237400000003
33,-1051.249243,68000,389.767602
34,-718.3807519999999,70000,400.98384500000003
35,-1080.927636,72000,415.610913
36,-1479.0742619999999,74000,427.193482
37,-1150.673712,76000,437.30726699999997
38,-877.8866449999999,78000,447.403217
39,-903.789634,80000,457.78103799999997
40,-606.630536,82000,468.328226
41,-1383.874822,84000,479.834246
42,-580.5729610000001,86000,490.12427699999995
43,-1544.166182,88000,501.236404
44,-946.605736,90000,511.51583899999997
45,-829.541659,92000,521.656737
46,-1227.753956,94000,531.666963
47,-1279.315048,96000,541.631579
48,-1335.964068,98000,551.684435
49,-908.7439199999999,100000,561.708088
50,-1325.594629,102000,571.974629
51,-759.0218639999999,104000,581.928092
52,-999.149306,106000,592.0030419999999
53,-903.8951,108000,602.0175730000001
54,-1474.400236,110000,611.9441730000001
55,-900.201599,112000,621.859304
56,-810.2797929999999,114000,631.652746
57,-1370.739237,116000,641.489815
58,-756.8907320000001,118000,651.6001219999999
59,-1381.261908,120000,661.604531
60,-1114.44509,122000,672.128723
61,-776.419943,124000,682.00795
62,-824.24748,126000,691.86315
63,-1421.548696,128000,701.7044089999999
64,-712.575333,130000,711.5509059999999
65,-914.0354039999999,132000,721.4575570000001
66,-915.686919,134000,731.558551
67,-968.511726,136000,741.664687
68,-1330.1111970000002,138000,752.481191
69,-870.234632,140000,762.993644
70,-618.83064,142000,773.4806269999999
71,-1146.290976,144000,783.7809570000001
72,-842.5718380000001,146000,793.6873360000001
