,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1791.697311,2000,16.998182,0.18176779999999998,-0.10830223,-0.1291432,-0.13811995,-0.18094148,-0.23865534,-0.25691876,0.18915035,-0.118012555,-0.30564159999999996
1,-1609.143945,4000,42.229289,0.17463475,-0.11288682,-0.14128776,-0.14784917,-0.17441249,-0.25841987,-0.26174754,0.19413441,-0.15128343,-0.31099263
2,-1693.9188149999998,6000,60.111893,0.17085129999999998,-0.12110811,-0.15139070000000002,-0.15196109,-0.16972326,-0.24613664,-0.24855176,0.16944394,-0.1371513,-0.30821055
3,-1729.7725030000001,8000,76.877333,0.15364799,-0.13449204,-0.15135552,-0.11404462,-0.18103139999999998,-0.19834192,-0.25352764,0.1628021,-0.052474797000000004,-0.30180165
4,-1658.852225,10000,93.340532,0.12721585,-0.11368927,-0.14026204,-0.03586498,-0.15108424,-0.18298051,-0.2643167,0.19052322,-0.048134777999999996,-0.28475112
5,-1871.26094,12000,108.84986599999999,0.10401074,-0.10869593,-0.14234821,0.012587346999999999,-0.13189495,-0.24913888,-0.24428412,0.20915213,-0.019307651999999998,-0.26331455
6,-1399.89627,14000,124.40503799999999,0.12392178,-0.091792956,-0.14330685,0.035838403,-0.11829626,-0.15074036,-0.22343346,0.29327896,-0.0089889765,-0.23732448
7,-1655.819153,16000,140.866223,0.19011547,-0.11248051,-0.09722718,0.0062602567,-0.08369460000000001,-0.053552485999999996,-0.21187689999999998,0.28165114,0.039783068,-0.23206851
8,-1663.229164,18000,156.570887,0.22608456,-0.07626437,-0.084653355,-0.014096296999999999,-0.1462102,-0.021320388,-0.20913135,0.27852786,0.08513234,-0.24332234
9,-1709.102708,20000,172.665358,0.2455931,-0.0632435,-0.10285593,0.03654697,-0.09054189,-0.028094111,-0.22763784,0.2806921,0.066293746,-0.23324339999999996
10,-1612.344274,22000,188.261928,0.24870428,-0.08087898,-0.09490502599999999,0.021829044,-0.111118965,0.0024719506,-0.21970467,0.26511917,0.06297176,-0.22987786
11,-1635.253459,24000,204.915393,0.2727907,-0.12431891,-0.11499087,-0.018608594,-0.13610223,0.06026836,-0.20032892,0.26212916,0.08419075599999999,-0.21045819
12,-1464.19067,26000,221.966065,0.27453890000000003,-0.12876163,-0.09381441,-0.06912818,-0.1317254,0.04864048,-0.24162194,0.23645036,0.16350262,-0.21302039999999997
13,-1340.3654210000002,28000,237.960019,0.26090357,-0.07172873,-0.09758873,-0.08986798,-0.12005483,0.047321413,-0.27783093,0.2413193,0.12911642,-0.20101608
14,-1546.281716,30000,255.283027,0.25159362,-0.06754781,-0.10303684,-0.09041286,-0.106612526,0.08970445,-0.28870776,0.23896162,0.09261294,-0.19892259
15,-1564.212864,32000,270.962232,0.27626914,-0.0740186,-0.10477254,-0.08299446,-0.11735984,0.08166132,-0.31605276,0.22312154,0.08191675,-0.20299526
16,-1456.9288099999999,34000,286.434216,0.30520759999999997,-0.06266716,-0.10164162,-0.06346436,-0.12983046,0.06596806,-0.32702905,0.20928293,0.08359605,-0.20931964
17,-1396.6823630000001,36000,301.876032,0.31406245,-0.036021765,-0.10867962,-0.05198399,-0.13097928,0.07263799,-0.34835252,0.20813315,0.08203653,-0.20336956
18,-1348.808096,38000,320.24647999999996,0.32244727,-0.040244147,-0.11775635,-0.06083240000000001,-0.12156525,0.069006756,-0.3334362,0.20040788,0.084227905,-0.20046017
19,-1464.199562,40000,336.060637,0.33421427,-0.055779327000000004,-0.14522578,-0.071626715,-0.11147688,0.07308189,-0.3193729,0.21292183,0.119604096,-0.17532273
20,-1517.174294,42000,353.501036,0.33283186,-0.055000473,-0.15580215,-0.08226967,-0.12750629,0.08231902,-0.30683914,0.20366858,0.13330479999999997,-0.15312172
21,-1421.439497,44000,371.02693,0.34423724,-0.067098394,-0.1758651,-0.077151746,-0.124438345,0.08283314,-0.30692820000000004,0.20463142,0.14463559,-0.15185277
22,-1521.74998,46000,388.788085,0.34141138,-0.084502116,-0.1723478,-0.07066034,-0.12417748,0.07316971,-0.2962749,0.21877442,0.13627662,-0.14838246
23,-1427.357772,48000,405.376944,0.34619440000000007,-0.08755882,-0.19184415,-0.068820715,-0.11864195,0.06390372,-0.30093572,0.23295613,0.12559456,-0.17102441
24,-1410.4123949999998,50000,421.59745899999996,0.34841082,-0.08991301,-0.21064834,-0.049601894,-0.10491125,0.068730645,-0.3086676,0.2318117,0.11493442,-0.16395810000000002
25,-1312.661058,52000,438.066479,0.35190403,-0.0889635,-0.23519798,-0.03082054,-0.09802313,0.06351676,-0.31028038,0.23242992,0.11697856,-0.13004372
26,-1415.3088089999999,54000,455.82984500000003,0.35672459999999995,-0.09579487,-0.26038110000000003,-0.026713785,-0.08866213,0.054104473,-0.30286312,0.21737042,0.11371174,-0.105896115
27,-1488.869381,56000,471.97757,0.36108273,-0.10642387,-0.27483103,-0.0111253895,-0.08131363,0.047164,-0.29616484,0.22263424,0.10984856,-0.09307169
28,-1473.756781,58000,488.164108,0.34823608,-0.111062735,-0.27331778,-0.005765258299999999,-0.091592915,0.02952153,-0.3028809,0.22389033,0.09138555,-0.085497625
29,-1406.820956,60000,504.285342,0.35368097,-0.11788487,-0.2794253,0.0026782346,-0.09800528,0.029440987999999998,-0.31072423,0.21988061,0.065099865,-0.099497415
30,-1347.985284,62000,520.3676780000001,0.35222477,-0.12088372,-0.262953,0.011562343000000001,-0.09758808,0.024187986,-0.3185705,0.20140214,0.051258184000000005,-0.10741774
31,-1367.603715,64000,536.468871,0.3343064,-0.11547682,-0.26383537,0.022553414,-0.096813135,0.026489161,-0.31351438,0.21392019,0.048467357,-0.123241805
