r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1765.671665,2000,14.637832,-0.11597249,0.016075673,-0.032963984,-0.06816648,0.026501479,-0.14364229,0.032570787,0.1189313,-0.1364752,-0.057493646
-1468.641937,4000,28.752106,-0.11833138,0.015119937,-0.036111783,-0.07480955,0.011892505,-0.13701884,0.026791845,0.12646526,-0.14066394,-0.055806477
-1631.746769,6000,40.242343,-0.09394738,0.011517262,-0.030470846,-0.064948544,0.017366545,-0.14688633,0.026418056,0.12972791,-0.13078395,-0.0758781
-1649.755554,8000,50.068992,-0.07555564,0.042784207,-0.014825232,-0.06959664,0.012017212,-0.16593991,0.01937951,0.14529839,-0.09885266,-0.09061698
-1677.298459,10000,59.852149,-0.007885841,0.042593036,0.016635196,0.012030245,0.006195747,-0.18073069,-0.011854098,0.18606602,-0.04053249,-0.13532558
-1714.968526,12000,69.555348,0.032800283,0.03124473,0.036943693,0.042202357,0.05173597,-0.19999078,-0.05615072,0.19309036,-0.017659348,-0.17961128
-1630.724434,14000,79.269536,0.0811614,-0.014765422,0.012940216,0.06665822,0.075003095,-0.19409452,-0.043616496,0.20747866,-0.037429754,-0.16887891
-1613.9686,16000,88.948611,0.054850463,-0.04769077,-0.0046687606,0.10931153,0.13818417,-0.12651522,-0.11317207,0.19837663,-0.06527306,-0.19481252
-1523.201614,18000,98.626105,0.02027038,-0.020207176,0.023071578,0.14586972,0.16258077,-0.1175031,-0.15560652,0.22791693,-0.113587275,-0.168638
-1386.870517,20000,108.462638,-0.0724628,0.040115256,0.014245759,0.13984048,0.23354638,-0.1389975,-0.15216745,0.28283104,-0.079295665,-0.13118774
-1291.821039,22000,121.545567,-0.115969926,0.041828908,0.041836955,0.15709347,0.2431648,-0.18783689,-0.14054276,0.3380989,-0.076237485,-0.108873695
-1188.87826,24000,133.374467,-0.17415495,0.051696878,0.028359499,0.13631172,0.2538136,-0.23500614,-0.10436592,0.35506135,-0.08640942,-0.044018038
-1411.869677,26000,144.693559,-0.1748626,0.04572983,0.05576062,0.12854648,0.26329106,-0.23059012,0.005833967,0.3416071,-0.08098683,-0.02495152
-1057.103034,28000,154.534771,-0.18428351,0.04730034,0.0703877,0.187903,0.25899085,-0.19192453,0.028326845,0.32709086,-0.10701037,-0.0049527134
