,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1491.702777,2000,16.581953,0.011143185,-0.34638846,0.24437125,-0.092892244,-0.027229164,-0.010277231999999999,0.267701,-0.23469883,-0.29542693,0.15355729999999998
1,-1334.732672,4000,34.510783,0.017802468000000002,-0.35556522,0.26042747,-0.043972845999999996,-0.06286043,-0.02492361,0.25700393,-0.23594168,-0.3101614,0.13286486
2,-1420.1298800000002,6000,51.368651,0.0144060515,-0.3669368,0.28605542,-0.0037768884,-0.115160115,-0.008682005999999999,0.24041024,-0.21382803,-0.3092664,0.108221106
3,-1689.543257,8000,68.821522,0.021988422,-0.39068285,0.29983467,0.0018370543,-0.10863146,-0.012279871000000001,0.22684413,-0.18481709,-0.27289703,0.10626616
4,-1580.6060009999999,10000,82.971878,-0.005324491800000001,-0.23359606,0.2902905,0.06465665,-0.06981463,-0.013526791000000002,0.21161266,-0.17828904,-0.26643649999999997,0.10906089999999999
5,-1524.701513,12000,97.100391,-0.058097955,-0.258251,0.23362817,0.13650648,-0.04392919,-0.017054088000000002,0.24933678,-0.16940276,-0.3133106,0.12402028
6,-1499.751098,14000,111.20421999999999,-0.16428722,-0.2746057,0.18378998,0.07682712400000001,-0.014866821,-0.053228803,0.27588105,-0.12697809999999998,-0.34879243,0.13919507
7,-1568.417535,16000,125.41581799999999,-0.22682713,-0.2663982,0.23501964,0.14286053,0.0069778427,-0.09384768,0.26412946,-0.124819495,-0.30363405,0.10168379
8,-1452.485892,18000,141.708608,-0.24271937,-0.25362393,0.18220915,0.11298631,-0.039918635,0.018455498,0.2959569,-0.15738437,-0.263244,-0.005685325
9,-1667.6989720000001,20000,156.306572,-0.27432957,-0.19936979,0.14799564,0.12874465,-0.087941855,0.06754354,0.31680122,-0.1763886,-0.28838214,0.039882287
10,-1753.263453,22000,173.255888,-0.26729086,-0.09421601,0.12981263,0.0972604,-0.036455195,0.03180943,0.28875118,-0.24102648,-0.32748127,0.011819877
11,-981.005851,24000,190.998001,-0.28586036,0.008970514,0.10499783,0.11450125,-0.05614246,0.025657927999999997,0.24647205,-0.23831100000000002,-0.35158914,-0.0041445517
12,-1776.295953,26000,209.6856,-0.3001974,0.090983294,0.08040913,0.104207486,-0.06681848,0.04108983,0.21063997,-0.21294169999999998,-0.3637807,0.028901137
