,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1776.3465210000002,2000,19.144809,0.11217830000000001,0.15021577,0.08751521,0.12552227,0.03992924,0.11346504,-0.020450072,-0.057606854000000006,0.23669815,0.2370226
1,-1744.6330440000002,4000,38.968434,0.11294815,0.15511037,0.08804987,0.12622906,0.041859,0.10931715,0.0009159902699999999,-0.060129583,0.19876938,0.23882328
2,-1799.4562629999998,6000,55.98520799999999,0.10998603,0.2047007,0.090943396,0.12213234,0.04152022,0.10750759,0.07288467,-0.066891275,0.19282691,0.23841223
3,-1699.5537100000001,8000,70.556596,0.11360930000000001,0.20304137,0.110403225,0.12851292,0.036188873999999996,0.11290281,-0.017132228,-0.06984794,0.19744379999999997,0.23422429
4,-1738.59588,10000,86.133218,0.12170976,0.14198619,0.1098316,0.12975971,0.031888556,0.12326063,0.010149903,-0.06315562,0.21071908,0.23451644
5,-1748.603282,12000,100.25624499999999,0.14230455,0.07137734400000001,0.09962067,0.063415155,-0.020575084,0.050920087999999995,0.20030636,0.0075287586,0.15968058,0.21865259
6,-1759.253952,14000,117.95429399999999,0.0794258,0.14999887,0.08753874,0.06698891,-0.078789435,0.09525626,0.22414929,-0.026956137,0.117512755,0.24679562
7,-1595.317346,16000,133.776827,0.043980215,0.3037312,0.030952375,0.06899947,-0.14338627,0.08948577,0.2730126,-0.03428406,0.122174345,0.10184344
8,-1106.852977,18000,150.610903,0.035688005,0.29448435,-0.005573648499999999,0.07525803,-0.16729784,0.112882964,0.29218718,-0.079053625,0.17096207,-0.044037234
9,-1655.5848529999998,20000,169.394072,-0.08006472,0.30841035,-0.03715613,0.05790429,-0.19218263,0.118460484,0.3224252,-0.11428348,0.24702545,-0.00042721942999999997
10,-1568.65331,22000,186.390595,-0.105753295,0.26409006,-0.1263712,0.018349328999999998,-0.18413101,0.062184773,0.25720692,-0.13832022,0.2955514,-0.12814672
11,-1700.4522960000002,24000,203.030467,-0.10772088,0.29980809999999997,-0.32449052,0.028211676,-0.19530594,0.021654358,0.17349137,-0.12909175,0.25596488,-0.06364934
12,-1172.700378,26000,219.800675,-0.12130673,0.27026913,-0.32359454,0.031187428,-0.15849642,0.018243374,0.313864,-0.17332424,0.20698522,-0.12293199
13,-1370.255115,28000,237.311633,-0.079181895,0.24095766,-0.23878166,0.05726038,-0.15824565,0.026068604,0.33222938,-0.18551196,0.21340303,-0.19343881
14,-1690.4121280000002,30000,254.531989,-0.107642435,0.24466999,-0.250875,0.06108824,-0.15955469,0.05583373,0.29050103,-0.19599031,0.23748831,-0.2033066
15,-1593.568415,32000,270.91168799999997,-0.122602575,0.2241257,-0.28944033,0.050146397,-0.1529286,0.05006395,0.24208054,-0.21294183,0.27056292,-0.20582327
16,-1699.5263690000002,34000,287.698052,-0.11968534,0.23200855,-0.30320832,0.04797779,-0.14215662,0.04102403,0.23120232,-0.20862798,0.29446954,-0.23055819
17,-1582.221435,36000,304.80296400000003,-0.09850894,0.24435802,-0.2595546,0.054967657,-0.13497415,0.04194184,0.2185971,-0.17245739999999998,0.30423490000000003,-0.25777727
18,-1581.028108,38000,321.645286,-0.05802807,0.23805608,-0.34707340000000003,0.060741417,-0.15655203,0.034339182,0.21712396,-0.15771666,0.29743245,-0.28217497
19,-1630.4448730000001,40000,338.177636,-0.047598384,0.19382374,-0.32708803,0.06601277,-0.18224955,0.025571462000000003,0.18428208,-0.15449433,0.3074558,-0.3071696
20,-1637.83386,42000,355.242897,-0.052787732000000004,0.20818555,-0.32297295,0.10380205,-0.1898629,0.014309566499999999,0.20265965,-0.1325458,0.30379072,-0.30459818
