,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-605.553901,2000,14.981411999999999,-0.08555836,0.05512306,0.014713988999999998,-0.2784506,0.031168703,-0.07588608,0.22643207,0.08795327,0.22231342,-0.1777677
1,-736.4200860000001,4000,34.464296999999995,-0.08492389,0.0629953,0.0155696245,-0.28252763,0.032528326,-0.08049636,0.22369163,0.09131894,0.22322625,-0.18513334
2,-1227.662312,6000,50.921855,-0.08353065,0.062117234,0.015042129,-0.28642997,0.03178544,-0.08809014,0.22513759,0.093378685,0.22385313,-0.19716263
3,-1229.709094,8000,67.650715,-0.08232912,0.06259569,0.015701493,-0.29642987,0.032902244,-0.09078301,0.22986634,0.094199084,0.22551010000000002,-0.21406263
4,-1069.729327,10000,85.616855,-0.08362359,0.06429209,0.014458381000000001,-0.3109888,0.038025536,-0.08435892,0.21744946,0.098298445,0.22899836,-0.24252512
5,-1144.744441,12000,103.52355,-0.09470203,0.07970366,0.014641864,-0.33190143,0.036230623999999996,-0.057946224000000005,0.20597915,0.096036695,0.23118146,-0.27777416
6,-601.975705,14000,121.299632,-0.09552260000000001,0.084134705,0.004348285,-0.34355548,0.05435026,-0.06340666,0.20916120000000002,0.099414445,0.24085508,-0.2897996
7,-1539.138034,16000,140.527008,-0.10108887400000001,0.40973088,-0.065170795,-0.41178438,0.051703807000000004,-0.31468514,0.18823856,0.11455559,0.26875946,-0.26415040000000006
8,-1082.593323,18000,157.606494,-0.09972966,0.47288457,-0.061455544,-0.43362257,0.06307824,-0.39816,0.19020835,0.09819644,0.25257203,-0.2657618
9,-541.728387,20000,175.455613,-0.058071144000000005,0.4382363,-0.060413155999999996,-0.42505974,0.07121999,-0.33703876,0.25140685,0.104136206,0.2491069,-0.28868148
10,-222.12379900000002,22000,195.71363200000002,-0.0126276165,0.38944557,-0.05030446,-0.4485871,0.088515736,-0.25433224,0.3255349,0.11227524,0.24228983,-0.31341475
11,-1055.837747,24000,215.06172599999996,0.05571884,0.34473896,-0.049073375999999995,-0.39625770000000005,0.12588164,-0.067072146,0.27839735,0.10088313,0.25113317,-0.30352098
12,-1004.97739,26000,232.433394,0.09410018,0.31332314,-0.0702118,-0.32401258,0.12774329,0.023231272,0.28085512,0.091319665,0.23633952,-0.31220028
13,-1008.295775,28000,249.76753399999998,0.07801742,0.3164868,-0.05250793,-0.21061717,0.15721342,0.15731114,0.2922195,0.08529625,0.22829874,-0.30621952
14,-1046.96205,30000,267.391712,0.052573323,0.30805853,-0.023453202000000003,-0.10445714,0.15157141,0.22790928,0.2909589,0.09390045,0.18754297,-0.29558602
15,-660.9528690000001,32000,284.46970699999997,0.044732574000000004,0.29769063,-0.08957634,-0.09297353,0.1391687,0.24799165,0.27283776,0.081388764,0.1661552,-0.31402090000000005
16,-1053.548866,34000,301.860231,0.058731444,0.29155087,-0.011437834,-0.08719077,0.15033701,0.3339553,0.2590235,0.067885146,0.13631167,-0.32787890000000003
17,-664.245362,36000,319.464121,0.12068032,0.28757226,-0.00853569,-0.11932486,0.16553299,0.3347981,0.24846043,-0.004116122,0.024023924,-0.25113179999999996
18,-1142.847747,38000,337.126901,0.18707655,0.28954226,-0.036021742999999995,-0.13033813,0.1672441,0.28589872,0.21995558,-0.059731845,0.026429351,-0.20123008
19,-1043.324933,40000,354.93244599999997,0.19776389,0.28959070000000003,-0.09336712,-0.16237661,0.17404418,0.17999503,0.1642912,-0.027362965,0.10093831,-0.16028205
20,-654.767352,42000,372.867517,0.23824134,0.25385994,-0.14126155,-0.22186324,0.19209965,0.15521967,0.1196466,0.05003178,0.17683393,-0.14407144
21,-655.319996,44000,391.759209,0.27239972,0.22197805,-0.20784499999999997,-0.26735407,0.20677492,0.16222245,0.114787675,0.04052777,0.18478632,-0.11172547
22,-517.078155,46000,409.93109599999997,0.32068604,0.20834704,-0.27310994,-0.29347602,0.22511855,0.15716682,0.09898978,0.02090347,0.1742356,-0.086440586
23,-625.8107809999999,48000,427.73403099999996,0.32671037,0.21206984,-0.2732275,-0.28779075,0.24563438,0.18056239,0.10129335,-0.043804437,0.13725065,-0.026653515
24,-696.44573,50000,445.85612599999996,0.32558328,0.20029715,-0.21141486,-0.24118753,0.28352615,0.22377923,0.15970063,-0.12875922,0.11741196,-0.03910366
25,-1025.439456,52000,463.430154,0.33247873,0.20827913,-0.18233733,-0.24624859999999998,0.30566025,0.14035122,0.18963856,-0.16595778,0.117986545,-0.018111037
26,-1024.798446,54000,481.440216,0.34145513,0.20905067,-0.1819257,-0.298708,0.32392088,0.09086874,0.20789306,-0.13372791,0.13431653,0.009244299499999999
27,-970.900533,56000,498.64611399999995,0.35837504,0.22787029,-0.18393336,-0.32456979999999996,0.33802566,0.007894978,0.22774307,-0.1027365,0.14591642,0.018072518
28,-1177.007985,58000,516.360826,0.36365244,0.21079618,-0.20540991,-0.35682026,0.35383153,-0.02512386,0.22587837,-0.056408415999999996,0.16520342,0.032552723
29,-709.7521730000001,60000,534.699895,0.38976738,0.20985068,-0.20921504,-0.37819773,0.36861947,-0.07375521,0.24843219,-0.048372813,0.17733414,0.060357824000000004
30,-704.617696,62000,552.26525,0.41438112,0.21274935,-0.19901645,-0.39055797,0.36627305,-0.099198535,0.27217729999999996,-0.043467868,0.18266097,0.060274035
