,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-678.598297,2000,15.378060000000001,-0.17038293,-0.14714952,0.23675096,-0.26641378,0.2344538,0.034376603,0.18133014,-0.098478675,0.06866027,0.21680567
1,-1135.9230289999998,4000,33.971318,-0.17380194,-0.14389956,0.21427226,-0.25724974,0.23959891,0.006043905400000001,0.17675638,-0.09031614,0.077558145,0.21594186
2,-1127.117882,6000,52.663717000000005,-0.17213185,-0.15858127,0.21473628,-0.25162467,0.265395,0.011690031000000002,0.17489308,-0.08989954,0.07947835,0.20509914
3,-1206.3633960000002,8000,68.57103000000001,-0.1719841,-0.15297220000000003,0.23348056,-0.26511409999999996,0.27991623,0.02070534,0.16209613,-0.10033330000000001,0.06184322,0.20440306
4,-1232.451742,10000,85.815368,-0.16928594,-0.15515058,0.2702405,-0.2863934,0.31055766,0.0585141,0.2009183,-0.06508217,0.026183342999999998,0.21393625
5,-1257.89166,12000,102.745145,-0.20383042,-0.15679619,0.28351822,-0.25575915,0.2751935,0.08716678,0.20235147,-0.06526503,0.02240148,0.22943616
6,-1268.830349,14000,119.27918000000001,-0.096255906,-0.19859463,0.31284344,-0.27294993,0.21606517,0.08506699999999999,0.1869443,-0.09015091,0.08519198,0.21747231
7,-1187.661212,16000,136.721749,0.011862906000000001,-0.17716514,0.31993634,-0.24932314,0.19628033,0.04024931,0.26792172,-0.08852515,0.10731773,0.19073674
8,-662.631214,18000,153.66010500000002,0.12691759,-0.1512054,0.30569372,-0.23207247,0.17598583,0.028654597999999996,0.25496754,-0.057656303,0.16401099,0.18052323
9,-409.512648,20000,173.925411,0.15487131,-0.13497326,0.30791240000000003,-0.25563,0.14228576,0.047515325,0.26923874,-0.08292841,0.18282215,0.1720284
10,-468.34030599999994,22000,193.431349,0.16342148,-0.121183105,0.3376147,-0.26016492,0.15560476,0.05438109,0.25375745,-0.054877635,0.17662773,0.17122647
11,-1231.731014,24000,210.27319,0.13256192,-0.12565954,0.3547171,-0.25559688,0.14708509,0.062547125,0.25671437,-0.039686747,0.16685197,0.18709820000000002
12,-639.5623519999999,26000,227.40486099999998,0.13753697,-0.14025553,0.34722709999999996,-0.27712482,0.17874593,0.060556835999999996,0.26832774,-0.026763227,0.16305286,0.18368052
13,-1242.987926,28000,244.727506,0.15758839,-0.14495906,0.3364708,-0.29548308,0.14749372,0.07113945,0.26375732,-0.017432101000000002,0.166372,0.18510596
14,-634.209896,30000,261.704718,0.18435611,-0.15209407,0.3372292,-0.27249455,0.14597897,0.12613729,0.24491145,0.0021473004,0.17124347,0.19050172
15,-743.806121,32000,279.45327799999995,0.20305258,-0.15499651,0.34206626,-0.27316675,0.14369495,0.1721893,0.2538806,-0.0034779045,0.16999535,0.19637297
16,-620.746271,34000,297.378467,0.22778887,-0.15294132,0.33261287,-0.2713136,0.14411432,0.18481137,0.25738314,-0.019007059,0.16045193,0.19731666
17,-635.839177,36000,314.602708,0.23024482,-0.16098191,0.3274823,-0.27466935,0.1349745,0.18845733,0.25430754,-0.024521684,0.1535363,0.19229986
