,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-679.5163299999999,2000,15.862341,-0.0013201182999999998,-0.27918119999999996,-0.23640342,0.08604760000000002,-0.005816747,-0.2535613,-0.037680816,-0.23390923,0.19493972,0.07705517
1,-986.913499,4000,37.540337,0.007151915,-0.27202877,-0.24923307,0.08374485400000001,0.011940033999999999,-0.24561550000000001,-0.03220558,-0.23444654,0.18049538,0.087551355
2,-1144.254201,6000,55.96864,-0.0037645737,-0.28511770000000003,-0.26171866,0.08601845,0.014696222,-0.23605792,-0.02039668,-0.21984634,0.17612617,0.094706394
3,-1266.963706,8000,73.944175,0.004188359,-0.27963457,-0.26925190000000004,0.08183985,0.023951119,-0.22288097,-0.024582217000000003,-0.19909343,0.16852124,0.10401997
4,-1510.398694,10000,91.849563,0.02414617,-0.26034823,-0.2715836,0.087174095,0.036090247,-0.21041688,-0.040748242000000004,-0.18414439999999999,0.15871271,0.11022774
5,-944.7122820000001,12000,109.191671,0.044629342999999995,-0.30064178,-0.29783532,0.06408463,0.09573371,-0.29105896,-0.035034686,-0.13411285,0.16749360000000002,0.17960420000000002
6,-681.11871,14000,128.068834,0.06581364,-0.27314833,-0.3169136,0.057066713,0.13259526,-0.28436968,-0.03442581,-0.08605681,0.1683511,0.20832227
7,-574.485805,16000,145.273932,0.05849298,-0.26794064,-0.36351409999999995,0.10265825,0.122226335,-0.27657940000000003,0.0024284098999999997,-0.11463714400000001,0.21337731,0.04990861
8,-1506.773147,18000,165.745677,0.08109588,-0.2807389,-0.38207215,0.09051244,0.10193010000000001,-0.31336796,0.017606781999999998,-0.11067072,0.12174705400000001,0.062959634
9,-1272.7149960000002,20000,185.113847,0.10932073,-0.25851303,-0.46526366,0.09971403,0.09262691,-0.24526085,0.041389875,-0.06977167,0.13465738,0.09635641
10,-1517.567997,22000,204.290267,0.10999533,-0.24793507,-0.6314909000000001,0.10581295,0.07568808,-0.17112404,0.082002655,-0.05555751,0.14626782,0.14251451
11,-730.89401,24000,222.66508900000002,0.13500910000000002,-0.2737487,-0.6187275999999999,0.09646611,0.040670532999999995,-0.21515520000000002,0.116473004,-0.060886797,0.11121007,0.16132376
12,-1430.519045,26000,241.247823,0.1506761,-0.28338236,-0.61284053,0.08741829,0.035421997000000004,-0.24331172,0.12326103,-0.059194582999999995,0.113274634,0.16664155
13,-1519.691025,28000,260.40846400000004,0.15147236,-0.3163631,-0.6259451,0.1034048,0.03910326,-0.22417492,0.13765873,-0.06426667400000001,0.092017904,0.16536991
14,-1538.101868,30000,279.53362999999996,0.14999473,-0.320254,-0.6429291,0.10878489999999999,0.036632314,-0.22981595,0.14920935,-0.06937038,0.10136828,0.16499518
15,-1545.881764,32000,298.944206,0.15952612,-0.32057306,-0.64850605,0.11449615,0.028303575,-0.24477774,0.15292324,-0.06727604,0.10872225,0.16786306
16,-1525.85816,34000,317.778702,0.16892777,-0.3295921,-0.6492496,0.101557784,0.0012083043,-0.25369546,0.15744044,-0.060830392000000004,0.10849169,0.161303
17,-1528.3474410000001,36000,336.496604,0.17957795,-0.33701563,-0.64989156,0.09211995,-0.006871718000000001,-0.263491,0.15795147,-0.07624113,0.13115287,0.15413547
18,-1270.4651720000002,38000,355.902094,0.16800426,-0.34113345,-0.6509893,0.08209,-0.012277793,-0.27289712,0.16696875,-0.10361909,0.13769189,0.14786482
19,-1493.364083,40000,374.45005,0.1635685,-0.35188505,-0.6416656,0.07094721,-0.020898532,-0.27707866,0.16784663,-0.121012904,0.12915866,0.14581063
20,-1531.781363,42000,393.923169,0.16820152,-0.34947687,-0.6438409,0.064131275,-0.014847576000000001,-0.27184087,0.17128234,-0.11590119,0.12426092,0.1363759
21,-861.307673,44000,412.669287,0.15930551,-0.35303572,-0.64512116,0.07190762,-0.015110802,-0.28547972,0.17732476,-0.116891325,0.13733910000000002,0.13702585
22,-1528.935565,46000,431.434267,0.14936917,-0.34850723,-0.6539735999999999,0.080288686,-0.0047155926,-0.3031813,0.1855093,-0.107671924,0.12855339,0.13355452
23,-1503.43002,48000,451.749854,0.14156470000000002,-0.3460483,-0.65762407,0.08471139999999999,-0.0047243936,-0.30691326,0.1907683,-0.11088823,0.12662737,0.13123035
24,-495.32204900000005,50000,469.087431,0.15274464,-0.3445152,-0.66093814,0.08844691,-0.006148441,-0.30494535,0.19508298,-0.1059683,0.13432437,0.12772287
25,-1438.879442,52000,488.424958,0.16408221,-0.3496053,-0.65774775,0.09071052,-0.011269366999999999,-0.31231079,0.19894652,-0.101981185,0.1331951,0.1238126
26,-1394.955705,54000,506.162233,0.18386522,-0.35334185,-0.63758826,0.084853925,-0.025103765,-0.3073216,0.19957046,-0.09944606,0.13810445,0.11911809400000001
27,-1053.3763490000001,56000,523.686316,0.18646529999999997,-0.35221407,-0.6283307,0.076999076,-0.01854813,-0.30846936,0.19473545,-0.10495453,0.14138167,0.11943769
28,-852.4179869999999,58000,541.130545,0.18434031,-0.351069,-0.62976056,0.07296354,-0.015203086999999999,-0.30320743,0.19993399,-0.094350144,0.13739271,0.11558314
29,-543.025746,60000,558.77835,0.18104862,-0.34885377,-0.6195276999999999,0.06732832,-0.013141024,-0.29443064,0.21131190000000002,-0.08152874,0.13965352,0.11275327
30,-441.876707,62000,576.115803,0.17591277,-0.35000393,-0.6028599,0.061059866,-0.008910547,-0.28435594,0.22091776,-0.07890499,0.12507994,0.11118222
31,-1124.510478,64000,595.9351889999999,0.18437679999999998,-0.35030448,-0.59058934,0.055756482999999996,-0.007395593000000001,-0.28413174,0.22828433,-0.07100455,0.112266384,0.104773015
32,-932.9428199999999,66000,613.851626,0.18889238,-0.35582337,-0.5766991,0.050910595999999995,-0.010707176,-0.274588,0.23340134,-0.07036219,0.09924397,0.105188385
33,-1366.935406,68000,631.939342,0.19708014,-0.370741,-0.5585357,0.03576604,-0.010457282,-0.28915623,0.23923096,-0.08212944,0.08616411,0.09765806
34,-514.540616,70000,651.4059139999999,0.17969972,-0.39784542,-0.5597411,0.049326338,-0.0063260584,-0.29735747,0.23604617,-0.103874415,0.06913519,0.09936539
35,-393.327358,72000,670.846085,0.15214975,-0.40429264,-0.5538786,0.058103512999999996,-0.003783033,-0.3011063,0.23869236,-0.11648341,0.073782094,0.1042526
36,-384.69428999999997,74000,691.949794,0.15214369,-0.4034943,-0.55428505,0.06639943,0.004092537,-0.29670027,0.2419695,-0.120258085,0.06446606,0.104705445
37,-392.81102599999997,76000,712.6790589999999,0.14286965,-0.4039982,-0.55586493,0.08874544,0.010862216000000001,-0.29678208,0.24053906,-0.11109761,0.060368963,0.10119232
38,-382.630889,78000,730.922274,0.12558353,-0.41031873,-0.5628042,0.11747386,0.02930905,-0.29530334,0.24174692,-0.11445952,0.054443505,0.11302327
39,-913.805274,80000,750.341898,0.11894806,-0.41003573,-0.5595819000000001,0.11619987,0.032243308,-0.296526,0.24244139999999997,-0.13059769999999998,0.05275374,0.10482997
40,-1166.579473,82000,769.191634,0.107795484,-0.40603790000000006,-0.55984217,0.11354966,0.03616669,-0.29857028,0.23882848,-0.12981836,0.040908117,0.104579225
41,-482.10844800000007,84000,787.4908889999999,0.09614985,-0.3983489,-0.56058866,0.11075619,0.03586247,-0.2923611,0.23149322,-0.12717499,0.05091383,0.104680896
42,-446.985367,86000,805.772917,0.07581268,-0.38234120000000005,-0.5587816,0.10693192,0.032785878,-0.28374577,0.22649218,-0.11788409,0.05958599,0.10305993
43,-418.747742,88000,824.55275,0.073830016,-0.35795838,-0.55939597,0.10553411,0.032132257000000004,-0.27636355,0.22300147,-0.11706758,0.0633403,0.10233973
44,-435.894915,90000,842.270839,0.07040483,-0.33197704,-0.5630835,0.09927826,0.03556661,-0.28396679999999996,0.22134513,-0.12581092,0.040097605,0.10094822
45,-1052.6470140000001,92000,860.066133,0.069825955,-0.32404894,-0.56792235,0.09225845,0.038936142,-0.28472492,0.21698053,-0.15198882,0.027720517000000004,0.107480496
46,-1104.568902,94000,878.468093,0.068242624,-0.30673352,-0.5640858,0.09357889,0.046945665,-0.29089117,0.2138246,-0.16170025,0.02999857,0.12143663
47,-1143.8114679999999,96000,896.87863,0.06854489999999999,-0.29961196,-0.5701257,0.09675238,0.057518285,-0.30285022,0.21724646,-0.15721262,0.020364054,0.121082515
48,-1103.140257,98000,915.9176160000001,0.07576935,-0.31974408,-0.57910895,0.09970836,0.058423765,-0.31376809999999994,0.22853564,-0.15092617,0.0044562533,0.108944505
49,-368.37946,100000,934.845125,0.09177996,-0.32522655,-0.5857724,0.10385246599999999,0.06689468,-0.32400593,0.23034994,-0.13448608,-0.009074097,0.105731815
50,-445.416624,102000,954.047052,0.07425417,-0.31742075,-0.5684136,0.11859989,0.05810979,-0.3338702,0.22014102,-0.10712319,-0.0088060945,0.1241931
51,-449.28054299999997,104000,972.0048439999999,0.046913538,-0.29034904,-0.5040256,0.11581988,0.052656543,-0.32989463,0.21020159,-0.0802814,-0.028128425,0.13925539
52,-355.01017,106000,989.4419,0.040226158,-0.27898964,-0.46907967,0.11565694,0.051809225,-0.34071225,0.18393831,-0.050786905,-0.03837813,0.17216404
53,-1517.065841,108000,1008.9883039999999,0.046615656,-0.28303382,-0.46890357,0.13584049,0.060358338,-0.33265927,0.16057165,-0.040038243,-0.036050162999999996,0.21610719
54,-364.859394,110000,1027.72025,0.04769679,-0.303583,-0.46666378,0.12231411,0.046684247000000005,-0.29570830000000004,0.16135669,-0.08113468,-0.03548282,0.22688468
55,-433.59457199999997,112000,1045.353631,0.045296095,-0.32000205,-0.45908472,0.13415079,0.043024108,-0.25884163,0.16532539,-0.08291329,-0.049005099999999996,0.19070765
56,-414.467582,114000,1064.162516,0.031150537000000002,-0.34208396,-0.41980782,0.12768832,0.051897727000000005,-0.24044558,0.18077789,-0.113833226,-0.08593718,0.16859384
57,-420.669974,116000,1083.182663,0.016963483999999997,-0.36146924,-0.38416326,0.1254131,0.060133375,-0.21482885,0.19532558,-0.12898634,-0.122646645,0.15330502
58,-425.095243,118000,1102.020726,0.008333812,-0.36968926,-0.3506592,0.13813415,0.05770481,-0.19883958,0.21010520000000002,-0.11803891,-0.14015183,0.1613894
59,-350.793566,120000,1123.398718,-0.002689205,-0.3526646,-0.35773218,0.14438975,0.068039894,-0.19300301,0.22097652,-0.06794689999999999,-0.15309933,0.18094309
60,-353.97733,122000,1145.6463609999998,0.018724753,-0.33633718,-0.37308595,0.14070436,0.06868741,-0.18783215,0.23829249,-0.046323314000000004,-0.16879602,0.18007402
61,-1493.1664,124000,1164.971624,0.034743335,-0.31998232,-0.36084970000000005,0.1405959,0.07538478,-0.18438591,0.25989655,-0.047535464000000006,-0.19414698,0.17231867
62,-995.719766,126000,1183.721542,0.011882595,-0.35414875,-0.34018275,0.15597847,0.045306905999999994,-0.18380842,0.24813585,-0.04659079,-0.17785409,0.1698575
63,-807.564563,128000,1201.3178380000002,0.01715837,-0.36528745,-0.32719436,0.14661010000000002,0.025706153,-0.18234463,0.27244332,-0.028811352000000002,-0.19524431,0.17548543
64,-557.620911,130000,1218.6514140000002,0.019300167,-0.36663629999999997,-0.32629868,0.14946897,0.0397819,-0.17762,0.2650887,-0.013674503999999999,-0.19708084,0.18097056
65,-734.413384,132000,1235.917624,0.018724168,-0.3345433,-0.32009047,0.14491709,0.043129027,-0.17653006,0.26069210000000004,-0.003007305,-0.1956723,0.18589163
66,-691.831211,134000,1253.998749,0.013615483999999999,-0.33543772,-0.31683259999999996,0.15136722,0.04336952,-0.17257175,0.26011378,-0.0083390875,-0.1914654,0.18561853
67,-254.89198399999998,136000,1272.36859,0.008837277,-0.33794759999999996,-0.31059664,0.15454373,0.042796887,-0.17268813,0.260655,0.00034039334000000003,-0.19231710000000002,0.17884968
68,-191.049758,138000,1296.239758,0.0014644169,-0.33676946,-0.30377838,0.15925573,0.041994166,-0.18418692,0.25719464,0.0026972932,-0.19293782,0.16443367
69,-149.911731,140000,1318.1085890000002,-0.0031130894,-0.32316540000000005,-0.3017938,0.16155125,0.03501703,-0.18532677,0.25289459999999997,0.013498923000000001,-0.18857975,0.15017313
70,-177.770773,142000,1338.519489,-0.0064328173,-0.32809570000000005,-0.2996096,0.16584757,0.030122599,-0.18800896,0.25045788,0.014301683999999999,-0.19131204,0.13513970000000003
71,-127.63329499999999,144000,1357.732006,-0.019740714,-0.34644250000000004,-0.2996103,0.18583393,0.020294713,-0.19700576,0.24731717,0.029344656,-0.18901616,0.10637928
72,-81.965773,146000,1378.90157,-0.028679019,-0.3323835,-0.29781599999999997,0.18662083,0.01808661,-0.20269305,0.2705389,0.0015736079999999998,-0.19962272,0.09016717
73,-105.16006100000001,148000,1399.655845,-0.0308606,-0.33620720000000004,-0.29502654,0.18131973,0.013245054,-0.20140585,0.27083236,-0.018937401,-0.20968072,0.08665855
74,-106.45416100000001,150000,1418.683238,-0.038995214,-0.3413448,-0.29366875,0.18713321,0.0058829146,-0.21037600000000004,0.2761692,-0.045834344000000006,-0.21240267,0.08586799
75,-116.729677,152000,1439.6431109999999,-0.03946331,-0.34303954,-0.29420609999999997,0.18780126,-0.0014672073999999998,-0.21352042,0.2775172,-0.052195255,-0.2117107,0.08582157
76,-97.709884,154000,1458.306698,-0.045456215999999994,-0.34858373,-0.29174120000000003,0.18744902,-0.006049195,-0.20005058,0.28051734,-0.062023677,-0.20944339,0.08429976
77,-804.172137,156000,1475.122883,-0.03665842,-0.3484728,-0.28549543,0.19540595,-0.0027743995,-0.20085843,0.27064452,-0.068865485,-0.20560443,0.06566336
78,-967.289431,158000,1493.056375,-0.029549135,-0.35007453,-0.28760117,0.20418671,-0.007869242,-0.19752377,0.28241867,-0.07613608,-0.2092933,0.043838125
79,-98.980921,160000,1513.5741480000002,-0.030721184,-0.34585077,-0.28970125,0.20150256,-0.0076544676,-0.20630193,0.2850277,-0.09049562,-0.21220121,0.043555065999999996
80,-98.243487,162000,1532.357518,-0.032198887,-0.34326684,-0.28872928,0.20178291,-0.021750257999999998,-0.19861776,0.2863237,-0.12502912,-0.22081567,0.025692367999999997
81,-338.546037,164000,1551.649477,-0.030297453,-0.34149852,-0.29096209999999995,0.20436396,-0.030121699,-0.18320782,0.2880298,-0.15219527,-0.22520715,0.019012423
82,-332.037382,166000,1570.3554390000002,-0.04206237,-0.34916598,-0.28188777,0.21020384,-0.026316278,-0.17718355,0.27767220000000004,-0.13173476,-0.22145067,0.018882378999999998
83,-321.498099,168000,1590.117614,-0.046205375,-0.34667832,-0.28324062,0.21238051,-0.02304024,-0.17281989999999997,0.26062110000000005,-0.11454619,-0.20592386,0.015411355
84,-267.537262,170000,1610.204067,-0.058165286,-0.3533646,-0.29409426,0.22613035,-0.033725414,-0.16913061,0.2767956,-0.11620654,-0.19529596,0.016672967
85,-619.236531,172000,1630.3926179999999,-0.06383243,-0.3582989,-0.29445598,0.23853025,-0.057321653,-0.17142284,0.27269983,-0.13402726,-0.18140492,0.021004505
86,-509.34345,174000,1648.908036,-0.07190471,-0.36597756,-0.29954875,0.25496733,-0.08377211,-0.15474796,0.27121797,-0.1328027,-0.16818431,0.022040121
87,-627.84607,176000,1665.7011810000001,-0.07693339,-0.35909924,-0.29608303,0.25944898,-0.09791207,-0.14663453,0.26426020000000006,-0.14327772,-0.17021254,0.023661163
88,-206.264289,178000,1683.3513480000001,-0.080314346,-0.35423413,-0.30078292,0.26179925,-0.11854465,-0.14102739,0.25357708,-0.15355471,-0.17439336,0.03257298
89,-280.29623,180000,1702.7511719999998,-0.08570026,-0.35351209999999994,-0.3062817,0.25418746,-0.13066941,-0.15117122,0.25738449999999996,-0.14298294,-0.17719853,0.044685826
90,-290.623647,182000,1720.5846789999998,-0.07955638,-0.35507554,-0.30510718,0.2690575,-0.11430462400000001,-0.16100165,0.26750609999999997,-0.11300791,-0.17695841,0.048579447000000005
91,-260.610769,184000,1738.1737039999998,-0.08451803,-0.35211509999999996,-0.30769387,0.27257514,-0.11841262,-0.17740299,0.26465370000000005,-0.11412207,-0.17888415,0.05789625599999999
92,-731.793175,186000,1755.568571,-0.09615897400000001,-0.35884035,-0.30802915,0.28421614,-0.0756498,-0.18753222,0.25424410000000003,-0.12043615,-0.17297332,0.04908391
93,-241.48882000000003,188000,1773.9660190000002,-0.09545825,-0.3566414,-0.2946265,0.28076813,-0.07515797,-0.17932928,0.25471988,-0.13468912,-0.17773959,0.04156206
94,-823.1160269999999,190000,1791.819625,-0.11748766,-0.37818018,-0.30515626,0.29886135,-0.109807864,-0.18379,0.23885842,-0.13498963,-0.14842232,0.016248643
95,-889.2543119999999,192000,1811.926555,-0.10722414,-0.3667285,-0.29339176,0.27930138,-0.115910225,-0.15072850000000002,0.2419738,-0.14510413,-0.1698876,-0.008997767
96,-819.32557,194000,1829.6500230000001,-0.111527815,-0.37765986,-0.30031246,0.2857484,-0.17387006,-0.17273025,0.23416942,-0.1512236,-0.16439438,-0.07195105
97,-741.74625,196000,1847.6266600000001,-0.11936344,-0.39879018,-0.30594483,0.29161152,-0.19377905,-0.20305018,0.22093438,-0.120327346,-0.16285639,-0.14149757
98,-103.83144399999999,198000,1864.8411620000002,-0.13337764,-0.40369943,-0.32073215,0.29164183,-0.21515729,-0.2090344,0.22486906,-0.09841791,-0.15239379,-0.16560778
99,-105.662213,200000,1882.9056649999998,-0.15510908,-0.4350941,-0.3400927,0.30168727,-0.22366594,-0.2110558,0.2204279,-0.10757784,-0.13639949999999998,-0.21586420000000003
100,-106.75019099999999,202000,1900.7609670000002,-0.19041549,-0.48197243,-0.34041259999999995,0.31742692,-0.19929345,-0.22025561,0.20837007,-0.08965739,-0.10905768,-0.24805765
101,-778.36326,204000,1918.2269780000001,-0.21607096,-0.51738095,-0.34028134,0.32323447,-0.19442162,-0.22361527,0.21538696,-0.055980813,-0.0817638,-0.22655818
102,-96.051278,206000,1935.438129,-0.25457233,-0.563647,-0.33072665,0.33090535,-0.19544727,-0.22682305,0.21625039999999998,-0.025218462999999997,-0.046854272,-0.21613719
103,-101.190816,208000,1952.6746309999999,-0.29118893,-0.5924743,-0.32511216,0.3404775,-0.19702628,-0.24086149,0.21881111,0.02021255,-0.014796838,-0.19875863
104,-100.113043,210000,1970.145613,-0.3015414,-0.58838373,-0.31555375,0.33995715,-0.20679812,-0.27237055,0.22369967,0.05754385,-0.0072752824,-0.19454505
105,-155.804715,212000,1987.8619199999998,-0.3063633,-0.56563365,-0.3093495,0.33082804,-0.22647889,-0.26581997,0.24692568,0.1304021,-0.0070638409999999995,-0.20219053
106,-373.095494,214000,2005.02663,-0.28768545,-0.5194418,-0.32699752,0.29483864,-0.27081656,-0.21626411,0.25948074,0.15089683,-0.034164928,-0.23069978
107,-156.604231,216000,2022.4976370000002,-0.27367884,-0.52160597,-0.34146157,0.2977028,-0.27333382,-0.21503367,0.25928122,0.15331532,-0.043587252,-0.2163052
108,-107.23100000000001,218000,2040.0183190000002,-0.28302540000000004,-0.5052303,-0.32535290000000006,0.28247645,-0.29465009999999997,-0.22012399,0.25974780000000003,0.22582110000000002,-0.053830296,-0.21451025
109,-914.850112,220000,2059.1902170000003,-0.27664918,-0.49740064,-0.30648464,0.28029466,-0.30911028,-0.22073787,0.25992113,0.28795817,-0.057328145999999996,-0.22378674
110,-98.019778,222000,2078.1012739999996,-0.293617,-0.50499636,-0.31511745,0.29188094,-0.3079591,-0.23960544,0.28001824,0.37827265,-0.04216181,-0.21938737
111,-151.383342,224000,2096.011018,-0.30387634,-0.51399,-0.29688509999999996,0.29413870000000003,-0.28499007,-0.24524136,0.27694878,0.3970093,-0.04725591,-0.21028595
112,-187.167101,226000,2115.959637,-0.30521566,-0.5116307,-0.30717057,0.29670495,-0.27482587,-0.24620385,0.28367022,0.43972436,-0.051947627,-0.18884858
113,-407.96627,228000,2134.445493,-0.31048554,-0.49967304,-0.28676388,0.27218285,-0.30959767,-0.24393559,0.2877608,0.45000730000000005,-0.05475727,-0.19937627
114,-185.48198,230000,2153.2139420000003,-0.31512293,-0.49541858,-0.26377052,0.22718215,-0.34425479999999997,-0.24337237,0.2889329,0.4992491,-0.05485274,-0.18519229999999998
115,-95.57340500000001,232000,2172.0016600000004,-0.2939481,-0.48770696,-0.24653709,0.026060982000000003,-0.38403493,-0.22528121,0.30769527,0.5374723000000001,-0.06712919,-0.18561170000000002
116,-357.06534700000003,234000,2191.7878579999997,-0.27960607,-0.5031358,-0.24234097,-0.2820742,-0.4110121,-0.22533451,0.30528495,0.5265479000000001,-0.07004860000000002,-0.18382220000000002
117,-101.959384,236000,2210.406333,-0.25629392,-0.49679458,-0.24059871,-0.6795732,-0.43436727,-0.2092623,0.32516056,0.568788,-0.075698234,-0.18714008
118,-106.075543,238000,2229.003696,-0.23624267,-0.48568988,-0.23873535,-0.99675184,-0.47492766,-0.19373503,0.33081788,0.5800114000000001,-0.08266326,-0.1795136
119,-98.488422,240000,2246.8472739999997,-0.19560787,-0.45315987,-0.23049025,-1.2955651000000001,-0.49862564,-0.15957862,0.36195898,0.64343697,-0.10405543,-0.2027056
120,-104.12908,242000,2264.9349780000002,-0.114916556,-0.3843397,-0.22425276,-1.5765913999999999,-0.5407886,-0.09793917,0.42845193,0.69830376,-0.16392559,-0.22542727
121,-655.855319,244000,2283.606126,-0.05026019,-0.35426465,-0.21907032,-1.7876644,-0.58621264,-0.04492156,0.49589047,0.76230067,-0.1926264,-0.24338819
122,-96.430771,246000,2304.961789,0.0512076,-0.3406219,-0.21493627,-1.8558822,-0.59221035,-0.017662853,0.54691833,0.8270402,-0.21863368,-0.25090152
123,-102.646502,248000,2324.0965690000003,0.14463459,-0.31439190000000006,-0.20648228,-1.9112914,-0.61048794,0.004808065,0.567472,0.8246399999999999,-0.27112594,-0.26106605
124,-94.25936899999999,250000,2343.674518,0.19706687,-0.30717286,-0.19931874,-2.0787869999999997,-0.6238698,0.015932863999999998,0.5707616999999999,0.8018629,-0.29167148,-0.26958147
125,-953.7238880000001,252000,2362.0257079999997,0.21179171,-0.31304032,-0.20349184,-2.2109063,-0.6069563,0.012214611,0.57403225,0.83151233,-0.30293524,-0.3313939
126,-966.3242769999999,254000,2380.271317,0.25046536,-0.32358825,-0.14669962,-2.1718826,-0.61335135,0.0046723513000000005,0.5594638000000001,0.8109215,-0.30978957,-0.40675846
127,-751.780741,256000,2399.929042,0.26648256,-0.30715507,-0.1535744,-2.133787,-0.6111367,0.025631655,0.5909579,0.8734344,-0.32536563,-0.5136228
128,-106.03334699999999,258000,2419.0924370000002,0.27780014,-0.27531633,-0.21784884,-2.1777442000000002,-0.6152734999999999,0.06602512,0.6486898,0.9704898999999999,-0.34841517,-0.4529379
129,-617.67811,260000,2438.1499989999998,0.3174335,-0.25331396,-0.24105111,-2.3182419999999997,-0.59957623,0.08769997,0.6917959,1.0623691000000002,-0.3717442,-0.47389499999999996
130,-717.945331,262000,2457.46778,0.3105491,-0.24902949,-0.26627132,-2.4557693,-0.6120656999999999,0.08800943,0.6969164000000001,1.082139,-0.34673843,-0.554971
131,-132.345427,264000,2476.0868100000002,0.38905182,-0.21401320000000001,-0.20439513,-2.545142,-0.6085187,0.10870064,0.7561524000000001,1.1237962,-0.41125873,-0.7063162
132,-175.066151,266000,2495.5864460000003,0.46088117,-0.18801564,-0.16567512,-2.7032926,-0.5919219,0.10860099,0.76441056,1.1375545,-0.4309292,-0.86439973
133,-134.525184,268000,2514.187791,0.5542535,-0.18402396,-0.19220342,-2.7840526000000003,-0.5654868000000001,0.10832758,0.74971026,1.1022443000000002,-0.42203778,-0.8520136
134,-112.99519699999999,270000,2532.605171,0.6475335,-0.17214859,-0.17898773,-2.936884,-0.5743776999999999,0.08537727,0.6972742,1.0067285,-0.4552505,-0.9310769
135,-103.053634,272000,2551.582678,0.74793667,-0.16595471,-0.17379126,-3.114252,-0.5723486999999999,0.07281076,0.6965456,1.0266579,-0.48026958,-1.0896146
136,-91.021976,274000,2569.997314,0.8349446,-0.16699563,-0.17611367,-3.2325292,-0.5491564999999999,0.06824083,0.6980435,1.0340637,-0.5119992999999999,-1.1630694
137,-182.041124,276000,2588.407773,0.8611232,-0.18017395,-0.17518671,-3.3371758000000002,-0.51757723,0.06701202,0.6944833,1.0305223,-0.5073441,-1.2103945
138,-89.406374,278000,2606.860134,0.86424613,-0.16342211,-0.16928871,-3.3825336000000004,-0.46667364,0.064704396,0.6870854999999999,1.0112658,-0.53841245,-1.2126058000000002
139,-94.47433199999999,280000,2625.2589420000004,0.8202290999999999,-0.16198121,-0.17171791,-3.3912892,-0.47826198,0.064131595,0.6792245,0.99496233,-0.55507076,-1.2269671
140,-184.70009299999998,282000,2643.580999,0.78108084,-0.17243111,-0.17742632,-3.3996391000000004,-0.44786683,0.061937757,0.67959684,1.0072377000000001,-0.55805266,-1.2883415
141,-95.683533,284000,2661.723601,0.75842166,-0.17699946,-0.17557153,-3.4939852,-0.40284234,0.06902465,0.69255525,1.0266912000000001,-0.54260445,-1.4021165
142,-771.340766,286000,2680.1433469999997,0.7377060000000001,-0.20263977,-0.18030463,-3.5438654,-0.36201468,0.07375855,0.7065811,1.0555451999999999,-0.5083899000000001,-1.4375358
143,-649.651318,288000,2698.733451,0.7357814,-0.29171023,-0.19036709,-3.5326126,-0.31163132,0.042759225,0.7005728,1.0930395,-0.47245723,-1.39479
144,-739.522887,290000,2719.5825760000002,0.7336857,-0.34857702,-0.19367923,-3.4972577000000005,-0.24197516,0.01613365,0.6991556,1.1306621000000001,-0.44766605,-1.3552963
145,-742.086953,292000,2738.171791,0.74820995,-0.3626782,-0.19379912,-3.5046775,-0.22531244,-9.58242e-05,0.68616605,1.1190358,-0.44314775,-1.3724642
146,-86.334459,294000,2756.674284,0.75202763,-0.36447293,-0.18667252,-3.5058792000000003,-0.20215479999999997,-0.01747001,0.6666291,1.0939395,-0.42194653,-1.3830401
147,-86.455662,296000,2775.1599730000003,0.75588757,-0.36127546,-0.17439139,-3.5075817000000002,-0.1682194,-0.04079113,0.64853865,1.0801032,-0.41098999999999997,-1.3778163
148,-760.249556,298000,2793.917281,0.7785284,-0.36258996,-0.15935154,-3.4994946000000002,-0.11145111,-0.059297647,0.6353533,1.0680777,-0.39487940000000005,-1.3754207
149,-85.829748,300000,2812.504385,0.7950891999999999,-0.35195264,-0.15900870000000003,-3.5878608,-0.07347527,-0.060319476,0.62956154,1.0506065,-0.3967895,-1.4178586000000002
150,-87.089519,302000,2831.149229,0.86244106,-0.34931323,-0.15686846,-3.7215992999999994,-0.030107914,-0.055668175,0.62003136,1.0188437,-0.39144918,-1.5038366
151,-208.325932,304000,2849.690602,0.89569646,-0.35326207,-0.1490868,-3.7766151,0.036767755,-0.05643043,0.6166457,1.0123731,-0.3782032,-1.5453016000000002
