,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1008.865897,2000,15.509663,-0.19062948,-0.083752185,-0.20721996,0.27743813,0.27168342,0.20860575,-0.061469484000000005,-0.14350763,-0.26959863,-0.13904113
1,-728.95099,4000,36.107696999999995,-0.19467835,-0.10991955,-0.21008746,0.2513701,0.28958127,0.18491739,-0.087655336,-0.14077283,-0.24243605,-0.11951363
2,-862.907766,6000,57.116599,-0.21089566,-0.14781743,-0.24200523,0.21334827,0.30651087,0.15187742,-0.12586164,-0.15017541,-0.20457260000000002,-0.09412029400000001
3,-646.248108,8000,74.16219,-0.25814718,-0.17635186,-0.25213850000000004,0.1829661,0.3139179,0.1253255,-0.15525083,-0.17844193,-0.17336985,-0.07695711400000001
4,-1553.841901,10000,93.703091,-0.34839559999999997,-0.19816233,-0.36230937,0.16529247,0.31417790000000007,0.11315940000000001,-0.17666028,-0.23446336,-0.14442149999999998,-0.04857137
5,-1563.2628619999998,12000,112.425688,-0.44204003,-0.21948637,-0.61468065,0.13465370000000002,0.29994416,0.08300367,-0.20001781,-0.32863435,-0.11572172,-0.036936357999999996
6,-1520.830317,14000,132.145939,-0.25520745,-0.23861842,-0.87682414,0.09952649,0.33394027,0.030217554,-0.22847442,-0.050010587999999995,-0.13570799,-0.07216808
7,-1548.375219,16000,151.77268600000002,-0.022823032000000004,-0.28365654,-0.95033693,0.042251135999999995,0.48345974,-0.051747177000000005,-0.28073224,0.23877135,-0.18039806,-0.11799577
8,-590.5186,18000,172.600676,0.11080519999999999,-0.28212386,-0.9535799999999999,0.024841832,0.5094031,-0.07351521400000001,-0.28000745,0.25348392,-0.20221059,-0.15645206
9,-1032.287369,20000,195.108164,0.20205694,-0.27563649999999995,-0.95558894,0.016515751999999998,0.51253563,-0.07842904,-0.29213324,0.15350856,-0.22331986,-0.17881243
10,-1273.2226349999999,22000,219.32347099999998,0.22126782,-0.26741633,-1.0452278,0.02491609,0.49883735,-0.07165941599999999,-0.30565929999999997,0.20451476,-0.21040665,-0.17829745
11,-563.992519,24000,241.148665,0.21605279,-0.25302607,-1.0793588,0.033120292999999995,0.5080515999999999,-0.06933658599999999,-0.30591440000000003,0.19989288,-0.20415035,-0.13779807
12,-610.288875,26000,265.398339,0.23403582,-0.25087327,-1.1303139,0.042102758,0.5233917,-0.059097774000000006,-0.30544895,0.19283204,-0.18623684,-0.13510133
