,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-704.761206,2000,16.091656,0.009082454,0.04405707,-0.22390336,-0.018835848,-0.18875627,0.030597605,0.01123844,0.29577246,0.037903655,-0.13320181
1,-497.186099,4000,36.419128,0.014504371,0.03268,-0.21332385,-0.016236054,-0.17878716,0.036584593,0.00025074734,0.27698323,0.045393247000000005,-0.12100585
2,-470.303276,6000,56.43169399999999,0.031003121,0.04085664,-0.22621724,-0.019525,-0.19184224,0.029843487000000002,0.0074328166,0.26349859999999997,0.03214356,-0.13147463
3,-488.43200599999994,8000,76.94187099999999,0.040318507999999996,0.050622355,-0.23326454,-0.028120042999999997,-0.20286146,0.027105097,0.018295692,0.25497815,0.017983634,-0.13684570000000001
4,-314.750093,10000,94.409094,0.040053654,0.05141248599999999,-0.23451889,-0.026276467,-0.20408013,0.027313292000000003,0.018202636,0.25301883,0.01630844,-0.13943043
5,-180.004573,12000,114.789851,0.040053654,0.05141248599999999,-0.23451889,-0.026276467,-0.20408013,0.027313292000000003,0.018202636,0.25301883,0.01630844,-0.13943043
6,-1060.474043,14000,135.00405800000001,0.1514844,-0.001871286,-0.24992053,0.11503119999999999,-0.28154752,-0.118522584,0.04703286,0.24851863,-0.05614339,-0.2334772
7,-1066.233308,16000,153.53835700000002,-0.027537407000000003,-0.126881,-0.24430515,0.27228782,-0.28997,-0.4031405,0.083583385,0.21745268,0.18896478,-0.5524875
8,-1006.4790130000001,18000,171.74413,-0.29919145,-0.3585199,-0.22253874,0.36470178,-0.31958905,-0.6438376,0.19753084,0.25517216,0.33128324,-0.85209566
9,-1485.939119,20000,189.946296,-0.47107822,-0.5200732,-0.19305235,0.48201478,-0.29697442,-0.7970710999999999,0.22619061,0.30675313,0.45744179999999995,-0.9699834
10,-660.248835,22000,208.354141,-0.66599894,-0.6640841,-0.19669735,0.5302783,-0.33286715,-0.8239973,0.33757392,0.32150304,0.50764614,-1.1419773000000002
11,-1352.3484310000001,24000,227.64286800000002,-0.71030086,-0.8002289,-0.18008554,0.5996464,-0.32237998,-0.64340514,0.4511005,0.35738516,0.580064,-1.2147472
12,-1379.519956,26000,246.41051000000002,-0.74987173,-0.8729244,-0.17808576,0.6613965,-0.33019578,-0.71729535,0.5074554,0.39112607,0.62896544,-1.3072706
