,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1893.226808,2000,18.204007999999998,-0.23619129,0.18481337,-0.09284555,0.21201506,0.23160136,0.14225101,-0.12431579,0.22721249,0.07258378,-0.06678165
1,-1892.093182,4000,40.526165,-0.22420482,0.185407,-0.09614912,0.2115145,0.23155776,0.14188579,-0.1265518,0.22367914,0.07269102,-0.06628556
2,-1892.446986,6000,63.43855799999999,-0.2243676,0.18446054,-0.10306409,0.2113397,0.2298125,0.14163166,-0.12509878,0.22102292,0.06965286,-0.06543168
3,-1892.488094,8000,80.702966,-0.20886853,0.18533142,-0.10842205,0.20719442,0.22095429999999996,0.14129308,-0.120962955,0.21632129999999997,0.07356232,-0.07281982
4,-1892.997166,10000,98.337519,-0.19706336,0.18203989999999998,-0.13204855,0.2024835,0.20999208,0.13370967,-0.11344975,0.20866527,0.08046769,-0.083444595
5,-1892.38451,12000,117.33345,-0.17823568,0.18264282,-0.19565165,0.19838978,0.20552103,0.122938946,-0.11406749,0.20105015,0.080736406,-0.08892326
6,-1892.34287,14000,135.515326,-0.18088634,0.18110181,-0.24223043,0.19928461,0.21197765,0.12069757,-0.11366841,0.21469824,0.072541066,-0.09493543
7,-1892.542657,16000,152.894922,-0.21155820000000003,0.16860823,-0.22588122,0.20517613,0.20803826,0.15354478,-0.10410398,0.24410814,0.0658782,-0.10456927
8,-1892.2421399999998,18000,172.080506,-0.17203206,0.16104792,-0.15815261,0.18844959,0.21819727,0.19811703,-0.14040641,0.28198397,0.00689755,-0.10784197599999999
9,-1892.56937,20000,190.760891,-0.12920408,0.16247179,-0.13454984,0.16999945,0.21593720000000002,0.19664085,-0.15546955,0.27526838,0.010860537,-0.12621619
10,-1784.542397,22000,209.243114,-0.12040274599999999,0.15572725,-0.14362495,0.16187905,0.21850587,0.19635792,-0.16552588,0.26490086,0.02361025,-0.14204156
11,-1892.1411,24000,230.144367,-0.12485562,0.14630812,-0.15392202,0.15538670000000002,0.21587938,0.19818793,-0.1544845,0.2623065,0.038755536,-0.1482665
12,-1892.207014,26000,248.91403799999998,-0.13677709999999998,0.13312745,-0.17312106,0.14939615,0.21725078,0.20517193,-0.12928686,0.2500395,0.041830935,-0.17480062
13,-1892.920273,28000,266.746577,-0.15371111,0.14404014,-0.18064228,0.16537066,0.23312116,0.20012486,-0.11360466,0.25165954,0.045415863,-0.188329
14,-1894.5612010000002,30000,284.021705,-0.17911746,0.13521808,-0.18368423,0.16400732,0.23478688,0.21136463,-0.09226970400000001,0.23962027,0.05007825,-0.19924092
15,-1894.994188,32000,300.293969,-0.17409298,0.14110674,-0.19752564,0.15808953,0.24207616,0.20960860000000003,-0.07005951,0.23832713,0.06472833,-0.19923224
16,-1893.8714530000002,34000,317.512517,-0.149371,0.13677187,-0.19771934,0.13579978,0.24235934,0.20829998,-0.055582295999999996,0.25209847,0.060806072999999995,-0.20133963
17,-1894.7563899999998,36000,334.78324399999997,-0.14969268,0.17245673,-0.19497098,0.14313865,0.24516554,0.19626106,-0.046723787,0.24349871,0.049617887,-0.1995232
18,-1895.204341,38000,351.302755,-0.16292806,0.1655285,-0.20171054,0.15543507,0.23624338,0.20212269,-0.039504267,0.23127341,0.05545827,-0.21114801
19,-1817.29963,40000,367.608969,-0.16667613,0.15393724,-0.19404511,0.16091885,0.24028957,0.19951282,-0.04052487,0.21862800000000002,0.056316134000000004,-0.19795077
20,-1894.969584,42000,384.121623,-0.16436152,0.14950532,-0.19251555,0.16187808,0.24566783,0.20492443,-0.033333074,0.20752318,0.051309966,-0.20585094
21,-1894.941977,44000,401.368961,-0.16619198,0.13430864,-0.1959038,0.157271,0.24411477,0.20841098,-0.025065543,0.19125254,0.055804797,-0.22178686
22,-1895.4095899999998,46000,418.35441000000003,-0.15786986,0.13887684,-0.19742769,0.15797853,0.26826245,0.20261568,-0.022008677999999997,0.17885126,0.054433100000000005,-0.21610974
23,-1895.6125760000002,48000,434.989113,-0.123378806,0.17322837,-0.23501988,0.173513,0.29633259999999995,0.19164373,-0.01491166,0.2070461,0.04847061,-0.24298474
24,-1895.5987469999998,50000,452.019883,-0.10652117400000001,0.1887074,-0.24768257,0.18490824,0.29745877,0.19152337,-0.010453034,0.20354389999999997,0.04289605,-0.24827770000000002
25,-1895.667232,52000,469.52112999999997,-0.09848808,0.19694003,-0.25226986,0.19404528,0.29240808,0.19267449,-0.009284305999999999,0.20690732,0.041513857,-0.25144160000000004
26,-1895.958625,54000,486.82370499999996,-0.09354861,0.19746178,-0.24628873,0.1973778,0.28932783,0.19222546,-0.0037731938,0.20538828,0.04029022,-0.24871063
27,-1896.0570739999998,56000,504.781737,-0.076959535,0.19668210000000003,-0.23700304,0.18778092,0.2959362,0.19367248,-0.015070027,0.20887856,0.037834305,-0.23397203
28,-1723.9862640000001,58000,521.4959,-0.08894583,0.17004938,-0.20912522,0.15339357,0.3076109,0.19882806,-0.028523235,0.19415168,0.037334877999999995,-0.22300632
29,-1896.51295,60000,541.3017120000001,-0.093338974,0.16640565,-0.18911836,0.12672654,0.32428256,0.19816470000000003,-0.044880792,0.1669381,0.049074948,-0.21750784
30,-1896.659826,62000,557.870018,-0.087177925,0.1698999,-0.19920407,0.16932221,0.31686,0.19836856,-0.045663994000000006,0.16717167,0.042594686,-0.21336272
31,-1478.5447689999999,64000,579.451103,-0.106398925,0.17737512,-0.19904368,0.19935179999999997,0.31729308,0.19443956,-0.027953705,0.17147574,0.040659666000000004,-0.22007348
32,-1466.816432,66000,598.1819849999999,-0.12040382599999999,0.20075268,-0.18684702,0.22097154,0.29550007,0.19482929999999998,-0.023287311,0.19165103,0.037229393,-0.22128414
33,-1218.022581,68000,618.3736200000001,-0.10754659,0.17793418,-0.19129543,0.22269819999999999,0.3018728,0.19147821,-0.015164667,0.19804247,0.03631085,-0.23442388
34,-1408.392717,70000,637.2383179999999,-0.100887835,0.1625585,-0.14610082,0.22336003,0.29294902,0.18583697,-0.010259034,0.19097792,0.034175742,-0.23335108
35,-1269.597189,72000,656.842812,-0.08629284,0.17015085,-0.12256397,0.22477338,0.29577926,0.17647056,-0.0044598747,0.1890574,0.03249976,-0.22782154
36,-1383.048639,74000,673.451805,-0.08790066,0.17710318,-0.099304885,0.23118162,0.30936253,0.16986753,-0.0040763365000000005,0.18733640000000001,0.031069994,-0.23576814
37,-1706.80965,76000,690.193623,-0.08655643,0.1821059,-0.07532596,0.23406932,0.32146344,0.16908197,0.0031107,0.17534864,0.0310172,-0.23667079
38,-1209.358778,78000,706.960055,-0.08564315,0.18086384,-0.068895176,0.2293018,0.340889,0.16907549,-0.0023826496,0.17725374,0.033981156,-0.23835257
39,-1047.6501779999999,80000,726.794904,-0.09115834,0.17436907,-0.06401793,0.22803792,0.34327486,0.16820599,0.0024436044,0.17173694,0.03500251,-0.23570774
40,-1864.982655,82000,745.913448,-0.08913804,0.16840304,-0.04967122,0.23004596,0.34434709999999996,0.17151055,-0.0010706832,0.1744069,0.033251017,-0.23324396
41,-1867.1100940000001,84000,763.524948,-0.08404847,0.17314681,-0.049747698,0.23088881,0.34507787,0.17256139,0.0026036748,0.17348148,0.03432295,-0.23030242
42,-1872.8202059999999,86000,783.6959360000001,-0.08040413,0.17961553,-0.049144357,0.2330304,0.34634396,0.16996865,-0.0052013695,0.17329462,0.034598652,-0.23162006
43,-1871.5550440000002,88000,802.965224,-0.0809823,0.18358262,-0.056463607,0.23420492,0.34521866,0.16964985,-0.01412857,0.17625955,0.038382404,-0.22554423
44,-1863.048275,90000,825.236279,-0.08024880000000001,0.18415204,-0.04672889,0.23459165,0.34108720000000003,0.17093204,-0.015895335,0.16940120000000003,0.042061657,-0.22935271
45,-1189.01867,92000,846.9619470000001,-0.07935961,0.18516034,-0.053293757000000004,0.23305541,0.33882055,0.17191952,-0.002328726,0.16222565,0.041874636,-0.22302015
46,-1630.554968,94000,865.815865,-0.08469942,0.1807221,-0.059624407000000004,0.22538084,0.34088105,0.17210297,0.0051417863,0.15801881,0.0456084,-0.22114661
47,-1450.1003,96000,882.0972859999999,-0.09017858,0.18037108,-0.06497706,0.22100677,0.34108740000000004,0.1778175,0.008995106,0.16033207,0.04376229,-0.2162491
48,-931.5796310000001,98000,905.152326,-0.08754643,0.18062189,-0.06677814,0.22120485,0.34199497,0.17512457,0.016026761,0.15844439,0.046180844000000006,-0.21406221
49,-914.5775890000001,100000,931.147542,-0.08671656,0.17227206,-0.06378936,0.22195859,0.34809163,0.17592123,0.022257755,0.15470956,0.05058681,-0.21319987
50,-847.125942,102000,957.801516,-0.08701312,0.16246054,-0.06059416,0.22403736,0.34805197,0.17230944,0.025389357,0.14875585,0.059277199999999995,-0.21546239999999997
51,-1429.33038,104000,981.928815,-0.07734589,0.16437532,-0.061719935,0.22750261,0.34330994,0.16951057,0.027505586000000002,0.1527842,0.062174357,-0.20913754
52,-1054.408125,106000,1001.0862779999999,-0.08072228,0.15162566,-0.06995769,0.23051527,0.34255290000000005,0.17020456,0.029098116,0.14845318,0.061570282999999996,-0.1983486
53,-982.291299,108000,1020.656741,-0.07749595,0.13683261,-0.07828064,0.23052709,0.33992323,0.17058358,0.030960402,0.14486834,0.06244612,-0.19362167
54,-1013.091223,110000,1042.564968,-0.07301324599999999,0.120177925,-0.078298226,0.23063989,0.33645603,0.17380631,0.027907964,0.1360829,0.063788675,-0.19568607
55,-1017.937667,112000,1064.6459869999999,-0.08235063,0.14410095,-0.07065927,0.23896745,0.33011153,0.17513296,0.026167672000000003,0.13767752,0.059333496,-0.19901282
56,-1749.8203260000003,114000,1087.905152,-0.092033826,0.15248094,-0.059296772000000005,0.24213281,0.3290099,0.17169492,0.028942352,0.13508204,0.06792504,-0.19817908
57,-838.208227,116000,1113.362412,-0.10018618,0.14334881,-0.06182668,0.24050891,0.32986012,0.1732374,0.02826937,0.13684528,0.0790974,-0.19648412
58,-1052.931689,118000,1135.521023,-0.10119102,0.1421552,-0.05349264,0.23774908,0.33153449999999995,0.17447388,0.026216285,0.12667017,0.07728545,-0.19347012
59,-1194.525418,120000,1159.737048,-0.10048910000000001,0.13209988,-0.059784412,0.24176209,0.33315772,0.17708191,0.024967264,0.12416643,0.08752951,-0.19573279
60,-993.629999,122000,1177.477324,-0.10068275,0.1437934,-0.056392577,0.24177271,0.33230040000000005,0.17842874,0.027607044,0.1236251,0.10175609,-0.19681837
61,-623.902588,124000,1195.2594,-0.100699686,0.15821438,-0.07798239,0.2415948,0.33456942,0.18175687,0.027188446,0.12248058,0.10149002,-0.19375862
62,-811.279958,126000,1216.273933,-0.08999961,0.16236232,-0.10189614,0.23700371,0.3462533,0.1818327,0.024989037000000002,0.123443626,0.10791964,-0.19292662
63,-893.5424230000001,128000,1236.168257,-0.08804634,0.14697120000000002,-0.110762075,0.22956700000000002,0.34598285,0.17832243,0.025862992,0.11373004,0.11892894,-0.18989270000000003
64,-783.944508,130000,1254.514686,-0.083195955,0.16015446,-0.12230443,0.22571479,0.34491798,0.17094442,0.025000166,0.10544137,0.113684095,-0.18996121
65,-921.270963,132000,1272.9033,-0.07119549,0.15373957,-0.12505738,0.22363847,0.35158026,0.17191596,0.027219393999999997,0.10145718,0.12956278,-0.19317922
66,-811.076994,134000,1291.115463,-0.061192274000000005,0.14341173,-0.13950777,0.22104502,0.35607946,0.17238307,0.03035304,0.10164933,0.13939095,-0.19391221
67,-425.358936,136000,1308.7541310000001,-0.05768154,0.13988301,-0.14256656,0.22373144,0.35983673,0.17125028,0.032347817,0.10834192,0.14903939,-0.19444187
68,-905.571726,138000,1327.605008,-0.05571369,0.13078989,-0.14943866,0.21980502,0.36261714,0.17365667,0.032124772999999995,0.10698962,0.15474163,-0.19748878
69,-1555.24389,140000,1344.301868,-0.04968699,0.14262415,-0.15433423,0.22077943,0.36475685,0.1712674,0.03168607,0.112539515,0.16510388,-0.19895414
70,-728.031432,142000,1362.860058,-0.036106533999999996,0.16833891,-0.16117524,0.2223891,0.36185327,0.17185816,0.030657565,0.1213193,0.1613177,-0.19820939
71,-642.3856860000001,144000,1380.437504,-0.030106400000000002,0.20191768,-0.1702557,0.22241868,0.35024452,0.15660997,0.028182216,0.1313489,0.16458878,-0.19527782
72,-263.320076,146000,1397.406804,-0.031835694,0.2129558,-0.17490217,0.21758457,0.35493135,0.13883775,0.024168137000000003,0.13050306,0.15806204,-0.1916636
73,-1530.669475,148000,1416.141031,-0.042231534,0.21485938,-0.1827771,0.21270654,0.35846284,0.1283172,0.022912744,0.12764333,0.1433858,-0.18154897
74,-1816.325796,150000,1434.890781,-0.05302836,0.24337709,-0.17392026,0.21304616,0.36362886,0.12065885,0.025808161,0.1508149,0.15500550000000002,-0.17739643
75,-1894.295505,152000,1456.331903,-0.07215991599999999,0.23817697,-0.17579396,0.20636929999999998,0.35701397,0.10501776,0.027964316,0.15696613,0.19619186,-0.17020334
76,-1895.7693359999998,154000,1475.050017,-0.08167221,0.24361566,-0.15746684,0.21417075,0.34517825,0.08234992599999999,0.026114745,0.17956707,0.21297213,-0.16634263
77,-1894.205372,156000,1495.3745789999998,-0.07868859,0.22253785,-0.13169,0.21707666,0.34099174,0.0971505,0.018471671000000002,0.18812814,0.21443513,-0.16375442
78,-1894.3067649999998,158000,1517.6238460000002,-0.057515103,0.20192376,-0.11272344,0.21724008,0.33452025,0.08524471,0.0007262868,0.19558242,0.21270484,-0.1518432
79,-1893.723139,160000,1540.367438,-0.04789639,0.18831842,-0.09034946,0.21653327,0.33434933,0.07027234,-0.0053158184,0.19271001,0.20975666,-0.14630325
80,-1893.7519519999998,162000,1562.93335,-0.058983735999999995,0.19944705,-0.08422045,0.22205691,0.33535394,0.06236575,-0.005896805,0.20755719,0.20881191,-0.14651859
81,-1503.106679,164000,1581.159733,-0.06396923,0.2020474,-0.07759605,0.22474514,0.33983782,0.042757752999999996,-0.011500841999999999,0.19693027,0.21211602,-0.13864176
82,-903.106765,166000,1600.39264,-0.06032771,0.19601053,-0.06251126,0.22979757,0.3400272,0.022738064,0.006274694,0.17152475,0.21198379,-0.12305129999999999
83,-1543.183397,168000,1621.375207,-0.06556595,0.20564045,-0.063374996,0.23603225,0.3521449,-0.0032515628,0.024707722999999997,0.16373536,0.1915567,-0.11422205
84,-1535.470915,170000,1639.9818070000001,-0.08416298,0.26378015,-0.11437378,0.23896189,0.35818934,-0.018290278,0.037564006000000004,0.18141903,0.18362638,-0.107486956
85,-889.640508,172000,1661.233146,-0.098289,0.29062309999999997,-0.1267961,0.23786242,0.3742796,-0.02914397,0.040527254,0.20317000000000002,0.21977715,-0.11786914
86,-1481.325393,174000,1681.358788,-0.09329112,0.25819924,-0.10325559,0.23949173,0.37510633,-0.03125962,0.054663714,0.19619541,0.23642714,-0.11636408
87,-143.90559299999998,176000,1698.1786730000001,-0.09043886,0.26582843,-0.11065286,0.2526242,0.36285619999999996,0.029399136,0.031892814,0.22479641,0.2392238,-0.10119362
88,-755.731171,178000,1717.043482,-0.11011752,0.2613013,-0.10949884,0.27185190000000004,0.33882162,0.034067784,-0.022632314,0.2410337,0.22917297,-0.06296267
89,-164.10251200000002,180000,1737.42525,-0.12470798,0.25085512,-0.16419044,0.27852258,0.32972270000000004,0.017618721,-0.014201596,0.24372716,0.2293613,-0.04256661
90,-1480.519015,182000,1757.6658280000001,-0.10284428,0.23493057,-0.16395368,0.28044537,0.33091047,0.007703093,-0.013123802,0.2437601,0.22930598,-0.010136454
91,-815.17561,184000,1777.6044329999997,-0.07733615,0.22218226,-0.17674662,0.2815183,0.3397534,-0.011970324,-0.00542371,0.22291467,0.22460116,0.031964898
92,-1314.247374,186000,1796.555039,-0.06688928,0.21612307,-0.17817418,0.28374124,0.35130528,-0.022520127,0.011130412,0.20202787,0.21237884,0.06561249
93,-1459.983342,188000,1816.470986,-0.04319607,0.22104236,-0.19923551,0.28223473,0.34626862,-0.018194476,0.011712232,0.20506062,0.20473458,0.08872083
94,-1539.902538,190000,1833.6768370000002,-0.03615837,0.20327894,-0.21025546,0.27844682,0.34574664,-0.0030285963000000003,0.011929271000000002,0.21082105,0.19523624,0.159326
95,-608.371974,192000,1850.6360309999998,-0.019772448,0.20976485,-0.22876821,0.27651504,0.33665429999999996,0.012792113999999999,0.021407877999999998,0.18250147,0.18786037,0.16480735
96,-1270.308728,194000,1867.5634710000002,0.05768537,0.20812383,-0.24195662,0.2747636,0.31926447,0.0485412,0.020024238,0.13149620000000004,0.17703608,0.14396812
