,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-1945.165509,2000,14.56724,-0.030148951,-0.06769976,0.20251773,-0.21320562,0.1447558,0.21543127,0.17679435,0.04144849,0.29893592,0.26088327
1,-1945.1687940000002,4000,36.411963,-0.030726657999999997,-0.07072943400000001,0.20455419,-0.21542193,0.14491166,0.21681885,0.17853442,0.036634553,0.29303049999999997,0.26040825
2,-1945.223538,6000,53.927188,-0.028765894,-0.06864301,0.20625712,-0.21211858,0.14758694,0.21707442,0.18706821,0.039292306,0.29141444,0.26222894
3,-1945.266704,8000,71.650566,-0.029072003,-0.038762987,0.19047984,-0.21311028,0.14364062,0.2151196,0.21713965,0.050443932000000004,0.30587825,0.25961652
4,-1945.291256,10000,88.17397700000001,-0.038105592,0.004027996,0.17750698,-0.20000617,0.12082153,0.2131655,0.22426832,0.066203564,0.28832728,0.2681932
5,-1945.2823010000002,12000,105.465551,-0.040205753999999996,0.022215127999999997,0.1571789,-0.20007528,0.120879225,0.21607769,0.23132215,0.0814965,0.2919965,0.26523256
6,-1945.4335239999998,14000,122.71016200000001,-0.039093763,0.0312275,0.15464011,-0.20756894,0.12890503,0.21600866,0.2367028,0.082118824,0.28889003,0.26348516
7,-1945.4633390000001,16000,139.90845900000002,-0.028564292999999998,0.029917639,0.14041789999999998,-0.21695250000000002,0.14050087,0.20660532,0.23495206,0.07786376,0.29812622,0.2607834
8,-1945.4657149999998,18000,157.51187,-0.024122009,0.02912533,0.14571543,-0.22510552,0.14788866,0.19492006,0.229685,0.077178694,0.30177529999999997,0.2533828
9,-1945.465885,20000,174.019418,-0.018224593,0.025485864,0.13817999,-0.23209588,0.16468504,0.18132088,0.22560014,0.07910861,0.30451816,0.24954429999999997
10,-1945.465848,22000,190.75011,-0.02652453,0.033349574,0.13539958,-0.23097039999999996,0.17202635,0.16812986,0.22470425,0.075268,0.30539978,0.25071037
11,-1945.4659100000001,24000,207.42975,-0.031142361,0.0261132,0.12981175,-0.2215593,0.18088344,0.15308768,0.22855674,0.06562614,0.30965525,0.24828565
12,-1917.224555,26000,224.530181,-0.033872526,0.02197023,0.1291835,-0.21735676,0.18789734,0.15031128,0.23357153,0.059012916,0.31106845,0.24531946
13,-1900.000589,28000,243.91942200000003,-0.05988227,0.02440151,0.12496732,-0.23039266,0.18749820000000003,0.15038532,0.22948217,0.06354496,0.32768783,0.24965273
14,-1860.959759,30000,263.259511,-0.055918474,0.029205663,0.12930092,-0.26745483,0.18781014,0.13935262,0.23774402,0.06047214,0.32358077,0.25129342
15,-1907.6802489999998,32000,281.98875400000003,-0.05377529599999999,0.03124002,0.13882032,-0.27786297,0.18498468,0.13629209,0.23292229,0.06502382,0.3236323,0.26352125
16,-1865.732825,34000,298.953035,-0.05369867,0.031948935,0.12927282,-0.29466143,0.18000413,0.13871124,0.23438142,0.07122098,0.3245749,0.3053575
17,-1899.444019,36000,316.173039,-0.05583925,0.031774987000000005,0.12589101,-0.29744303,0.17906116,0.13867449999999998,0.23488915,0.06685773,0.3250478,0.31607124
18,-1905.7180059999998,38000,333.601167,-0.06159863,0.034477618,0.13579522,-0.3014105,0.18204938,0.13727587,0.22986397,0.06734967,0.32508242,0.32936606
19,-1839.7626940000002,40000,350.905415,-0.054771575999999995,0.035391547,0.15046693,-0.31471616,0.17184195,0.13383242,0.23498082,0.07194759,0.3275336,0.32741553
20,-1609.914807,42000,370.14201299999996,-0.04407931,0.031938385,0.14189278,-0.33031037,0.16117905,0.12697604,0.23597443,0.07192224,0.33096415,0.32204214
21,-1945.310458,44000,390.161239,-0.037232034,0.028199427000000003,0.136938,-0.33164838,0.14777932,0.12244769999999999,0.23540285,0.07497428,0.32962653,0.3279627
22,-1945.233722,46000,407.457065,-0.037196435,0.026548142,0.13561971,-0.32886459999999995,0.14280237,0.120705225,0.224859,0.07439612,0.32545632,0.33473924
23,-1908.794956,48000,424.690768,-0.03803129,0.024022492000000003,0.13280115,-0.32533574,0.13881056,0.11759991,0.22500268,0.07466287,0.33198482,0.3485283
24,-1812.086527,50000,442.086956,-0.035695966,0.01976045,0.13500810000000002,-0.32646975,0.1292012,0.111661814,0.22455782,0.07485527,0.33378965,0.36917138
25,-1945.349107,52000,459.468063,-0.028428286,0.008813878,0.12577005,-0.33031859999999996,0.12693904,0.11941514,0.22084782,0.078495495,0.32586909999999997,0.36263224
26,-1945.417577,54000,476.875951,-0.026146146000000002,0.0053385496,0.12457660000000001,-0.33357394,0.12890135,0.12620325,0.2095902,0.0804205,0.32648593,0.36658987
27,-1945.4192480000002,56000,494.204754,-0.02877585,0.002588697,0.13151719,-0.33736768,0.13292761,0.13393636,0.19973041,0.07668517,0.32772717,0.37053108
28,-1876.153043,58000,511.54981,-0.02460106,-0.0050282604,0.12944539,-0.34582976,0.13316342,0.13669722,0.19926386,0.07142771,0.3282855,0.37465373
29,-1901.874938,60000,530.308422,-0.026039572,-0.0005512193,0.13274641,-0.3527097,0.13180485,0.13735993,0.20072497,0.067636974,0.32917726,0.3738071
