,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-406.34538,2000,16.376243,0.31148422,0.07944946,0.083375536,0.26078188,0.03181342,-0.20565215,-0.20399259,0.015405878000000001,0.037023794,0.20030645
1,-919.9647980000001,4000,39.508526,0.31152588,0.08317538,0.08539721,0.25742483,0.028646348,-0.21765052,-0.2011299,0.017368164,0.042294372000000004,0.20034739999999998
2,-932.1542109999999,6000,59.243489000000004,0.3120384,0.081790686,0.08616168,0.25547794,0.029361987000000003,-0.21774422,-0.19855945,0.019401059,0.04085519,0.19964753
3,-839.964617,8000,81.140589,0.31094292,0.08037238599999999,0.08609539,0.25705943,0.028531866,-0.22527297,-0.18752709,0.025662154,0.038890798,0.1993824
4,-1122.6862199999998,10000,101.763991,0.30529347,0.072470985,0.08801835,0.26506996,0.02296825,-0.23040538,-0.14978157,0.03432773,0.039238244,0.19399613
5,-1217.268367,12000,121.055429,0.29652345,0.062634856,0.09061926599999999,0.2648056,0.019762108,-0.23684388,-0.11299202,0.03417882,0.040331054,0.19259766
6,-1048.899832,14000,139.699812,0.29584435,0.056553688,0.092140086,0.26398996,0.016604044,-0.22323066,-0.08825465,0.03508203,0.040834967,0.20454566
7,-1203.988017,16000,158.662789,0.30178976,0.053674445,0.08396348,0.2628545,0.018050365,-0.20684439999999998,-0.08830231,0.035608653,0.046066035,0.20728110000000002
8,-1152.772651,18000,177.617456,0.30489936,0.045637377,0.086956166,0.26624587,0.013476478,-0.20043209,-0.07996814,0.032789376,0.055112753,0.20099822
9,-1119.593981,20000,198.361375,0.30815423,0.039639432,0.08759828,0.27035517,0.009521905,-0.19996527,-0.07868056,0.028595528,0.056237828,0.19806862
10,-904.380326,22000,217.43325099999998,0.3008301,0.032197832999999995,0.09014927,0.27235746,0.0022239522,-0.19867012,-0.07682426,0.032028653,0.057934698,0.19235943
11,-766.540391,24000,236.14361,0.3054854,0.037611328,0.09475555,0.26930112,0.0059074033,-0.20117748,-0.07838345,0.032433506,0.053889003,0.1933001
12,-1467.690998,26000,254.45580800000002,0.30415908,0.040004026,0.09868265,0.27578133,0.0037978075,-0.19992332,-0.07543015,0.04221707,0.054347485,0.18642418
13,-1471.622716,28000,272.224636,0.30632719999999997,0.0488418,0.11189656,0.27235383,-0.006166525,-0.19460596,-0.07595214,0.04015313,0.05350115,0.18554500000000002
