,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-720.541306,2000,15.230657,-0.13639784,-0.15310761,0.10520512,0.12826058,0.14439535,-0.27553755,0.24186102,-0.19944897,0.074664116,0.063433774
1,-553.893926,4000,38.961357,-0.13639784,-0.15310761,0.10520512,0.12826058,0.14439535,-0.27553755,0.24186102,-0.19944897,0.074664116,0.063433774
2,-510.163649,6000,58.387843000000004,-0.13639784,-0.15310761,0.10520512,0.12826058,0.14439535,-0.27553755,0.24186102,-0.19944897,0.074664116,0.063433774
3,-642.196296,8000,77.549217,-0.13639784,-0.15310761,0.10520512,0.12826058,0.14439535,-0.27553755,0.24186102,-0.19944897,0.074664116,0.063433774
4,-701.601673,10000,94.822059,-0.13639784,-0.15310761,0.10520512,0.12826058,0.14439535,-0.27553755,0.24186102,-0.19944897,0.074664116,0.063433774
5,-513.5059269999999,12000,111.40127199999999,-0.13639784,-0.15310761,0.10520512,0.12826058,0.14439535,-0.27553755,0.24186102,-0.19944897,0.074664116,0.063433774
6,-547.828775,14000,127.536993,-0.13616878,-0.2541491,0.18377157,0.0012608102,0.15466724,-0.27189866,0.25100439999999996,-0.14130917,0.062966034,-0.055577613
7,-688.714707,16000,143.201634,-0.11780323,-0.24542402,0.21322797,-0.014466712,0.14487329,-0.25202240000000004,0.23482238,-0.12245178,0.08159155,-0.07156147
8,-995.1796810000001,18000,159.045522,-0.12707628,-0.27532290000000004,0.25111124,-0.031742774,0.14171988,-0.21452291,0.23770337,-0.13146974,0.08402874,-0.08685351
9,-1323.818793,20000,176.845438,0.109364845,-0.23677313,0.15261802,-0.15463401,0.24172828,-0.06895906,0.21077958,-0.09204904,0.08858971,-0.057140913
10,-994.4056009999999,22000,196.271691,0.10798612,-0.18445122,0.1493992,-0.21095729,0.23883839,-0.031454466,0.17610724,-0.08972889,0.08758067,-0.059041537000000005
11,-662.958275,24000,214.083548,0.11219379,-0.12483655,0.15193912,-0.18720427,0.2588044,-0.014576535,0.16394920000000002,-0.09732713,0.06065485,-0.05010119999999999
12,-1297.761977,26000,230.778869,0.13021787,-0.13356686,0.18609297,-0.15587598,0.25031507,0.009756979499999999,0.14779602,-0.13136293,0.06661207,-0.043877155
