,r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
0,-801.938013,2000,15.93219,0.17482394,0.08092672,0.06379354,0.11359769,0.2733957,-0.07130772,-0.13230677,0.20404223,-0.17936897,0.19545965
1,-1179.725352,4000,38.272628000000005,0.17679182,0.080563866,0.06295165,0.11473777,0.27228397,-0.07177995,-0.12670448,0.19924998,-0.17933746,0.19003335
2,-1276.030651,6000,55.061797999999996,0.17851248,0.080682375,0.062171727,0.11538433,0.27178764,-0.07121589,-0.13206895,0.20013133,-0.17884517,0.1922325
3,-1264.86706,8000,73.10374499999999,0.17905942,0.081348225,0.05656537,0.114959486,0.2710488,-0.06655367,-0.13206916,0.20251909,-0.17717892,0.19515313
4,-1280.284416,10000,88.836049,0.16825742,0.080108605,0.06415585,0.11218030000000001,0.27028263,-0.051895082,-0.133664,0.19593884,-0.18064415,0.20030799999999999
5,-1262.798139,12000,105.076523,0.16330582,0.07839489999999999,0.07051807,0.11268552,0.26871687,-0.065030634,-0.12550849,0.18307856,-0.18045004,0.20426093
6,-1248.27697,14000,121.154983,0.14273475,0.085096456,0.08373346,0.11634676,0.26886588,-0.00077779015,-0.111099616,0.19800185,-0.18154497,0.21192566
7,-1154.681966,16000,137.771268,0.14850208,0.084826745,0.08690879,0.11330724,0.2682578,0.006382231600000001,-0.111635976,0.18872578,-0.17857775,0.20836738
8,-1194.499675,18000,156.419372,0.14088316,0.09703501,0.08630267,0.11710979,0.27237004,0.026775775,-0.11157251,0.19029023,-0.17302583,0.21124904
9,-917.749917,20000,175.369004,0.13666589999999998,0.10761878,0.08612729599999999,0.11831671,0.27829713,0.042316797999999996,-0.11276770400000001,0.20413557,-0.1670026,0.22486898
10,-980.033315,22000,194.191786,0.1409945,0.108691804,0.08284263,0.12136452,0.2805626,0.04875407,-0.10142142,0.20253279999999999,-0.15850022,0.22663072
11,-946.437365,24000,210.587016,0.14301503,0.1101453,0.08088211,0.12214962,0.28176996,0.053378052999999995,-0.10092787,0.20484352,-0.15273285,0.23724209
12,-1005.7515119999999,26000,226.78185699999997,0.14095403,0.111122705,0.076642215,0.12115965,0.28352386,0.055076495,-0.09360619,0.20858115,-0.15686211,0.24409944
13,-988.758855,28000,243.711573,0.14540294,0.11155268,0.075072095,0.11983031,0.28699285,0.056046322,-0.09467363,0.20552379,-0.15512006,0.24532649
14,-1074.7300539999999,30000,261.382321,0.14061321,0.11077469,0.0751791,0.11934499,0.2866205,0.05583967,-0.09896444,0.20540375,-0.1565079,0.25295067
15,-945.3381410000001,32000,280.16153199999997,0.14859316,0.10958411,0.075472765,0.12304102,0.2865953,0.05728306,-0.09416537,0.20528781,-0.16017228,0.2612862
16,-993.883946,34000,296.955204,0.15573211,0.109317474,0.071270995,0.125452,0.28688923,0.05779897,-0.09166939,0.20600648,-0.15870602,0.2645794
17,-880.3585640000001,36000,314.77018300000003,0.15228516,0.10609111,0.07182724,0.12842733,0.2877141,0.058917638,-0.103665054,0.20634149,-0.15674564,0.26975974
18,-908.005217,38000,332.23278700000003,0.14639312,0.10344572,0.07639454,0.12630539,0.29723740000000004,0.061475173,-0.13375194,0.20304793,-0.15450732,0.26727690000000004
19,-1084.362597,40000,350.886554,0.14618497,0.10096721,0.082309656,0.13293229,0.3019953,0.05153288,-0.13205150000000002,0.19799085,-0.16466142,0.26489908
20,-995.516699,42000,370.012922,0.14619089999999998,0.10355408,0.08137734,0.13750476,0.2933172,0.051106545999999996,-0.09256175,0.19889744,-0.1619938,0.27147326
21,-1029.040463,44000,390.416422,0.13829373,0.10408428,0.08332333,0.14070760000000002,0.28990805,0.04797654,-0.09485157599999999,0.21268012,-0.14945266,0.27221316
22,-1003.5790509999999,46000,411.153588,0.128571,0.105117716,0.08748509,0.14028168,0.28230548,0.054830894000000005,-0.081382394,0.18764754,-0.15268604,0.26651186
23,-998.7537070000001,48000,433.385817,0.14335282,0.10272301,0.08392196,0.14019857,0.28122659999999994,0.05925418,-0.08019245,0.19612449999999998,-0.16737483,0.26386909999999997
24,-1185.48908,50000,453.310189,0.15199171,0.099185824,0.080916494,0.14535329,0.26830584,0.06713111,-0.08397772,0.20631017,-0.17246705,0.26321635
25,-1188.43674,52000,473.602692,0.15741463,0.09967296,0.07905916,0.14875007,0.27261907,0.06869088,-0.08401581,0.21669823,-0.1716053,0.26317284
26,-950.2737689999999,54000,493.412401,0.15387598,0.10422813,0.08445751,0.15191777,0.26212656,0.071602575,-0.0950198,0.2348834,-0.16647081,0.26143163
27,-1192.884147,56000,512.77787,0.15107264,0.10657801,0.087845325,0.15195088,0.24686578,0.06907982,-0.08112093,0.22920214,-0.1734091,0.26058155
28,-964.4774470000001,58000,533.889642,0.15188725,0.10505478,0.086656734,0.15781721,0.22354825,0.061106615,-0.07633929,0.23330920000000002,-0.17495944,0.25619733
29,-987.785075,60000,552.373734,0.14092615,0.10775562400000001,0.08851753,0.15626398,0.21971342,0.057073917,-0.07831892,0.23161025,-0.17031592,0.25571594
30,-995.392015,62000,572.600652,0.14323613,0.10926391,0.09268227,0.16022160000000002,0.20848738,0.053788148,-0.08484944,0.22441305,-0.15380089,0.2537586
31,-1141.847026,64000,592.384346,0.15107341,0.10895539999999998,0.08995303,0.17107739,0.22069354,0.068726785,-0.08608076,0.21522453,-0.13657422,0.25159535
32,-931.151628,66000,611.743778,0.16206585,0.11281686,0.08648528,0.17329359,0.20168824,0.0674975,-0.08603433,0.2068116,-0.11632337400000001,0.24883306
33,-1041.890032,68000,631.111157,0.17006223,0.110110775,0.08188669400000001,0.17974155,0.18975998,0.07472751,-0.09361686,0.22411309999999998,-0.11297510599999999,0.24690631
34,-1448.630406,70000,647.756508,0.16233607,0.107879505,0.07408507,0.18242215,0.17638473,0.069933645,-0.10930178,0.22937510000000003,-0.10795088,0.23736598
35,-1411.065113,72000,664.811981,0.16221915,0.10855930000000001,0.070590235,0.18550183,0.1793531,0.06929592,-0.12017855,0.23098297,-0.11688319999999999,0.23115292
36,-1407.682779,74000,682.1878,0.15190884,0.10874873,0.07081438,0.1848521,0.18979906,0.06516003,-0.12705539999999999,0.24215728,-0.12331543,0.23185219999999998
37,-1080.3207400000001,76000,700.073947,0.14364395,0.11335425,0.07164723,0.1890169,0.17375919,0.06578168,-0.12568074,0.25313962,-0.12998788,0.22444095
38,-1494.590862,78000,717.5637830000001,0.14920744,0.117265396,0.06882566,0.18564227,0.16258986,0.071179226,-0.12222329,0.24053061,-0.13876636,0.23152497
39,-942.3245039999999,80000,734.804194,0.14120953,0.11687855,0.06836944,0.18747607,0.15907815,0.06795322,-0.119397655,0.25867262,-0.13591447,0.22653557
40,-1084.120598,82000,753.01596,0.17889099,0.12471442,0.07304489,0.1731069,0.19600178,0.080890745,-0.13503045,0.2528274,-0.13586298,0.23030381
41,-1482.1143869999999,84000,771.299758,0.19080102,0.13840246,0.07195324,0.15939626,0.22993924,0.07846231,-0.13930702,0.25582054,-0.13507560000000002,0.22924076
42,-1381.788433,86000,789.71954,0.22913409999999998,0.13988738,0.067009054,0.15684357,0.2348815,0.08115609,-0.14717238,0.26727164,-0.13695051,0.22818983
43,-1373.8574310000001,88000,806.392284,0.22410904,0.15241946,0.07624086,0.15342021,0.25228986,0.082125716,-0.15937102,0.27611998,-0.15757671,0.24316974
44,-931.216892,90000,824.237661,0.25243000000000004,0.15301729999999997,0.08842477,0.1677391,0.24700989,0.04930334,-0.17258684,0.27719570000000004,-0.18266168,0.25378034
45,-1131.751047,92000,844.129626,0.26157647,0.15508781,0.09977547,0.18306215,0.25775433,0.03493618,-0.17227955,0.30098224,-0.19417225,0.27074245
46,-1022.711367,94000,862.6041240000001,0.26247287,0.16533479,0.11184785,0.180988,0.26973070000000005,0.033760026,-0.17764078,0.30812886,-0.19276632,0.29099724
47,-950.9764140000001,96000,882.312347,0.27629846,0.16454789,0.119373806,0.18082246,0.25187668,0.038715497,-0.18303077,0.29418635,-0.18769762,0.30457348
48,-1113.941098,98000,899.3234470000001,0.29601714,0.15392607,0.12606904,0.19139774,0.21154115,0.029527577000000003,-0.18290167,0.27827004,-0.18315282,0.3102938
49,-1066.735541,100000,916.571058,0.31456485,0.14671585,0.13137892,0.20095769,0.1961854,0.022548726,-0.18610942,0.25822866,-0.17052179999999997,0.31462646
50,-1023.92725,102000,933.413143,0.31418082,0.13948736,0.13387425,0.19876921,0.18281515,0.01722343,-0.18945789999999998,0.2533958,-0.16416353,0.3164695
51,-1098.452066,104000,950.465791,0.3224143,0.13398336,0.13501303,0.18819639,0.15915696,0.014665135,-0.19187675,0.27761027,-0.14667301,0.31546172
52,-914.386109,106000,968.9410019999999,0.3083288,0.13028796,0.14050074,0.19803509,0.14406368,0.014283087,-0.19208169,0.28856137,-0.15214397,0.31258813
53,-926.2835880000001,108000,985.724924,0.2967284,0.116282806,0.14031263,0.21451324,0.12419237,0.0150390575,-0.191867,0.29672015,-0.15777051,0.30949879999999996
54,-1079.3412039999998,110000,1003.2173300000001,0.28225368,0.11032081,0.13836665,0.22868508,0.10692554,0.009325952,-0.18328148,0.29779541,-0.16573696,0.3079203
55,-957.0633220000001,112000,1020.006963,0.2804388,0.10908886,0.1392858,0.23621175,0.09748673,0.01112346,-0.1673167,0.2991937,-0.16848798,0.30832020000000004
56,-1007.4165609999999,114000,1036.797386,0.26607457,0.10906959,0.1379934,0.24806528,0.09832343,0.016188463,-0.16065322,0.30194226,-0.16674533,0.30859570000000003
57,-1059.991373,116000,1053.5630429999999,0.27331826,0.10785379,0.13333470000000003,0.25794113,0.08363657,0.014430432,-0.15313171,0.30069014,-0.15723257,0.30357876
58,-1081.57307,118000,1070.458396,0.3192994,0.10778778,0.12886226,0.27322847,0.06053588,0.007949843,-0.14006196,0.29579023,-0.14508307,0.29841888
