,r,l,t
0,-195.711058,5000,30.122224
1,-206.20913000000002,10000,57.417995
2,-621.9932110000001,15000,84.81003299999999
3,-911.18749,20000,112.36859299999999
4,-841.9271890000001,25000,141.605715
5,-846.381967,30000,169.10446000000002
6,-666.3163139999999,35000,196.55382600000002
7,-845.7404630000001,40000,223.550929
8,-831.910443,45000,250.681988
9,-614.858601,50000,277.872281
10,-716.399811,55000,305.161404
11,-817.031451,60000,332.54247599999997
12,-653.70793,65000,359.960054
13,-896.8275130000001,70000,387.399459
14,-645.1473,75000,414.656762
15,-578.2669559999999,80000,441.908603
16,-812.745989,85000,469.00174100000004
17,-749.069287,90000,495.98225999999994
18,-526.713454,95000,523.0540129999999
19,-477.109921,100000,550.45849
20,-580.11314,105000,577.790328
21,-643.330542,110000,605.5025469999999
22,-632.185743,115000,632.8129349999999
23,-697.608302,120000,660.3206849999999
24,-685.507518,125000,687.670805
25,-707.5584980000001,130000,714.900006
26,-757.268173,135000,742.376061
27,-714.601433,140000,770.0376349999999
28,-749.883477,145000,797.357247
29,-676.226075,150000,824.64605
30,-628.349608,155000,852.158589
31,-628.821433,160000,879.69205
32,-665.068434,165000,907.250099
33,-697.674883,170000,934.669551
34,-666.475972,175000,962.129345
35,-659.785737,180000,989.61451
36,-743.1789769999999,185000,1017.374549
37,-716.765845,190000,1045.137776
38,-741.399847,195000,1072.5583980000001
39,-734.084684,200000,1100.057217
40,-733.848576,205000,1127.52865
41,-651.354876,210000,1156.497646
42,-654.403472,215000,1184.863554
43,-657.8813690000001,220000,1212.3012130000002
44,-751.101974,225000,1239.678923
45,-737.274913,230000,1267.087906
46,-749.7712019999999,235000,1294.460801
47,-693.220291,240000,1321.876769
48,-686.0655889999999,245000,1349.4414769999998
49,-659.5331480000001,250000,1377.056113
50,-720.366166,255000,1404.9194929999999
51,-910.875907,260000,1433.076425
52,-732.0394190000001,265000,1461.104074
53,-606.465853,270000,1490.4493949999999
54,-591.084884,275000,1517.3886220000002
55,-611.640523,280000,1544.447252
56,-623.534671,285000,1571.3691939999999
57,-667.414398,290000,1598.200284
58,-496.729191,295000,1627.604708
59,-574.3089809999999,300000,1660.708782
60,-473.232165,305000,1692.71464
61,-705.505121,310000,1724.917504
62,-650.823937,315000,1757.166272
63,-575.797907,320000,1789.1852579999997
64,-619.6779280000001,325000,1821.3525989999998
65,-596.079835,330000,1853.859564
66,-568.4856110000001,335000,1886.3015699999999
67,-548.878938,340000,1918.578536
68,-708.22972,345000,1950.927743
69,-582.8720480000001,350000,1983.279368
70,-591.271263,355000,2015.601503
71,-588.0264639999999,360000,2048.00111
72,-576.8796980000001,365000,2080.410345
73,-681.9280769999999,370000,2113.157499
74,-573.869463,375000,2145.968144
75,-670.7766730000001,380000,2178.445941
76,-618.267417,385000,2210.67288
77,-835.961232,390000,2242.935379
78,-626.562043,395000,2275.303882
79,-752.740009,400000,2307.504672
80,-806.9858019999999,405000,2339.696489
81,-876.599967,410000,2372.127491
82,-795.29391,415000,2404.225858
83,-804.708786,420000,2436.294596
84,-695.905342,425000,2468.524612
85,-753.724334,430000,2500.6654519999997
86,-678.050429,435000,2532.853158
87,-679.928666,440000,2565.052272
88,-834.934096,445000,2597.117017
