,r,l,t
0,-37.999769,5000,35.000049
1,-91.09537900000001,10000,65.687133
2,-129.44791899999998,15000,92.872477
3,-156.041601,20000,121.65886
4,-129.391213,25000,149.246307
5,-130.301003,30000,177.030598
6,-130.53733,35000,204.758733
7,-134.526976,40000,232.74184900000003
8,-136.165909,45000,260.28367599999996
9,-150.36352,50000,288.253832
10,-148.02371100000002,55000,316.214102
11,-128.782823,60000,344.34188
12,-154.701225,65000,372.428791
13,-127.88296399999999,70000,400.89036400000003
14,-79.529669,75000,430.118017
15,-97.334456,80000,461.04746900000004
16,-115.27128799999998,85000,491.599284
17,-144.208095,90000,519.8020280000001
18,-136.295612,95000,548.434352
19,-144.476317,100000,576.687074
20,-104.27345799999999,105000,604.764217
21,-102.479407,110000,632.20104
22,-105.90314599999999,115000,659.1561519999999
23,-101.14028,120000,686.523567
24,-139.411568,125000,717.9139
25,-159.549858,130000,751.700182
26,-162.792506,135000,782.049128
27,-152.586269,140000,816.0757990000001
28,-131.263729,145000,845.477591
29,-151.947908,150000,872.38271
30,-114.250766,155000,899.504324
31,-117.712658,160000,926.251155
32,-100.691388,165000,953.060414
33,-142.588387,170000,982.6962689999999
34,-119.210352,175000,1013.8072689999999
35,-154.865979,180000,1044.266508
36,-151.583338,185000,1071.581215
37,-156.891098,190000,1098.737323
38,-93.006985,195000,1125.873456
39,-116.098684,200000,1152.839869
40,-57.825906,205000,1179.863791
41,-70.78469799999999,210000,1207.216073
42,-109.82547199999999,215000,1234.290151
43,-98.67958399999999,220000,1261.343725
44,-110.30208700000001,225000,1288.4334800000001
45,-48.874637,230000,1315.496356
46,-107.42515800000001,235000,1342.604985
47,-81.50692099999999,240000,1370.098026
48,-98.275254,245000,1397.216117
49,-87.209924,250000,1424.404616
50,-63.227392,255000,1451.48564
51,-86.736214,260000,1478.592051
52,-41.722353999999996,265000,1506.1626410000001
53,-47.782463,270000,1533.5346849999999
54,-41.462527,275000,1561.30777
55,-57.16415799999999,280000,1589.138072
56,-149.25463,285000,1616.807716
57,-88.04236999999999,290000,1644.235745
58,-82.966475,295000,1671.704706
59,-105.58404099999998,300000,1698.935187
60,-55.256043000000005,305000,1726.338725
61,-63.303357,310000,1753.4492289999998
62,-31.870168,315000,1780.5861
63,-121.32644199999999,320000,1808.028709
64,-55.181885,325000,1835.4546050000001
65,-48.796509,330000,1863.013545
66,-63.276929,335000,1890.1870239999998
67,-62.697934,340000,1917.7719260000001
68,-76.540013,345000,1945.248182
69,-74.775376,350000,1972.2642600000001
70,-66.30324300000001,355000,1999.35803
71,-69.668027,360000,2026.4642600000002
72,-113.819526,365000,2053.9308309999997
73,-123.72078799999998,370000,2081.132703
74,-68.87361700000001,375000,2108.6594440000003
75,-78.395216,380000,2136.501457
76,-84.846828,385000,2164.0869190000003
77,-94.971046,390000,2191.209541
78,-90.521787,395000,2218.506244
79,-82.523096,400000,2246.061014
80,-102.449575,405000,2273.5934039999997
81,-103.739723,410000,2301.3117780000002
82,-82.683842,415000,2329.129362
83,-120.695398,420000,2357.066821
84,-101.915429,425000,2385.4003510000002
85,-83.701961,430000,2413.30957
86,-100.458396,435000,2441.60993
87,-85.411694,440000,2469.776991
88,-106.150447,445000,2497.5947539999997
89,-80.094208,450000,2525.309159
90,-83.125341,455000,2553.302916
91,-76.275111,460000,2581.288438
92,-56.786311,465000,2609.175061
93,-72.976986,470000,2637.063596
94,-98.58966,475000,2666.098969
95,-80.632439,480000,2694.874413
96,-73.989028,485000,2723.162879
97,-104.06414699999999,490000,2751.7010530000002
98,-84.101713,495000,2780.061114
99,-89.737296,500000,2808.262457
100,-91.869814,505000,2836.053798
101,-110.49446,510000,2863.958699
102,-110.673993,515000,2891.891809
103,-85.782809,520000,2919.7695710000003
104,-158.952897,525000,2947.633195
105,-70.64301400000001,530000,2975.531149
106,-52.125161999999996,535000,3003.1016280000003
107,-66.95320500000001,540000,3031.01741
108,-85.945489,545000,3058.839441
109,-33.534326,550000,3086.953571
110,-40.799586,555000,3114.892731
111,-117.648987,560000,3142.546902
112,-111.070352,565000,3170.22909
113,-108.98550800000001,570000,3198.123955
114,-115.107176,575000,3225.9463539999997
115,-102.066998,580000,3253.941421
116,-28.438189,585000,3281.983936
117,-34.178721,590000,3309.9422870000003
118,-67.604671,595000,3337.626219
119,-61.122461,600000,3365.498775
120,-136.714001,605000,3393.2451950000004
121,-135.63132,610000,3420.9958810000003
122,-46.992895000000004,615000,3448.555233
123,-137.489547,620000,3476.134455
124,-87.38067099999999,625000,3504.0473859999997
125,-76.604796,630000,3532.235723
126,-86.70563,635000,3559.845956
127,-144.51308500000002,640000,3587.6621270000005
128,-54.240759999999995,645000,3615.340157
129,-88.544744,650000,3643.113874
130,-104.603629,655000,3670.9681189999997
131,-109.30528999999999,660000,3698.7666600000002
132,-111.32407099999999,665000,3726.130064
133,-118.034221,670000,3753.6701380000004
134,-78.507607,675000,3781.257806
135,-147.381465,680000,3808.922491
136,-88.29568499999999,685000,3836.587164
137,-145.737993,690000,3864.4612
138,-77.588418,695000,3892.3690020000004
139,-98.53317,700000,3919.964945
140,-97.95671899999999,705000,3947.932811
141,-106.51706000000001,710000,3976.021743
142,-104.96153500000001,715000,4003.37054
143,-69.381179,720000,4030.826272
144,-89.784926,725000,4058.173504
145,-67.914542,730000,4085.768818
146,-75.85339499999999,735000,4113.3002719999995
147,-87.839028,740000,4140.915435
148,-61.94651700000001,745000,4168.623782
149,-83.324747,750000,4196.276415
150,-78.408474,755000,4223.941677000001
151,-72.659976,760000,4251.671532
152,-66.98263100000001,765000,4279.488188
153,-90.919147,770000,4307.3649
154,-76.724975,775000,4335.344027
155,-63.208124,780000,4363.297785
156,-100.734123,785000,4391.305829
157,-98.815702,790000,4418.8712590000005
