,r,l,t
0,-130.28804,5000,32.740876
1,-141.900317,10000,66.34415200000001
2,-139.403722,15000,99.928713
3,-105.01816799999999,20000,137.76529299999999
4,-116.08911299999998,25000,177.844666
5,-121.43858999999999,30000,214.90137000000001
6,-187.876935,35000,242.772645
7,-121.956368,40000,269.152348
8,-113.864981,45000,295.471934
9,-110.81407800000001,50000,322.165173
10,-126.35695,55000,350.277807
11,-125.547082,60000,377.320736
12,-89.569282,65000,405.961596
13,-82.410002,70000,432.75619900000004
14,-63.799834999999995,75000,459.557862
15,-64.77399100000001,80000,486.36007
16,-120.080298,85000,513.185838
17,-66.763312,90000,539.952152
18,-98.577931,95000,566.794771
19,-103.879791,100000,593.554836
20,-87.808369,105000,620.30654
21,-94.97206800000001,110000,647.076012
22,-84.080636,115000,673.782409
23,-86.206202,120000,700.717657
24,-72.869315,125000,727.7249559999999
25,-82.945328,130000,754.631888
26,-100.964895,135000,781.420445
27,-83.68712,140000,808.4806
28,-84.09697299999999,145000,835.4878669999999
29,-108.714758,150000,862.4653800000001
30,-77.28269499999999,155000,889.7806439999999
31,-77.662655,160000,917.425249
32,-83.623326,165000,944.5671390000001
33,-79.222667,170000,971.570674
34,-84.019036,175000,998.6504539999999
35,-77.021884,180000,1025.794635
36,-78.370599,185000,1052.8031019999999
37,-79.88399,190000,1079.828033
38,-87.431921,195000,1106.907789
39,-68.926074,200000,1133.992442
40,-74.296426,205000,1161.08025
41,-72.876152,210000,1188.230562
42,-64.539897,215000,1215.346683
43,-65.317492,220000,1242.486196
44,-62.823324,225000,1269.559967
45,-70.533374,230000,1296.9117410000001
46,-70.327598,235000,1323.983173
47,-124.769198,240000,1350.971032
48,-58.479185,245000,1377.98846
49,-183.517976,250000,1405.0975720000001
50,-72.403577,255000,1432.345767
51,-67.973912,260000,1459.435439
52,-66.69054399999999,265000,1486.624799
53,-63.432719999999996,270000,1513.69141
54,-109.11793700000001,275000,1540.8103720000001
55,-72.968129,280000,1567.899132
56,-86.21576800000001,285000,1595.008751
57,-82.042209,290000,1622.1237640000002
58,-85.849652,295000,1649.143852
59,-81.824999,300000,1676.289139
60,-94.140704,305000,1703.7043219999998
61,-84.445897,310000,1731.4052789999998
62,-71.826823,315000,1758.568673
63,-50.692951,320000,1785.956157
64,-62.802287,325000,1813.622816
65,-81.240326,330000,1840.7503149999998
66,-71.21272900000001,335000,1868.1569579999998
67,-80.997874,340000,1895.2362510000003
68,-113.22939299999999,345000,1922.42923
69,-69.137156,350000,1949.363754
70,-68.145707,355000,1976.438826
71,-71.170654,360000,2003.2884600000002
72,-59.344453,365000,2030.3126710000001
73,-69.468778,370000,2057.468643
74,-74.65345400000001,375000,2084.534418
75,-60.245149,380000,2111.7956879999997
76,-52.8184,385000,2138.808285
77,-63.768837,390000,2165.857566
78,-46.313528000000005,395000,2192.840825
79,-34.607513,400000,2220.062737
80,-26.289033,405000,2247.1698460000002
81,-32.643840999999995,410000,2274.389795
82,-41.725803000000006,415000,2301.484966
83,-36.877899,420000,2328.5266469999997
84,-152.551391,425000,2355.694261
85,-146.041732,430000,2382.771192
86,-176.214894,435000,2409.960093
87,-67.820929,440000,2436.985909
88,-67.53689200000001,445000,2464.116938
89,-92.71288100000001,450000,2491.089128
90,-81.777489,455000,2518.258238
91,-79.52251899999999,460000,2545.447362
92,-81.266628,465000,2572.61576
93,-82.095614,470000,2599.781386
94,-86.45533,475000,2626.813221
95,-71.28763599999999,480000,2654.06476
96,-70.43941,485000,2681.187327
97,-70.332712,490000,2708.4072699999997
98,-69.15813100000001,495000,2735.598407
99,-80.82606700000001,500000,2762.730964
