,r,l,t
0,-69.04637199999999,5000,33.91338
1,-29.266023999999998,10000,61.873401
2,-37.06678,15000,88.443637
3,-48.308685,20000,116.025957
4,-105.72869299999999,25000,142.744097
5,-94.224952,30000,169.457028
6,-97.13432900000001,35000,196.449241
7,-98.971962,40000,223.34068599999998
8,-98.161992,45000,250.537844
9,-106.54326699999999,50000,280.258748
10,-109.522876,55000,308.471617
11,-112.159151,60000,335.836833
12,-103.43143,65000,363.39652
13,-88.716061,70000,390.133833
14,-102.251775,75000,416.577623
15,-106.145027,80000,443.42474400000003
16,-105.52708100000001,85000,470.31631600000003
17,-105.33876299999999,90000,496.962053
18,-101.482809,95000,523.630155
19,-98.115335,100000,550.893746
20,-103.977738,105000,579.606489
21,-110.125767,110000,606.821343
22,-106.545594,115000,633.4998429999999
23,-100.86470899999999,120000,659.979808
24,-92.739448,125000,686.489605
25,-93.031363,130000,713.641253
26,-99.836362,135000,740.285846
27,-95.617141,140000,766.932376
28,-108.1889,145000,793.841239
29,-111.565949,150000,820.742817
30,-108.47313899999999,155000,847.517907
31,-131.387607,160000,874.321167
32,-114.26458600000001,165000,901.222412
33,-109.322956,170000,927.913616
34,-114.15616200000001,175000,954.736301
35,-85.761746,180000,981.273185
36,-122.623706,185000,1008.0038509999999
37,-122.644396,190000,1034.727304
38,-119.39803700000002,195000,1061.420087
39,-119.780406,200000,1088.243433
40,-118.583105,205000,1114.850637
41,-120.20133999999999,210000,1142.379411
42,-68.343749,215000,1169.251584
43,-58.968412,220000,1196.291602
44,-69.82172299999999,225000,1223.037425
45,-70.47655400000001,230000,1249.965058
46,-72.962231,235000,1276.8010550000001
47,-73.800549,240000,1303.327351
48,-80.34281899999999,245000,1329.880289
49,-99.793083,250000,1356.565586
50,-83.11500500000001,255000,1383.417085
51,-106.70244,260000,1410.209111
52,-101.114414,265000,1437.1981660000001
53,-100.782114,270000,1463.722857
54,-118.68061100000001,275000,1490.7471679999999
55,-131.309884,280000,1517.5566039999999
56,-98.72953299999999,285000,1544.247732
57,-104.98015500000001,290000,1571.084453
58,-109.618604,295000,1597.7672710000002
59,-125.696696,300000,1624.690893
60,-122.71536,305000,1651.589285
61,-96.141811,310000,1678.422799
62,-100.442849,315000,1705.3732579999999
63,-109.483071,320000,1732.3832120000002
64,-115.16293600000002,325000,1758.9446699999999
65,-100.577176,330000,1785.484849
66,-89.641305,335000,1812.4652780000001
67,-105.518899,340000,1839.277291
68,-104.147058,345000,1866.2650030000002
69,-102.69205799999999,350000,1893.2586670000003
70,-97.262798,355000,1919.976439
71,-120.06653200000001,360000,1946.51217
72,-106.498677,365000,1973.15067
73,-92.469013,370000,2000.203311
74,-106.46513600000002,375000,2026.970878
75,-118.023808,380000,2053.847553
76,-86.698895,385000,2080.6690399999998
77,-71.675862,390000,2107.719459
78,-76.644509,395000,2134.483028
79,-80.315259,400000,2161.440806
80,-83.65332099999999,405000,2188.171327
81,-83.631077,410000,2215.016095
82,-74.805512,415000,2241.8558940000003
83,-86.174148,420000,2268.6236879999997
84,-88.733877,425000,2295.6159390000003
85,-77.38041,430000,2322.717347
86,-98.397177,435000,2349.7292620000003
87,-106.986098,440000,2376.390532
88,-94.870145,445000,2403.3402379999998
89,-94.334327,450000,2430.232989
90,-91.337355,455000,2456.9190329999997
91,-87.369598,460000,2483.823411
92,-113.446496,465000,2510.451621
93,-85.520292,470000,2537.489059
94,-80.595474,475000,2564.496616
95,-81.4234,480000,2591.421661
96,-84.348729,485000,2618.063632
97,-92.548091,490000,2644.745287
98,-69.575802,495000,2671.604902
99,-83.957835,500000,2698.6065510000003
100,-104.297484,505000,2725.5353170000003
101,-85.530952,510000,2752.478615
102,-90.430285,515000,2779.106287
103,-112.144608,520000,2805.708118
104,-70.960227,525000,2832.6730030000003
105,-68.121234,530000,2859.604402
106,-68.541969,535000,2886.429405
107,-91.964011,540000,2913.297914
108,-60.735639,545000,2940.2563600000003
109,-71.919384,550000,2967.16063
110,-68.727898,555000,2994.244516
111,-84.15044,560000,3021.1310780000003
112,-84.363046,565000,3048.039683
113,-74.068037,570000,3074.814291
114,-78.808369,575000,3101.495045
115,-56.434587,580000,3128.487408
116,-91.699339,585000,3155.290478
117,-89.780206,590000,3182.120097
118,-67.27416,595000,3209.0617989999996
119,-57.242226,600000,3235.96882
120,-75.993449,605000,3262.78888
121,-75.365174,610000,3289.8610120000003
122,-71.884556,615000,3316.675855
123,-63.37088000000001,620000,3343.385937
124,-72.95075200000001,625000,3370.201853
125,-82.367835,630000,3401.5658659999995
126,-89.523025,635000,3432.233364
127,-88.50495699999999,640000,3460.8905210000003
128,-74.37219300000001,645000,3489.7568520000004
129,-59.32718199999999,650000,3518.6285329999996
130,-62.083712,655000,3547.7194289999998
131,-86.282437,660000,3576.611639
132,-79.54928000000001,665000,3605.398671
133,-86.167966,670000,3634.1246380000002
134,-88.48218,675000,3662.9003399999997
135,-88.662789,680000,3691.7970530000002
136,-96.006282,685000,3720.072392
137,-73.931415,690000,3747.758625
138,-67.095293,695000,3775.3912920000002
139,-80.012411,700000,3803.2215920000003
140,-71.420923,705000,3830.824169
141,-61.241977,710000,3858.5283689999997
142,-70.539761,715000,3886.5554270000002
143,-64.276151,720000,3914.5798340000006
144,-73.27640699999999,725000,3942.28545
145,-77.957353,730000,3970.280933
146,-133.70701699999998,735000,3998.0394200000005
147,-89.535877,740000,4026.042488
148,-84.00264,745000,4053.719563
149,-83.855473,750000,4081.009051
150,-79.30208499999999,755000,4108.451814
151,-60.111503000000006,760000,4136.453512
152,-60.394144999999995,765000,4165.298052
153,-75.130015,770000,4193.18063
154,-76.37702,775000,4220.809308
155,-113.199611,780000,4248.468376
156,-71.62123000000001,785000,4276.285854
157,-62.439414,790000,4304.052761
158,-60.040648,795000,4332.053485
159,-77.044676,800000,4359.808715
160,-82.683102,805000,4387.591855
161,-64.245434,810000,4415.088128
162,-70.887569,815000,4442.918956
163,-79.617902,820000,4470.68199
164,-67.888511,825000,4498.806646
165,-73.160524,830000,4526.909597999999
166,-69.726815,835000,4555.201204
167,-68.29432,840000,4583.7083729999995
168,-61.605215,845000,4618.245218
169,-73.559093,850000,4648.025516
170,-82.756006,855000,4677.322554
171,-70.819252,860000,4709.165957
172,-135.149148,865000,4742.656777
173,-138.459179,870000,4777.605411
174,-104.405054,875000,4810.587990999999
175,-101.757609,880000,4840.83954
176,-116.168866,885000,4870.514685
177,-118.97368999999999,890000,4899.402861
178,-113.532308,895000,4933.527064
179,-118.382754,900000,4966.527247999999
180,-117.028099,905000,4997.680303
181,-104.335563,910000,5033.6132880000005
182,-107.19666299999999,915000,5069.325288
183,-109.977934,920000,5103.511678
184,-115.62108400000001,925000,5136.768902000001
185,-114.83351100000002,930000,5172.9038630000005
186,-110.654328,935000,5211.702207
187,-111.169418,940000,5254.795319
188,-126.663421,945000,5299.614482
189,-124.83774299999999,950000,5333.732895
190,-124.35401499999999,955000,5364.06539
191,-90.053887,960000,5420.731353
192,-99.00980799999999,965000,5475.87104
193,-87.932135,970000,5517.202468
194,-99.882535,975000,5553.476796
195,-105.81838799999998,980000,5593.670014
196,-107.46951200000001,985000,5630.23543
197,-106.924081,990000,5668.100894
198,-106.76460700000001,995000,5701.13305
199,-105.36311699999999,1000000,5732.828054
