,r,l,t
0,-152.499895,5000,31.330344
1,-132.534161,10000,58.418704000000005
2,-156.59547,15000,86.406805
3,-152.811024,20000,118.67300300000001
4,-130.720584,25000,151.268454
5,-103.144387,30000,183.75198899999998
6,-128.077933,35000,217.93034900000004
7,-130.869828,40000,247.561442
8,-135.70848700000002,45000,274.31444500000003
9,-131.326405,50000,302.696395
10,-112.997068,55000,332.94406299999997
11,-106.581278,60000,364.961644
12,-144.357686,65000,396.281327
13,-134.175555,70000,427.00212400000004
14,-142.82061299999998,75000,456.93168499999996
15,-99.301435,80000,486.977004
16,-98.33631,85000,514.79439
17,-80.386516,90000,545.369467
18,-67.726469,95000,576.4551230000001
19,-46.916348,100000,610.511218
20,-91.55454,105000,641.946283
21,-82.122557,110000,672.721734
22,-85.279178,115000,702.430156
23,-55.915014,120000,732.241976
24,-66.58830400000001,125000,764.7401980000001
25,-32.636194,130000,801.98662
26,-73.588389,135000,836.205428
27,-99.288203,140000,870.052161
28,-91.655181,145000,902.652175
29,-65.548874,150000,934.295566
30,-52.725609,155000,965.5780279999999
31,-46.719018,160000,998.0937880000001
32,-133.529974,165000,1033.159052
33,-113.58749399999999,170000,1067.109155
34,-69.65819,175000,1094.8504970000001
35,-69.189236,180000,1122.7771599999999
36,-77.433341,185000,1150.398127
37,-81.243424,190000,1177.782868
38,-82.42095,195000,1204.866566
39,-78.298048,200000,1232.184582
40,-80.260469,205000,1259.32845
41,-65.475662,210000,1286.554517
42,-91.03129200000001,215000,1313.69842
43,-114.831557,220000,1341.1012050000002
44,-82.458606,225000,1368.3493720000001
45,-98.09483,230000,1396.2628220000001
46,-83.14236899999999,235000,2198.452118
47,-81.098177,240000,2233.772676
48,-65.747124,245000,2272.494516
49,-88.800607,250000,2307.6135879999997
50,-122.812758,255000,2345.56909
51,-106.53052,260000,2380.39941
52,-97.08070699999999,265000,2414.792327
53,-68.164845,270000,2448.9490960000003
54,-121.552477,275000,2483.540568
55,-105.630567,280000,2517.6459579999996
56,-69.19565,285000,2551.76391
57,-100.441019,290000,2585.362886
58,-91.10792,295000,2619.063669
59,-110.65056100000001,300000,2652.209559
60,-70.553375,305000,2686.3842219999997
61,-114.711592,310000,2719.927864
62,-40.241558000000005,315000,2753.501143
63,-42.094444,320000,2787.166586
64,-29.421248,325000,2820.149566
65,-34.216592,330000,2853.885169
66,-44.052062,335000,2887.440536
67,-43.897804,340000,2920.980692
68,-40.260779,345000,2954.500286
69,-33.237613,350000,2987.958652
70,-42.642123,355000,3021.388674
71,-44.357123,360000,3055.400089
72,-100.251898,365000,3089.797345
73,-102.11218000000001,370000,3125.764802
74,-110.46785700000001,375000,3157.993122
75,-114.730028,380000,3189.124607
76,-127.600401,385000,3216.4158
77,-102.634431,390000,3247.624293
78,-97.78931899999999,395000,3284.227976
79,-114.152445,400000,3318.950372
80,-113.042693,405000,3351.114561
81,-120.91500500000001,410000,3382.692203
82,-117.085057,415000,3416.0576960000003
83,-127.76373000000001,420000,3446.530575
84,-130.773731,425000,3475.456572
85,-107.853353,430000,3510.954874
86,-100.685665,435000,3544.780834
87,-86.409237,440000,3578.1296049999996
88,-102.908909,445000,3611.283811
89,-106.408822,450000,3643.517921
90,-121.92661100000001,455000,3676.8993299999997
91,-113.700076,460000,3708.655104
92,-117.2625,465000,3739.5932420000004
93,-118.696699,470000,3770.498661
94,-107.738946,475000,3802.8022090000004
95,-117.56353500000002,480000,3836.182932
96,-124.493067,485000,3869.6007759999998
97,-109.30474199999999,490000,3903.038054
98,-123.70821000000001,495000,3936.8254829999996
99,-120.039732,500000,3970.9228590000002
