,r,l,t
0,-552.169093,5000,32.15328
1,-675.661592,10000,59.606168000000004
2,-755.581597,15000,87.40080999999999
3,-329.203736,20000,118.87545800000001
4,-188.713268,25000,147.018649
5,-621.0840519999999,30000,174.876513
6,-121.028962,35000,202.79598000000001
7,-73.03449499999999,40000,231.022484
8,-126.13225600000001,45000,260.192433
9,-94.822387,50000,288.674785
10,-68.312034,55000,318.55053799999996
11,-108.03768500000001,60000,346.67583199999996
12,-82.296275,65000,374.23648
13,-77.128196,70000,401.21797200000003
14,-69.695174,75000,428.135937
15,-131.326033,80000,455.237719
16,-72.624853,85000,483.02172
17,-56.569987,90000,510.47171799999995
18,-59.038329000000004,95000,538.589008
19,-83.224568,100000,565.831277
20,-52.436406999999996,105000,593.007133
21,-40.823691,110000,620.603179
22,-42.952037,115000,652.373683
23,-39.406334,120000,683.122565
24,-43.613507,125000,713.121896
25,-56.819047,130000,744.357972
26,-56.744102000000005,135000,774.835065
27,-34.711228000000006,140000,807.1613309999999
28,-30.957155,145000,838.8909890000001
29,-28.77208,150000,871.8413439999999
30,-36.860463,155000,902.9588960000001
31,-37.373375,160000,931.7880789999999
32,-309.779356,165000,959.6955800000001
33,-46.98298,170000,989.69455
34,-39.579502000000005,175000,1020.782272
35,-41.593835,180000,1049.715001
36,-36.003165,185000,1080.010595
37,-33.802873999999996,190000,1111.82915
38,-52.501349,195000,1142.3851960000002
39,-28.357671999999997,200000,1173.8928369999999
40,-32.999786,205000,1200.5880710000001
41,-57.57435,210000,1228.865109
42,-43.107803999999994,215000,1258.978459
43,-37.250778000000004,220000,1286.642165
44,-33.036711,225000,1313.183481
45,-35.274809000000005,230000,1339.492866
46,-54.794242000000004,235000,1366.155024
47,-35.160975,240000,1392.8308630000001
48,-27.203176000000003,245000,1419.414575
49,-24.477522,250000,1446.118552
50,-21.961909,255000,1473.059371
51,-31.296739000000002,260000,1499.8931539999999
52,-26.036402,265000,1526.531287
53,-29.064395,270000,1553.191032
54,-19.454062,275000,1581.154056
55,-18.666767,280000,1610.682519
56,-30.380276000000002,285000,1637.22161
57,-19.798459,290000,1663.919232
58,-19.674416,295000,1690.491475
59,-16.258447,300000,1717.114359
60,-14.376713,305000,1744.010684
61,-21.718896,310000,1771.152954
62,-707.089824,315000,1797.8461760000002
63,-23.234089,320000,1825.2236510000002
64,-28.422415,325000,1859.166468
65,-15.653407000000001,330000,1891.5676829999998
66,-29.230751,335000,1921.236664
67,-165.547617,340000,1948.323243
68,-34.47317,345000,1975.9180489999999
69,-34.983828,350000,2003.9846120000002
70,-28.555957,355000,2035.5098690000002
71,-34.96464,360000,2067.766146
72,-26.41238,365000,2101.7381219999997
73,-26.813473,370000,2133.889671
74,-28.005360999999997,375000,2166.828736
75,-38.21775,380000,2199.781812
