,r,l,t
0,-445.281466,2000,23.430347
1,-120.225633,4000,43.198526
2,-106.37642,6000,59.718701
3,-154.61164499999998,8000,77.136553
4,-172.769052,10000,96.400759
5,-299.58988,12000,110.917777
6,-319.119122,14000,126.372238
7,-108.82840900000001,16000,146.276581
8,-72.897326,18000,165.758356
9,-131.511665,20000,188.33945400000002
10,-100.563073,22000,206.360805
11,-93.15462600000001,24000,227.568986
12,-307.111656,26000,245.34208700000002
13,-413.234954,28000,263.235531
14,-428.220995,30000,279.58392599999996
15,-89.017667,32000,297.152294
16,-350.52148900000003,34000,314.16484199999996
17,-304.785843,36000,332.056122
18,-80.648302,38000,348.222895
19,-86.312595,40000,363.25546299999996
20,-113.777576,42000,378.382203
21,-121.404845,44000,393.872421
22,-81.399066,46000,409.216931
23,-71.85135,48000,424.439138
24,-111.550825,50000,440.57973200000004
25,-191.147841,52000,455.73909800000007
26,-77.983631,54000,470.877311
27,-88.600154,56000,486.668521
28,-68.864248,58000,503.44101100000006
29,-139.90248300000002,60000,520.42385
30,-133.94680300000002,62000,535.7097
31,-92.050826,64000,551.087106
32,-78.898686,66000,566.3897440000001
33,-78.36274399999999,68000,581.581043
34,-84.816873,70000,596.546014
35,-102.1462,72000,611.6029219999999
36,-101.74555600000001,74000,626.606853
37,-336.064717,76000,642.570391
38,-198.30202,78000,657.503735
39,-112.74091100000001,80000,672.6046660000001
40,-79.431158,82000,687.764156
41,-67.815411,84000,702.786053
42,-73.722362,86000,718.727211
43,-88.191204,88000,733.894518
44,-70.80680699999999,90000,749.1821
45,-78.399134,92000,764.525238
46,-74.718784,94000,779.659394
47,-82.531979,96000,795.129716
48,-197.52080700000002,98000,810.262709
49,-88.465474,100000,825.386108
50,-57.286053,102000,840.4651060000001
51,-78.31468199999999,104000,856.426617
52,-88.044783,106000,871.535866
53,-105.142843,108000,886.7636550000001
54,-69.814631,110000,901.815364
55,-63.38781899999999,112000,916.80584
56,-56.392791,114000,931.9745300000001
57,-57.318213,116000,947.9537300000001
58,-58.580895999999996,118000,962.907097
59,-52.760943000000005,120000,977.940402
60,-56.970521,122000,994.048491
61,-52.398714,124000,1009.169564
62,-51.229001000000004,126000,1025.189944
63,-50.704291999999995,128000,1041.311521
64,-46.899226,130000,1057.497581
65,-51.596714,132000,1073.5554140000002
66,-47.285268,134000,1088.667729
67,-48.114184,136000,1103.940578
68,-51.828897999999995,138000,1119.0520880000001
69,-53.844632,140000,1134.257826
70,-53.850701,142000,1149.450199
71,-169.770858,144000,1164.697125
72,-46.358765000000005,146000,1179.822149
73,-45.136558,148000,1195.901426
74,-36.568539,150000,1212.078302
75,-41.062738,152000,1228.183072
76,-50.534468,154000,1243.436278
77,-52.853621999999994,156000,1258.457287
78,-49.717728,158000,1273.4436150000001
79,-52.47059300000001,160000,1288.370873
80,-38.522933,162000,1303.7093009999999
81,-85.416431,164000,1318.9199429999999
82,-83.29295400000001,166000,1334.3694560000001
83,-42.82407,168000,1349.880932
84,-36.319945000000004,170000,1365.4261490000001
85,-44.547140999999996,172000,1381.681346
86,-415.22593,174000,1396.808852
87,-42.995621,176000,1412.0089449999998
88,-43.279247999999995,178000,1427.244647
89,-42.849257,180000,1442.5421099999999
90,-39.356664,182000,1457.551857
91,-59.715454,184000,1472.575117
92,-48.517008000000004,186000,1487.5329359999998
93,-49.297588,188000,1502.6286810000001
94,-58.778174,190000,1517.852385
95,-58.394183,192000,1533.034584
96,-54.747935,194000,1548.26079
97,-48.657779999999995,196000,1564.018623
98,-60.133949,198000,1579.292658
99,-71.768367,200000,1594.68277
100,-56.645047,202000,1609.894917
101,-40.703421,204000,1625.129185
102,-40.894622,206000,1640.40561
103,-34.685946,208000,1655.572431
104,-40.671523,210000,1671.772003
105,-36.64216,212000,1687.092897
