,r,l,t
0,-449.70939400000003,5000,35.887785
1,-880.283933,10000,64.625652
2,-432.23233700000003,15000,92.59063
3,-426.610059,20000,121.007204
4,-222.829657,25000,147.37977800000002
5,-258.245688,30000,173.754779
6,-289.330498,35000,200.264387
7,-268.448827,40000,226.96289900000002
8,-158.40458,45000,253.91842400000002
9,-331.568289,50000,280.845544
10,-310.78320099999996,55000,307.646984
11,-178.80675,60000,334.5457
12,-216.01318999999998,65000,361.742169
13,-206.32361699999998,70000,388.69762599999996
14,-224.982194,75000,415.592355
15,-231.41142999999997,80000,444.723571
16,-215.63405899999998,85000,473.85075
17,-332.79006499999997,90000,501.987058
18,-236.58590800000002,95000,530.047706
19,-240.39464500000003,100000,558.619732
20,-223.60313,105000,586.7953809999999
21,-198.546087,110000,615.380699
22,-200.430632,115000,643.850582
23,-249.225018,120000,672.262422
24,-204.783757,125000,700.397256
25,-213.929987,130000,728.398471
26,-202.664469,135000,756.4682339999999
27,-302.677043,140000,785.1435849999999
28,-171.996521,145000,813.286298
29,-250.820106,150000,841.3859630000001
30,-230.58165899999997,155000,869.4652359999999
31,-181.971076,160000,897.728142
32,-176.842149,165000,925.882683
33,-228.584871,170000,953.8967150000001
34,-502.439534,175000,982.048613
35,-206.64629399999998,180000,1010.0039220000001
36,-196.21203799999998,185000,1038.45175
37,-209.81093199999998,190000,1066.4547949999999
38,-222.503604,195000,1095.046411
39,-217.225064,200000,1123.211442
40,-203.3858,205000,1151.3402119999998
41,-176.50684099999998,210000,1179.383392
42,-176.748767,215000,1207.6446039999998
43,-229.581612,220000,1235.8677890000001
44,-227.99211,225000,1264.082989
45,-643.295532,230000,1292.3662199999999
46,-329.858533,235000,1320.673051
47,-233.53180899999998,240000,1348.9212009999999
48,-220.215315,245000,1377.027445
49,-204.38281899999998,250000,1405.526249
50,-218.402937,255000,1433.467818
51,-542.728141,260000,1461.38866
52,-343.365697,265000,1489.480626
53,-195.406963,270000,1517.741065
54,-187.240466,275000,1545.949572
55,-221.923616,280000,1574.013539
