,r,l,t
0,-923.718109,1000,11.028919
1,-672.633235,2000,18.999325
2,-702.257565,3000,26.515331
3,-805.7845,4000,34.024634000000006
4,-205.025566,5000,41.544602000000005
5,-795.0600919999999,6000,49.144827
6,-882.089115,7000,56.960834
7,-537.060205,8000,64.653512
8,-599.542789,9000,72.31403
9,-900.378893,10000,80.00482099999999
10,-1193.1875009999999,11000,87.638867
11,-782.883692,12000,95.196327
12,-757.6709,13000,102.807521
13,-933.127708,14000,110.466867
14,-307.845329,15000,118.02805500000001
15,-262.091206,16000,125.682074
16,-645.981305,17000,133.32037
17,-551.562193,18000,141.373247
18,-835.438727,19000,149.92542
19,-331.175944,20000,158.024728
20,-332.381497,21000,166.151938
21,-598.637109,22000,174.089832
22,-490.30243099999996,23000,182.52598999999998
23,-651.956016,24000,190.73711200000002
24,-923.229051,25000,199.132917
25,-154.250958,26000,207.021699
26,-261.352111,27000,215.00227999999998
27,-336.431059,28000,223.33357900000001
28,-232.13590200000002,29000,231.456917
29,-170.914971,30000,239.57043199999998
30,-239.05947200000003,31000,247.597232
31,-214.82640800000001,32000,255.35900800000002
32,-212.007043,33000,263.11104500000005
33,-338.27889700000003,34000,271.21598900000004
34,-688.6238030000001,35000,279.799826
35,-161.833646,36000,287.858137
36,-263.001329,37000,296.19117
37,-208.259045,38000,304.25239799999997
38,-177.08831,39000,312.083373
39,-113.213625,40000,319.76919300000003
40,-113.463457,41000,327.626797
41,-90.505185,42000,335.358335
42,-57.834165000000006,43000,343.143557
43,-92.078929,44000,350.931765
44,-114.324532,45000,358.622304
45,-87.20034,46000,366.401633
46,-93.351701,47000,374.098458
47,-98.049674,48000,381.785229
48,-105.010884,49000,389.523889
49,-78.63408299999999,50000,397.422369
50,-72.121625,51000,405.176595
51,-106.906724,52000,412.820359
52,-100.071003,53000,420.475953
53,-98.37643100000001,54000,428.156896
54,-70.94876500000001,55000,435.896708
55,-98.37334200000001,56000,443.515813
56,-76.73691099999999,57000,451.478654
57,-62.876989,58000,459.434496
58,-67.74241500000001,59000,467.184225
59,-69.60390799999999,60000,474.818117
60,-114.09153700000002,61000,482.60215300000004
61,-114.88458100000001,62000,490.33152699999994
62,-102.181901,63000,498.034117
63,-1962.5792620000002,64000,505.684862
64,-179.696643,65000,513.272693
65,-109.62708,66000,520.8878030000001
66,-128.086071,67000,528.4750849999999
67,-92.608898,68000,536.116326
68,-87.866812,69000,543.770495
69,-76.71122199999999,70000,551.505047
70,-68.65417,71000,559.170922
71,-70.315708,72000,566.8119929999999
72,-80.827906,73000,574.451121
73,-78.083885,74000,582.077311
74,-104.73391600000001,75000,589.727117
75,-99.97461899999999,76000,599.366639
76,-108.297707,77000,608.197738
77,-121.645533,78000,617.439251
78,-996.8091710000001,79000,625.365106
79,-182.374126,80000,633.1381349999999
80,-196.756995,81000,640.742835
81,-197.04242299999999,82000,648.6697
82,-364.422521,83000,656.555835
83,-104.430192,84000,664.349939
84,-59.386148,85000,672.701696
85,-91.108276,86000,680.440361
86,-64.338698,87000,688.158681
87,-80.63528000000001,88000,695.8625940000001
88,-84.336936,89000,703.585699
89,-127.95579199999999,90000,711.249945
90,-81.563783,91000,718.8618610000001
91,-103.051897,92000,726.4995349999999
92,-89.216872,93000,734.130304
93,-113.82541,94000,741.802394
94,-96.844594,95000,749.435378
95,-112.726708,96000,757.005987
96,-88.052403,97000,764.67413
97,-53.850786,98000,772.3500240000001
98,-59.123936,99000,780.023736
99,-92.625229,100000,787.6523269999999
100,-120.05472900000001,101000,795.42724
101,-81.1363,102000,803.770573
102,-47.694784999999996,103000,811.460686
103,-80.809585,104000,819.126628
104,-134.113954,105000,826.783856
105,-78.756106,106000,834.969674
106,-86.242575,107000,843.2459949999999
107,-66.92527700000001,108000,851.426951
108,-76.53205,109000,859.2485220000001
109,-51.777843,110000,866.903649
110,-77.499243,111000,874.523252
111,-80.847184,112000,882.188726
112,-85.84559499999999,113000,889.991002
113,-84.73220699999999,114000,897.5277070000001
114,-88.579587,115000,905.0087560000001
115,-72.470422,116000,912.5679039999999
116,-88.323712,117000,920.4925289999999
117,-90.89061099999999,118000,928.3538679999999
118,-93.89635600000001,119000,936.075131
119,-73.40214300000001,120000,943.8388279999999
