,r,l,t
0,-1187.415124,5000,29.310011
1,-1896.6065489999999,10000,57.589819999999996
2,-1295.028425,15000,85.499585
3,-485.97737800000004,20000,114.02164099999999
4,-210.393795,25000,144.87511999999998
5,-402.51509300000004,30000,173.583349
6,-191.430923,35000,200.456124
7,-397.423491,40000,227.125938
8,-216.088096,45000,253.427259
9,-163.270414,50000,281.86017000000004
10,-270.73337799999996,55000,315.540055
11,-107.72298899999998,60000,345.207535
12,-611.405084,65000,372.204886
13,-124.850522,70000,403.110857
14,-170.014313,75000,435.48839100000004
15,-114.17753300000001,80000,465.39729800000003
16,-123.082171,85000,492.33185999999995
17,-85.197722,90000,518.985374
18,-121.930398,95000,545.609917
19,-121.239005,100000,572.1874429999999
20,-103.52010600000001,105000,598.72972
21,-92.308863,110000,625.0553309999999
22,-87.584254,115000,651.352121
23,-116.92241100000001,120000,677.675714
24,-89.797425,125000,703.996516
25,-102.993827,130000,730.275332
26,-116.949269,135000,756.6575349999999
27,-86.590389,140000,783.062304
28,-69.878149,145000,809.410104
29,-114.546396,150000,836.5755849999999
30,-112.82612900000001,155000,862.868992
31,-90.42638000000001,160000,891.660615
32,-151.054727,165000,924.606706
33,-777.788466,170000,956.85316
34,-202.448092,175000,989.270869
35,-124.850434,180000,1020.964115
36,-108.37113400000001,185000,1057.247678
37,-154.90227,190000,1091.194078
38,-96.250099,195000,1125.758708
39,-86.33206,200000,1160.507981
40,-80.00713499999999,205000,1192.444639
41,-370.865189,210000,1224.321271
42,-1191.545443,215000,1254.8052400000001
43,-643.449479,220000,1286.682259
44,-109.907296,225000,1318.858162
45,-101.338578,230000,1351.630375
46,-88.552776,235000,1386.31249
47,-285.482829,240000,1421.919918
48,-85.728844,245000,1454.467529
49,-138.708407,250000,1489.66402
50,-224.56874399999998,255000,1521.8598650000001
51,-187.26301899999999,260000,1557.786709
52,-103.764495,265000,1591.659159
53,-120.23114699999999,270000,1623.399332
54,-104.797719,275000,1653.694427
55,-99.276434,280000,1683.414741
56,-139.449455,285000,1713.422222
57,-59.073948,290000,1744.006171
58,-74.792098,295000,1776.482837
59,-75.053845,300000,1809.7852850000002
60,-64.236207,305000,1840.645007
61,-81.445235,310000,1874.137623
62,-88.462239,315000,1910.079878
63,-76.912149,320000,1940.281934
64,-81.63395200000001,325000,1967.319857
65,-95.655524,330000,1995.889722
66,-102.789803,335000,2024.577325
67,-197.79284099999998,340000,2053.436976
68,-245.60989500000002,345000,2082.233387
69,-115.44858,350000,2111.123501
70,-90.868726,355000,2140.217358
71,-82.604763,360000,2171.087192
72,-74.882002,365000,2200.598119
73,-69.766215,370000,2231.803523
74,-73.400087,375000,2262.644514
75,-80.3601,380000,2295.9604480000003
76,-106.89013100000001,385000,2330.9322899999997
77,-99.409702,390000,2362.792184
78,-88.387346,395000,2394.124974
79,-82.350996,400000,2427.30087
80,-87.786068,405000,2458.676022
81,-84.897863,410000,2490.1554969999997
82,-94.901266,415000,2524.0034100000003
83,-80.974502,420000,2557.202428
84,-131.190995,425000,2587.258316
85,-72.861378,430000,2617.468846
86,-70.604265,435000,2648.285046
87,-72.87174499999999,440000,2679.018416
88,-76.986132,445000,2708.85579
89,-101.77821800000001,450000,2735.443767
90,-145.497044,455000,2765.613848
91,-92.76486700000001,460000,2796.356311
92,-120.57809099999999,465000,2826.5505789999997
93,-106.66874299999999,470000,2856.890061
94,-284.543428,475000,2887.140198
95,-118.597144,480000,2919.115743
96,-787.5654,485000,2947.095326
97,-249.657258,490000,2977.175937
98,-1037.48258,495000,3006.265936
99,-546.99602,500000,3040.048527
