r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1692.88468,2000,19.711888,-0.011092759,-0.15723886,-0.118752204,0.0527094,-0.18318401,0.111678876,-0.046563424,-0.19749974,-0.07748575,0.015965873
-1599.53852,4000,45.150474,-0.006389384,-0.15580708,-0.112618186,0.045485605,-0.17331861,0.11199697,-0.045561075,-0.20480229,-0.07490476,0.015418022
-1659.297508,6000,68.840896,-0.0016575517,-0.15547213,-0.09714018,0.05782139,-0.16166314,0.11134823,-0.04641177,-0.1898957,-0.07985939,0.014042121
-1443.0081,8000,89.693605,-0.0043971036,-0.15404595,-0.08507679,0.087599866,-0.1631635,0.10632073,-0.043360855,-0.15378729,-0.08227268,0.011742744
-880.189617,10000,114.725791,-0.026095476,-0.14814799,-0.07457876,0.09080075,-0.15987943,0.10337659,-0.0406187,-0.1207702,-0.085391074,0.018442353
-1297.057242,12000,140.214371,-0.026838599,-0.13008884,-0.07687672,0.10675564,-0.1748617,0.10771168,-0.039705575,-0.12292976,-0.08726254,0.0179985
-1097.211187,14000,157.75748,-0.02363707,-0.12160011,-0.07683193,0.08015284,-0.17672938,0.101954736,-0.02649385,-0.120622784,-0.15438497,0.024476828
-1370.558002,16000,172.234455,-0.017076999,-0.12162393,-0.07979468,0.054971494,-0.15708636,0.100110926,-0.023214685,-0.12113283,-0.13734941,0.0379031
-1312.827397,18000,186.177425,-0.024589032,-0.13673127,-0.046349563,0.06694717,-0.16742554,0.08686422,-0.033738382,-0.12289046,-0.122656286,0.038516436
-1474.02936,20000,200.073043,-0.06084594,-0.13626094,-0.048046805,0.08438367,-0.18389268,0.08527124,-0.037206925,-0.12613545,-0.09732605,0.034289837
-1130.289173,22000,213.588652,-0.08193323,-0.1455234,-0.051510274,0.10169795,-0.17158866,0.09013355,-0.04903698,-0.109013684,-0.12366003,0.027786024
-1232.181716,24000,227.068336,-0.07429572,-0.17403314,-0.035129834,0.114135645,-0.18726148,0.073096715,-0.086164005,-0.10549748,-0.123172365,0.038597513
-1151.767162,26000,240.695193,-0.058519896,-0.15799443,-0.043870635,0.106678404,-0.18107687,0.08029735,-0.07632016,-0.084704444,-0.12978841,0.035490923
-1345.266534,28000,254.860627,-0.051583074,-0.15113379,-0.05379141,0.085818164,-0.16736193,0.097988956,-0.069885716,-0.0870835,-0.14799045,0.024963954
-1341.235995,30000,268.773763,-0.029437784,-0.15058708,-0.07186624,0.04531371,-0.17232327,0.078949444,-0.05940437,-0.091013506,-0.13647242,0.015452534
-1301.806835,32000,282.374849,0.00087953254,-0.15456766,-0.08077324,0.021911616,-0.16594684,0.08942918,-0.08799676,-0.09730404,-0.13302143,0.006282317
-1439.536864,34000,295.920195,0.026833476,-0.1607688,-0.09019709,0.024545046,-0.17138697,0.10826031,-0.09863897,-0.10556301,-0.12984303,0.010745871
-1678.522538,36000,309.410275,0.03643009,-0.16907254,-0.073758125,0.07213774,-0.18237455,0.11843365,-0.11777814,-0.096962206,-0.13921714,0.028692512
-1676.085443,38000,322.924896,0.027823472,-0.16129076,-0.09013092,0.09311351,-0.19110592,0.13601199,-0.1298104,-0.084846094,-0.13251233,0.03636572
-1482.961346,40000,336.38727,0.05030442,-0.15846987,-0.10373487,0.100385904,-0.19454795,0.15816207,-0.14074649,-0.081726134,-0.13236251,0.030005516
-1334.855594,42000,349.908541,0.059444446,-0.16714072,-0.117506765,0.12972529,-0.2079263,0.17441429,-0.14496839,-0.07984022,-0.12899733,0.028609745
-1072.421925,44000,363.411207,0.0870163,-0.15827718,-0.108173996,0.11862851,-0.21946467,0.18429317,-0.14509639,-0.06710119,-0.15647514,0.02028913
-1016.89856,46000,376.92102,0.096348755,-0.15412436,-0.0985195,0.115409724,-0.21751823,0.18610397,-0.12996528,-0.049351856,-0.17724685,0.00032520987
-1000.24709,48000,390.382347,0.0908483,-0.15186529,-0.10680081,0.11251431,-0.21532476,0.19966368,-0.14311431,-0.036230583,-0.18511806,0.0064369603
-1357.945115,50000,403.805485,0.09488129,-0.15720683,-0.1083659,0.09465183,-0.23006624,0.20559599,-0.14064473,-0.02350113,-0.1768147,0.009854318
-1457.03376,52000,416.947469,0.09931484,-0.15144098,-0.11714547,0.08148804,-0.24369253,0.20905308,-0.14644507,-0.0014003476,-0.1613801,0.015413739
-1601.715057,54000,430.165858,0.10028263,-0.14252171,-0.12996669,0.074347846,-0.24476303,0.2116841,-0.13617793,0.011497621,-0.15613301,0.02782443
-1177.53344,56000,443.590935,0.115674846,-0.14405955,-0.13281448,0.08088522,-0.22907375,0.21036927,-0.15783434,0.014968249,-0.1703368,0.03064916
-1228.031464,58000,457.157916,0.1119615,-0.15144041,-0.121629216,0.08888585,-0.21878615,0.21100421,-0.15312794,0.01626242,-0.20031925,0.04444177
-1042.470005,60000,470.745315,0.10630811,-0.1628884,-0.12227313,0.08017696,-0.20473093,0.20424919,-0.14274152,0.022008091,-0.20645481,0.0416702
-1156.556566,62000,484.282668,0.083781935,-0.17850773,-0.13742393,0.072759755,-0.20708872,0.22032693,-0.14794959,0.053669333,-0.21367858,0.03538507
-851.095781,64000,497.847001,0.07949187,-0.16901547,-0.099912085,0.050259776,-0.20150049,0.24932845,-0.12422842,0.06880735,-0.20899527,-0.002164397
-1050.795298,66000,513.545189,0.072945446,-0.17339677,-0.057348397,0.054480325,-0.19687395,0.2603799,-0.15725198,0.05010714,-0.24988315,-0.031148074
-1214.015876,68000,527.047272,0.08800509,-0.14816615,-0.050230585,0.045345508,-0.20157292,0.26021037,-0.17913467,0.039668147,-0.25593984,-0.0018303617
-1287.717711,70000,540.595929,0.10544037,-0.13587566,-0.060729712,0.025376856,-0.19364588,0.25609133,-0.21814834,0.036403272,-0.27158687,0.0060935533
-890.95064,72000,554.118287,0.107704826,-0.12117169,-0.07800355,0.029580636,-0.19997415,0.23768342,-0.24118516,0.065003395,-0.28244692,0.07606222
-1083.031502,74000,567.652347,0.10187828,-0.13437213,-0.12433121,0.042300418,-0.20007707,0.21714778,-0.30572507,0.07935325,-0.3156111,0.13097696
-851.9855,76000,581.240004,0.07986303,-0.13626058,-0.15682496,0.056412272,-0.21672228,0.20268755,-0.3223861,0.109751515,-0.36113387,0.18370937
-920.021825,78000,595.424862,0.0738429,-0.14087358,-0.21387039,0.041314658,-0.26455155,0.2054199,-0.34412408,0.13799742,-0.36972266,0.21696691
-908.917888,80000,609.307954,0.059411313,-0.16159792,-0.25646064,0.026467314,-0.3112168,0.18841708,-0.38505688,0.121475354,-0.3756901,0.21991333
-1030.885198,82000,622.946493,0.03433221,-0.15494384,-0.26192445,0.014142755,-0.3172085,0.17662041,-0.44646037,0.10529879,-0.40152842,0.23576923
-903.391758,84000,636.452321,0.043170735,-0.15681845,-0.27089977,0.009779157,-0.30243772,0.19053882,-0.47199008,0.09650577,-0.40683186,0.23969647
-925.356582,86000,649.978151,0.05557179,-0.16143782,-0.2692672,0.027108502,-0.32802925,0.19098414,-0.47223252,0.091689795,-0.36923727,0.23143783
-1004.56641,88000,663.519149,0.05938804,-0.15578927,-0.2600305,0.04595179,-0.32703212,0.1960609,-0.46317598,0.10404372,-0.366756,0.21889718
-928.786905,90000,677.002082,0.051785834,-0.15596206,-0.218955,0.020454688,-0.28884557,0.1947731,-0.43973744,0.09138735,-0.4156475,0.22582848
-890.168643,92000,690.184769,0.047327198,-0.1398785,-0.21820521,0.03238234,-0.29780328,0.18306893,-0.42060772,0.093225524,-0.48510647,0.24394746
-931.493716,94000,703.557235,0.06509633,-0.101512566,-0.20503688,0.061466392,-0.306701,0.16259633,-0.43438652,0.10109871,-0.56347024,0.2768352
-938.91775,96000,717.059513,0.06319175,-0.08350645,-0.19407478,0.06927043,-0.3225288,0.13760167,-0.46254817,0.08060767,-0.61564845,0.2999073
-749.584106,98000,730.519273,0.056910902,-0.0776598,-0.17217483,0.078184254,-0.35730207,0.13833487,-0.49090073,0.08502453,-0.57984287,0.3247467
-916.962845,100000,746.564901,0.06374494,-0.082427144,-0.15669793,0.123061694,-0.36533162,0.13189594,-0.5252077,0.09008819,-0.59728336,0.32827544
-1014.745033,102000,760.470386,0.08042467,-0.0925891,-0.15647964,0.14865687,-0.35143498,0.123682916,-0.5653684,0.09696151,-0.574872,0.34098643
-779.301746,104000,774.038121,0.08950291,-0.08735114,-0.16505203,0.14348654,-0.32582533,0.10345958,-0.6036502,0.10709739,-0.55307597,0.33855993
-765.018283,106000,787.588042,0.08726622,-0.07286256,-0.1821035,0.15205047,-0.32493395,0.10939849,-0.6702774,0.11511099,-0.53480476,0.35120824
-948.02226,108000,801.154808,0.084015116,-0.07175748,-0.20124769,0.15493506,-0.29385588,0.14115751,-0.73685503,0.12960152,-0.4671042,0.36394072
-983.935772,110000,814.779827,0.07203471,-0.081877634,-0.17740932,0.16110638,-0.28369716,0.18042654,-0.75318485,0.13232036,-0.48194864,0.36411536
-796.587752,112000,828.340813,-0.00030530468,-0.07579285,-0.15357962,0.1502846,-0.2770992,0.20880313,-0.77936554,0.14417657,-0.5011546,0.3538967
-856.985118,114000,841.845652,-0.012159502,-0.05705897,-0.14455876,0.175079,-0.26952752,0.25220296,-0.80286664,0.14844911,-0.4919778,0.35018745
-702.36295,116000,855.447266,-0.023645261,-0.0657263,-0.14144146,0.21222562,-0.2839419,0.25293076,-0.8227583,0.1491279,-0.46049142,0.37183884
-742.098089,118000,871.3467,-0.031073363,-0.05875864,-0.11503481,0.2076127,-0.30512124,0.2455527,-0.80032676,0.15080044,-0.44507715,0.37377116
-1168.896991,120000,885.061052,-0.046934176,-0.050490838,-0.08186794,0.18538709,-0.3295305,0.23093002,-0.79715425,0.16889487,-0.41965926,0.36554092
-890.128438,122000,898.975147,-0.021111123,-0.05582895,-0.088145256,0.18309394,-0.30260646,0.20885578,-0.8291057,0.16070096,-0.42144528,0.34263587
-868.249387,124000,912.579111,-0.015862428,-0.042468388,-0.092508756,0.1801727,-0.28676003,0.19232114,-0.83351266,0.17385435,-0.43020555,0.3294666
-1460.018701,126000,926.18436,-0.024270102,-0.021841973,-0.08891672,0.17976919,-0.2967193,0.2107199,-0.8544994,0.17482083,-0.42264262,0.325696
-784.997707,128000,939.707171,-0.00014813295,-0.04185879,-0.10166872,0.1548955,-0.30604315,0.22137609,-0.922977,0.21670564,-0.4377953,0.32865122
-1120.975059,130000,953.300195,-0.0014563564,-0.044896834,-0.081290565,0.14812078,-0.3013923,0.21707225,-0.9450211,0.22046678,-0.4471929,0.31291088
-1283.513643,132000,966.883167,-0.0026662352,-0.040510524,-0.075338945,0.12852542,-0.305335,0.21768543,-0.9714969,0.23485267,-0.4942117,0.3111402
-761.548731,134000,980.485684,-0.006386042,-0.025451766,-0.08989287,0.09449279,-0.31535852,0.21866469,-1.0015185,0.23679945,-0.52490884,0.3094011
-855.836203,136000,994.642776,-0.011038614,0.012058673,-0.101573564,0.066405185,-0.3168967,0.22197281,-1.0555165,0.28573808,-0.5193122,0.2950381
-807.665821,138000,1008.30679,-0.053333554,0.040375795,-0.102529585,0.040945113,-0.28547856,0.20049632,-1.0917438,0.28565246,-0.5229194,0.28687927
-1190.427168,140000,1021.878754,-0.10346192,0.052846804,-0.102074236,0.015289658,-0.29234803,0.19411375,-1.0672094,0.3026362,-0.5065097,0.31575042
-1179.256914,142000,1035.51123,-0.14286782,0.04847821,-0.10818193,-0.02315316,-0.3082695,0.21154167,-0.96864706,0.29962224,-0.4736121,0.33391127
-1505.597376,144000,1049.090506,-0.12852305,0.02790124,-0.109406434,-0.033328466,-0.3336435,0.20572473,-0.9433535,0.29632,-0.47179842,0.34394073
-1531.973484,146000,1062.768929,-0.17675227,-0.0065955315,-0.12599845,-0.05129064,-0.30106926,0.21161479,-0.95229393,0.34977877,-0.48449153,0.35535258
-827.476021,148000,1076.733358,-0.22191383,-0.010520635,-0.115099505,-0.047599073,-0.27028662,0.19841109,-0.9277258,0.36441776,-0.49654523,0.36977166
-804.784035,150000,1090.408198,-0.2567419,-0.029284623,-0.10482433,-0.006150782,-0.28685632,0.20955114,-0.88585824,0.40128553,-0.48296344,0.38367647
-816.270047,152000,1104.065633,-0.29749566,-0.048931565,-0.10270738,0.0357554,-0.2945543,0.20012338,-0.8597365,0.39329562,-0.4391833,0.37640426
-782.632157,154000,1117.689637,-0.31779018,-0.04568263,-0.10915401,0.0122329155,-0.29726654,0.17984773,-0.88525474,0.35924363,-0.44511703,0.37989846
-932.280826,156000,1131.313198,-0.2547708,-0.068173304,-0.08981513,-0.028253235,-0.360964,0.17996278,-0.87315047,0.36646605,-0.4618766,0.3359552
-1055.976066,158000,1145.118724,-0.22626497,-0.076321214,-0.09238795,-0.03241406,-0.34701127,0.20424882,-0.8271601,0.352574,-0.52263427,0.304621
-700.107239,160000,1159.094957,-0.19692732,-0.13724568,-0.081830986,0.030054152,-0.3267992,0.23250596,-0.87993413,0.29452822,-0.5280571,0.30164388
-1227.014611,162000,1175.044576,-0.1311878,-0.17999357,-0.08697309,0.03884727,-0.2988312,0.25006905,-0.84377867,0.24664202,-0.5415731,0.30682865
-971.750736,164000,1188.780752,-0.0790936,-0.20821576,-0.10133541,0.050062303,-0.34286675,0.25214204,-0.8409305,0.25966156,-0.557547,0.30560818
-789.700828,166000,1202.732507,0.007892343,-0.20773943,-0.09572217,0.060571022,-0.4025348,0.26641515,-0.8038516,0.28842786,-0.56089574,0.3074647
-1576.153313,168000,1216.451142,0.010774055,-0.18786447,-0.11945148,0.06765634,-0.44777653,0.2820349,-0.8239718,0.32052842,-0.50493073,0.30059096
-1634.010312,170000,1230.031008,-0.019121129,-0.1738161,-0.118454516,0.049436487,-0.51588386,0.2710229,-0.8321341,0.34850892,-0.4365602,0.30064127
-942.086542,172000,1243.627014,-0.041042585,-0.16190515,-0.12312512,0.036274403,-0.5487794,0.26107958,-0.84478474,0.3924082,-0.33512175,0.2807949
-1130.347283,174000,1257.233775,-0.058285385,-0.13350247,-0.15679929,0.029742403,-0.6009193,0.22689882,-0.8255979,0.41074917,-0.25493038,0.28822196
-1076.500079,176000,1271.07921,-0.097310215,-0.13601059,-0.19539249,0.02199399,-0.623038,0.20433483,-0.8117715,0.41574875,-0.1896344,0.3200977
-1085.139127,178000,1285.098702,-0.107558906,-0.14675638,-0.20973045,-0.009545175,-0.6368077,0.20863822,-0.823283,0.40765893,-0.151645,0.30809566
-1263.256265,180000,1298.832522,-0.13361777,-0.17478558,-0.20501609,-0.03626899,-0.68048775,0.20065224,-0.8842855,0.3995288,-0.15426308,0.31917873
-1637.160516,182000,1312.382724,-0.14825292,-0.17977336,-0.22951584,-0.06942435,-0.6625766,0.19887063,-0.9608033,0.37792894,-0.12577622,0.33165738
-1016.204266,184000,1325.913359,-0.16320093,-0.21583205,-0.23611361,-0.095582664,-0.6422683,0.23705928,-0.9548058,0.37660456,-0.14743397,0.35531887
-881.755924,186000,1339.546313,-0.17099135,-0.25342405,-0.22190209,-0.08718991,-0.6906436,0.27477565,-0.9532443,0.3580097,-0.13549206,0.37561885
-1627.297872,188000,1353.493771,-0.14288493,-0.2519554,-0.22484942,-0.08188198,-0.7463485,0.27800757,-0.9763814,0.38398665,-0.14387958,0.3785357
-1359.558173,190000,1367.411728,-0.09377591,-0.27544722,-0.20451723,-0.02940238,-0.74950373,0.24559501,-0.97272205,0.38068524,-0.14980766,0.40160292
-767.417254,192000,1380.98816,-0.10264657,-0.28528765,-0.20274855,-0.0013128204,-0.789698,0.19315249,-0.91368014,0.3408626,-0.15167265,0.38727796
-765.288806,194000,1394.543063,-0.1142003,-0.25695795,-0.2001781,-0.00016658871,-0.80747455,0.19532105,-0.82317126,0.31438836,-0.18091416,0.38343102
-533.36728,196000,1408.102996,-0.1655008,-0.30952954,-0.18546891,-0.011025755,-0.84779596,0.19927177,-0.7258701,0.3000691,-0.16908498,0.36205283
-793.970639,198000,1424.032619,-0.17964153,-0.32091787,-0.14723502,0.022508295,-0.9046765,0.19794172,-0.69474155,0.28998917,-0.13536118,0.3618683
-657.338128,200000,1437.994618,-0.17619109,-0.3143669,-0.121359736,0.005882811,-0.9158618,0.13978572,-0.67515355,0.32588953,-0.10217547,0.3750816
-779.044802,202000,1451.936645,-0.1571835,-0.3083807,-0.08196215,0.020322334,-0.92263496,0.18209311,-0.62611413,0.31891236,-0.05859261,0.37455234
-508.599539,204000,1465.538748,-0.15824239,-0.32387325,-0.062095363,0.0013065203,-0.96800864,0.18740924,-0.5796175,0.2970066,-0.024962625,0.38907832
-648.843447,206000,1481.652041,-0.17229012,-0.294771,-0.021123728,0.00025079487,-1.0165906,0.15164468,-0.49659067,0.28325617,-0.0014993433,0.3782175
-1072.320076,208000,1495.651184,-0.18883416,-0.2849548,-0.034199905,0.02375831,-1.0348555,0.12731734,-0.444562,0.27757552,0.0867058,0.3594231
-591.242391,210000,1509.699522,-0.18907434,-0.2639977,-0.052035008,0.038815375,-1.0277348,0.13742241,-0.41007957,0.2905517,0.07197019,0.3535998
-1287.088214,212000,1523.475796,-0.18441027,-0.28023112,-0.06681541,0.02175865,-1.0315794,0.2019408,-0.3794447,0.27176857,0.09004658,0.3490505
-661.777579,214000,1537.031368,-0.15759028,-0.30376527,-0.112173766,0.046501543,-1.0054533,0.23130216,-0.35825777,0.2376361,0.09998066,0.33102614
-668.249035,216000,1550.597838,-0.17699297,-0.27899522,-0.1441395,0.04733178,-0.96007305,0.23800059,-0.3411878,0.25456035,0.0801348,0.31517935
-995.778073,218000,1564.401832,-0.16341299,-0.25730857,-0.1733395,0.068214886,-0.9819744,0.21377142,-0.3319699,0.2477644,0.046871763,0.3294106
-650.631493,220000,1578.307425,-0.15954694,-0.24488255,-0.20072661,0.0831269,-0.9715716,0.19155775,-0.38596496,0.22186443,0.02117408,0.33988744
