,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_lr,params_net_arch,params_train_freq,state
0,0,870.8211317573399,2020-10-18 18:50:10.784984,2020-10-18 19:25:09.899387,0 days 00:34:59.114403000,256,50000,0.0005207204007839992,medium,1,COMPLETE
1,1,1094.3865642372436,2020-10-18 19:25:09.900892,2020-10-18 20:23:09.438544,0 days 00:57:59.537652000,512,50000,0.0005504160810872749,big,50,COMPLETE
2,2,1494.1385762143498,2020-10-18 20:23:09.439032,2020-10-18 21:01:02.388158,0 days 00:37:52.949126000,256,50000,0.00021014066886908622,big,1,COMPLETE
3,3,726.7387803893546,2020-10-18 21:01:02.388674,2020-10-18 21:38:38.987418,0 days 00:37:36.598744000,256,1000000,0.00015457203261531665,big,1,COMPLETE
4,4,667.3030522912638,2020-10-18 21:38:38.987909,2020-10-18 22:36:16.442651,0 days 00:57:37.454742000,512,50000,0.0002886962310297663,big,100,COMPLETE
5,5,1110.1014732188037,2020-10-18 22:36:16.443143,2020-10-18 23:22:35.879520,0 days 00:46:19.436377000,512,1000000,0.0018504522721829407,small,100,COMPLETE
6,6,1144.3830759218338,2020-10-18 23:22:35.880275,2020-10-19 00:20:50.148204,0 days 00:58:14.267929000,512,50000,0.0002931755551734145,big,100,COMPLETE
7,7,1207.6238736519324,2020-10-19 00:20:50.149417,2020-10-19 01:09:52.528100,0 days 00:49:02.378683000,512,50000,0.0013409617101017063,medium,100,COMPLETE
8,8,551.0174518515182,2020-10-19 01:09:52.529173,2020-10-19 01:56:06.110268,0 days 00:46:13.581095000,512,50000,0.0001004824136770512,small,100,COMPLETE
9,9,651.6766152061424,2020-10-19 01:56:06.111261,2020-10-19 02:42:07.746023,0 days 00:46:01.634762000,512,1000000,0.00011310974406186706,small,50,COMPLETE
10,10,858.358665167423,2020-10-19 02:42:07.746640,2020-10-19 03:27:40.189688,0 days 00:45:32.443048000,512,50000,0.00010992551506343105,small,100,COMPLETE
11,11,1312.4432742487154,2020-10-19 03:27:40.190823,2020-10-19 04:13:34.725411,0 days 00:45:54.534588000,512,1000000,0.00011812051486818174,small,50,COMPLETE
12,12,958.8545020075485,2020-10-19 04:13:34.727091,2020-10-19 04:59:08.946656,0 days 00:45:34.219565000,512,1000000,0.0001037179779503885,small,50,COMPLETE
13,13,876.692311407001,2020-10-19 04:59:08.948082,2020-10-19 05:44:26.239723,0 days 00:45:17.291641000,512,1000000,0.00017619283649541792,small,50,COMPLETE
14,14,1019.2545951791137,2020-10-19 05:44:26.240243,2020-10-19 06:30:16.644698,0 days 00:45:50.404455000,512,1000000,0.0010110437097182383,small,50,COMPLETE
15,15,934.5868414685887,2020-10-19 06:30:16.645461,2020-10-19 07:16:02.392734,0 days 00:45:45.747273000,512,1000000,0.0001029900413558661,small,50,COMPLETE
16,16,1000.0863090576527,2020-10-19 07:16:02.394237,2020-10-19 08:01:48.506930,0 days 00:45:46.112693000,512,1000000,0.00027462623320064004,small,100,COMPLETE
17,17,969.5927860015262,2020-10-19 08:01:48.508339,2020-10-19 08:35:02.627728,0 days 00:33:14.119389000,256,50000,0.00014939169062457838,medium,50,COMPLETE
18,18,1115.251584496578,2020-10-19 08:35:02.629578,2020-10-19 09:21:05.068146,0 days 00:46:02.438568000,512,1000000,0.0006884537018190809,small,100,COMPLETE
