r,l,t,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
-1820.683901,2000,11.638464,0.069021784,0.042882614,0.23424268,-0.2001162,0.25614998,0.3413517,0.2162247,-0.04080303,-0.26089963,-0.2589407
-1706.153199,4000,26.335963,0.07182641,0.050363798,0.23700742,-0.20543341,0.28534508,0.35347515,0.20163786,-0.038822927,-0.2668839,-0.25810915
-1856.055393,6000,41.22584,0.06300675,0.08678282,0.253492,-0.20568864,0.33063638,0.40787736,0.16705254,-0.036009163,-0.27873316,-0.25590923
-1766.01213,8000,56.214363,0.04617933,0.08417482,0.31838086,-0.19137782,0.3539359,0.40531957,0.16473268,-0.0706811,-0.27596754,-0.25277114
-1506.499277,10000,71.434314,0.08501104,0.16096926,0.35909975,-0.22292927,0.32163262,0.5129688,0.18418193,-0.12537777,-0.37245533,-0.22785927
-1904.934964,12000,86.657566,0.16818793,0.11428808,0.4263072,-0.2189186,0.40293682,0.42471564,0.21892335,-0.2996746,-0.5701348,-0.16062088
-1642.299847,14000,101.851715,0.12826762,0.071724415,0.4363712,-0.28822947,0.32983914,0.40718862,0.28565544,-0.28704643,-0.8194741,-0.10840499
-1646.992559,16000,117.028129,0.07995037,0.121826455,0.4299038,-0.2769578,0.22922388,0.4155913,0.3067252,-0.2894994,-0.9026629,-0.15492004
-1833.829866,18000,132.41498,0.02941589,0.1150087,0.41796702,-0.25429142,0.25741443,0.3816219,0.25349844,-0.24052484,-0.95369524,-0.16855654
-1594.892528,20000,147.771534,0.04320547,0.13038361,0.4376888,-0.322136,0.32197928,0.38079667,0.18056358,-0.24390882,-0.90695983,-0.16480279
-1667.790821,22000,163.092055,0.10002678,0.1809156,0.4551266,-0.44099143,0.4043228,0.3137638,0.10139549,-0.19607122,-0.86921245,-0.17699696
-1845.528833,24000,178.47034,0.065546,0.22716907,0.4155837,-0.5676032,0.48259395,0.25489092,0.18936849,-0.27179864,-0.41700226,-0.2331133
-1677.486932,26000,193.852752,-0.017225817,0.2729813,0.42821044,-0.4674513,0.47318137,0.24335495,0.14152108,-0.28228828,-0.14283511,-0.090198375
-1830.246143,28000,209.145492,-0.011372158,0.25714144,0.39153185,-0.4836319,0.48364428,0.2615747,0.17729713,-0.2761202,-0.21971618,-0.09982785
-1688.819673,30000,224.499648,-0.021529598,0.16583106,0.3701933,-0.572866,0.48130077,0.21918604,0.20405896,-0.26401347,-0.23538715,-0.13478982
-1856.196934,32000,239.87329,0.056721624,0.1250515,0.44116226,-0.5314635,0.5399153,0.22589038,0.22654152,-0.28884134,-0.34098107,-0.13652067
-1751.435009,34000,255.290895,0.09452371,0.10618651,0.37990123,-0.45159817,0.5057358,0.2581389,0.28220424,-0.13457753,-0.5091733,-0.19419153
-1786.454278,36000,270.864701,0.14585784,0.05544455,0.40809694,-0.4587941,0.51110625,0.23265873,0.16024055,-0.083959736,-0.49328578,-0.1874892
-1801.47211,38000,286.446815,0.22642314,0.046412785,0.43957,-0.48832342,0.5494486,0.23182677,0.20349939,-0.03547435,-0.5189137,-0.26435086
-1768.803884,40000,301.913115,0.25638077,0.028120654,0.4093666,-0.47742888,0.56534237,0.22930342,0.18522735,0.02326357,-0.462902,-0.2249309
-1788.00392,42000,317.468963,0.21850452,-0.0100858845,0.37630928,-0.5116916,0.53377926,0.2517585,0.1715704,0.04421877,-0.35532525,-0.14820711
-1742.695951,44000,332.904117,0.22207996,0.0038583651,0.40480688,-0.46961764,0.5288698,0.23658831,0.21351233,0.019676805,-0.40970218,-0.12475511
-1754.750759,46000,348.293937,0.18480667,0.054531854,0.41164497,-0.35026777,0.48843575,0.27897528,0.23229259,0.07376675,-0.43821847,-0.23967227
-1714.544353,48000,363.845019,0.122646935,0.068948254,0.44930264,-0.26160353,0.51409775,0.25397795,0.26577884,0.08026649,-0.4287608,-0.3380227
